dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002540,12.364999,0.003704,0.148148,2.962963,59.259259,6.282260
0.050000,0.010392,12.364980,0.011555,0.157029,0.177619,-55.706882,6.279388
0.050000,0.023443,12.364899,0.024606,0.261024,2.079892,38.045469,6.274571
0.050000,0.041640,12.364681,0.042805,0.363978,2.059090,-0.416053,6.267763
0.050000,0.064909,12.364219,0.066079,0.465472,2.029875,-0.584287,6.258900
0.050000,0.093151,12.363378,0.094333,0.565083,1.992224,-0.753020,6.247899
0.050000,0.126242,12.361992,0.127453,0.662394,1.946210,-0.920291,6.234658
0.050000,0.164032,12.359863,0.165303,0.756999,1.892099,-1.082220,6.219059
0.050000,0.206345,12.356763,0.207729,0.848523,1.830491,-1.232157,6.200965
0.050000,0.252977,12.352436,0.254561,0.936649,1.762508,-1.359661,6.180228
0.050000,0.303699,12.346596,0.305619,1.021151,1.690048,-1.449199,6.156687
0.050000,0.358260,12.338926,0.360717,1.101956,1.616105,-1.478864,6.130179
0.050000,0.416394,12.329084,0.419677,1.179213,1.545141,-1.419271,6.100550
0.050000,0.477827,12.316697,0.482347,1.253387,1.483478,-1.233255,6.067662
0.050000,0.542296,12.301362,0.548615,1.325367,1.439602,-0.877522,6.031419
0.050000,0.609568,12.282637,0.618444,1.396579,1.424235,-0.307338,5.991788
0.050000,0.679458,12.260035,0.691898,1.469076,1.449936,0.514014,5.948825
0.050000,0.751854,12.233002,0.769176,1.545574,1.529961,1.600492,5.902707
0.050000,0.826734,12.200905,0.850646,1.629384,1.676206,2.924903,5.853756
0.050000,0.904167,12.163007,0.936856,1.724200,1.896311,4.402106,5.802456
0.050000,0.984302,12.118455,1.028542,1.833724,2.190484,5.883465,5.749456
0.050000,1.067333,12.066288,1.126601,1.961180,2.549121,7.172733,5.695546
0.050000,1.153455,12.005455,1.232041,2.108804,2.952490,8.067386,5.641613
0.050000,1.242814,11.934871,1.345914,2.277468,3.373281,8.415804,5.588585
0.050000,1.335472,11.853482,1.469242,2.466551,3.781653,8.167453,5.537360
0.050000,1.431395,11.760337,1.602948,2.674113,4.151228,7.391505,5.488752
0.050000,1.530470,11.654648,1.747813,2.897309,4.463938,6.254188,5.443449
0.050000,1.630696,11.538066,1.901555,3.074844,3.550684,-18.265082,5.402703
0.050000,1.730145,11.413065,2.061291,3.194714,2.397403,-23.065610,5.367235
0.050000,1.828828,11.280283,2.226728,3.308746,2.280648,-2.335111,5.336789
0.050000,1.926837,11.140381,2.397544,3.416312,2.151310,-2.586758,5.311080
0.050000,2.024344,10.994010,2.573419,3.517505,2.023858,-2.549028,5.289827
0.050000,2.121602,10.841783,2.754063,3.612887,1.907646,-2.324256,5.272776
0.050000,2.218938,10.684265,2.939229,3.703302,1.808307,-1.986773,5.259707
0.050000,2.316743,10.521970,3.128716,3.789752,1.728993,-1.586275,5.250445
0.050000,2.415474,10.355361,3.322382,3.873318,1.671316,-1.153554,5.244865
0.050000,2.515649,10.184854,3.520138,3.955118,1.636009,-0.706128,5.242887
0.050000,2.617847,10.010830,3.721952,4.036286,1.623359,-0.253010,5.244486
0.050000,2.722716,9.833640,3.927850,4.117958,1.633434,0.201514,5.249683
0.050000,2.830975,9.653621,4.137913,4.201266,1.666172,0.654749,5.258550
0.050000,2.943422,9.471114,4.352280,4.287332,1.721308,1.102714,5.271209
0.050000,3.060940,9.286480,4.571142,4.377240,1.798160,1.537054,5.287829
0.050000,3.184509,9.100126,4.794742,4.472001,1.895228,1.941356,5.308626
0.050000,3.315202,8.912540,5.023366,4.572479,2.009553,2.286503,5.333851
0.050000,3.454187,8.724333,5.257329,4.679269,2.135810,2.525135,5.363782
0.050000,3.602710,8.536286,5.496956,4.792525,2.265104,2.585879,5.398706
0.050000,3.762052,8.349411,5.742541,4.911704,2.383584,2.369597,5.438883
0.050000,3.933468,8.165017,5.994304,5.035263,2.471194,1.752196,5.484509
0.050000,4.118078,7.984763,6.252320,5.160327,2.501267,0.601467,5.535649
0.050000,4.316716,7.810684,6.516442,5.282432,2.442098,-1.183386,5.592175
0.050000,4.529747,7.645164,6.786218,5.395521,2.261792,-3.606116,5.653689
0.050000,4.756889,7.490821,7.060837,5.492372,1.937010,-6.495632,5.719476
0.050000,4.997080,7.350296,7.339115,5.565577,1.464100,-9.458206,5.788493
0.050000,5.248465,7.225968,7.619565,5.608981,0.868091,-11.920171,5.859425
0.050000,5.508533,7.119658,7.900522,5.619152,0.203407,-13.293687,5.930806
0.050000,5.774398,7.032410,8.180337,5.596292,-0.457201,-13.212155,6.001178
0.050000,6.043139,6.964419,8.457546,5.544182,-1.042183,-11.699647,6.069251
0.050000,6.312115,6.915105,8.731005,5.469180,-1.500049,-9.157329,6.134015
0.050000,6.579165,6.883305,8.999942,5.378734,-1.808916,-6.177336,6.194788
0.050000,6.842692,6.867499,9.263942,5.280010,-1.974487,-3.311422,6.251207
0.050000,7.078920,6.865000,9.500184,4.724831,-11.103568,-182.581608,0.000000
0.050000,7.278920,6.865000,9.700184,4.000000,-14.496629,-67.861216,0.000000
0.050000,7.478920,6.865000,9.900184,4.000000,0.000000,289.932571,0.000000
0.050000,7.678920,6.865000,10.100184,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.878920,6.865000,10.300184,4.000000,-0.000000,0.000000,0.000000
0.050000,8.078920,6.865000,10.500184,4.000000,0.000000,0.000000,0.000000
