dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.195451,12.699416,0.003704,0.148148,2.962963,59.259259,2.356935
0.050000,8.189397,12.705446,0.012248,0.170896,0.454952,-50.160229,2.359196
0.050000,8.179286,12.715460,0.026479,0.284610,2.274283,36.386622,2.362974
0.050000,8.165082,12.729398,0.046379,0.398005,2.267909,-0.127475,2.368283
0.050000,8.146738,12.747181,0.071928,0.510967,2.259228,-0.173611,2.375142
0.050000,8.124194,12.768705,0.103097,0.623392,2.248504,-0.214487,2.383575
0.050000,8.097372,12.793842,0.139857,0.735197,2.236103,-0.248012,2.393608
0.050000,8.066185,12.822443,0.182173,0.846323,2.222520,-0.271673,2.405273
0.050000,8.030527,12.854333,0.230010,0.956743,2.208397,-0.282448,2.418599
0.050000,7.990281,12.889312,0.283334,1.066471,2.194559,-0.276764,2.433618
0.050000,7.945310,12.927162,0.342113,1.175573,2.182034,-0.250498,2.450357
0.050000,7.895464,12.967636,0.406321,1.284177,2.172082,-0.199051,2.468837
0.050000,7.840575,13.010470,0.475946,1.392487,2.166205,-0.117539,2.489073
0.050000,7.780455,13.055376,0.550985,1.500794,2.166148,-0.001126,2.511063
0.050000,7.714897,13.102047,0.631460,1.609488,2.173871,0.154457,2.534791
0.050000,7.643671,13.150160,0.717413,1.719062,2.191481,0.352198,2.560217
0.050000,7.566526,13.199373,0.808919,1.830118,2.221126,0.592900,2.587278
0.050000,7.483184,13.249331,0.906087,1.943360,2.264836,0.874204,2.615875
0.050000,7.393344,13.299664,1.009066,2.059576,2.324318,1.189642,2.645879
0.050000,7.296681,13.349993,1.118046,2.179612,2.400719,1.528012,2.677121
0.050000,7.192847,13.399928,1.233263,2.304331,2.494385,1.873320,2.709394
0.050000,7.081480,13.449071,1.354991,2.434564,2.604663,2.205568,2.742457
0.050000,6.962204,13.497019,1.483544,2.571054,2.729790,2.502525,2.776032
0.050000,6.834644,13.543369,1.619264,2.714399,2.866908,2.742369,2.809818
0.050000,6.698431,13.587718,1.762514,2.865012,3.012249,2.906823,2.843496
0.050000,6.553217,13.629676,1.913668,3.023085,3.161456,2.984133,2.876736
0.050000,6.398681,13.668872,2.073098,3.188585,3.310016,2.971195,2.909212
0.050000,6.237556,13.704349,2.238082,3.299680,2.221893,-21.762456,2.940057
0.050000,6.072881,13.735513,2.405680,3.351959,1.045573,-23.526400,2.968600
0.050000,5.904828,13.762573,2.575898,3.404358,1.047995,0.048435,2.994836
0.050000,5.733576,13.785757,2.748712,3.456296,1.038761,-0.184681,3.018784
0.050000,5.559302,13.805313,2.924080,3.507349,1.021059,-0.354036,3.040483
0.050000,5.382179,13.821504,3.101942,3.557235,0.997713,-0.466916,3.059986
0.050000,5.202366,13.834605,3.282231,3.605791,0.971116,-0.531933,3.077350
0.050000,5.020009,13.844903,3.464879,3.652952,0.943226,-0.557817,3.092637
0.050000,4.835236,13.852694,3.649815,3.698732,0.915592,-0.552671,3.105908
0.050000,4.648160,13.858281,3.836975,3.743202,0.889413,-0.523572,3.117219
0.050000,4.458871,13.861974,4.026300,3.786482,0.865592,-0.476433,3.126625
0.050000,4.267447,13.864086,4.217736,3.828721,0.844790,-0.416028,3.134170
