dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.032313,11.639999,0.003704,0.148148,2.962963,59.259259,6.282305
0.050000,0.039449,11.639983,0.010840,0.142730,-0.108367,-61.426609,6.279583
0.050000,0.051320,11.639913,0.022712,0.237427,1.893953,40.046402,6.275030
0.050000,0.067892,11.639725,0.039284,0.331454,1.880522,-0.268608,6.268624
0.050000,0.089117,11.639328,0.060512,0.424564,1.862218,-0.366085,6.260333
0.050000,0.114934,11.638606,0.086340,0.516544,1.839599,-0.452383,6.250118
0.050000,0.145271,11.637418,0.116701,0.607218,1.813472,-0.522541,6.237935
0.050000,0.180047,11.635597,0.151524,0.696466,1.784958,-0.570283,6.223735
0.050000,0.219170,11.632950,0.190736,0.784244,1.755569,-0.587764,6.207468
0.050000,0.262543,11.629259,0.234267,0.870609,1.727300,-0.565387,6.189085
0.050000,0.310071,11.624282,0.282054,0.955745,1.702707,-0.491858,6.168544
0.050000,0.361658,11.617749,0.334053,1.039994,1.684983,-0.354477,6.145815
0.050000,0.417224,11.609362,0.390248,1.123893,1.677986,-0.139955,6.120886
0.050000,0.476702,11.598794,0.450658,1.208203,1.686195,0.164180,6.093771
0.050000,0.540057,11.585686,0.515355,1.293931,1.714566,0.567420,6.064518
0.050000,0.607285,11.569638,0.584472,1.382343,1.768233,1.073351,6.033220
0.050000,0.678427,11.550209,0.658219,1.474945,1.852047,1.676284,6.000021
0.050000,0.753570,11.526910,0.736891,1.573442,1.969947,2.358004,5.965121
0.050000,0.832848,11.499194,0.820874,1.679654,2.124233,3.085717,5.928786
0.050000,0.916436,11.466459,0.910644,1.795397,2.314853,3.812391,5.891341
0.050000,1.004545,11.428049,1.006761,1.922341,2.538882,4.480575,5.853170
0.050000,1.097398,11.383256,1.109854,2.061860,2.790380,5.029975,5.814705
0.050000,1.195222,11.331343,1.220599,2.214898,3.060766,5.407723,5.776407
0.050000,1.298223,11.271557,1.339693,2.381884,3.339716,5.578999,5.738754
0.050000,1.406579,11.203165,1.467828,2.562707,3.616461,5.534890,5.702221
0.050000,1.520435,11.125471,1.605667,2.756768,3.881210,5.294989,5.667259
0.050000,1.639904,11.037853,1.753821,2.963088,4.126404,4.903865,5.634290
0.050000,1.762796,10.941625,1.909906,3.121691,3.172074,-19.086594,5.604215
0.050000,1.886838,10.838701,2.071088,3.223651,2.039192,-22.657648,5.577631
0.050000,2.012025,10.729460,2.237237,3.322974,1.986460,-1.054631,5.554448
0.050000,2.138388,10.614310,2.408196,3.419184,1.924198,-1.245246,5.534559
0.050000,2.266004,10.493677,2.583804,3.512159,1.859506,-1.293844,5.517853
0.050000,2.394997,10.367989,2.763906,3.602044,1.797688,-1.236343,5.504225
0.050000,2.525540,10.237668,2.948365,3.689171,1.742555,-1.102665,5.493581
0.050000,2.657855,10.103130,3.137065,3.774008,1.696740,-0.916299,5.485842
0.050000,2.792214,9.964779,3.329921,3.857108,1.661994,-0.694927,5.480949
0.050000,2.928936,9.823011,3.526875,3.939079,1.639416,-0.451559,5.478862
0.050000,3.068386,9.678215,3.727903,4.020560,1.629626,-0.195801,5.479566
0.050000,3.210979,9.530779,3.933013,4.102204,1.632869,0.064865,5.483067
0.050000,3.357175,9.381096,4.142246,4.184657,1.649062,0.323854,5.489391
0.050000,3.507482,9.229574,4.355673,4.268545,1.677776,0.574279,5.498588
0.050000,3.662455,9.076647,4.573396,4.354454,1.718163,0.807747,5.510728
0.050000,3.822690,8.922786,4.795540,4.442894,1.768818,1.013099,5.525897
0.050000,3.988825,8.768520,5.022254,4.534273,1.827575,1.175135,5.544196
0.050000,4.161527,8.614444,5.253696,4.628835,1.891244,1.273382,5.565735
0.050000,4.341481,8.461250,5.490026,4.726601,1.955302,1.281168,5.590622
0.050000,4.529366,8.309738,5.731390,4.827279,2.013574,1.165445,5.618959
0.050000,4.723946,8.162221,5.975567,4.883554,1.125486,-17.761776,5.650507
0.050000,4.921638,8.022309,6.217760,4.843859,-0.793895,-38.387610,5.684516
0.050000,5.120081,7.892020,6.455152,4.747830,-1.920584,-22.533775,5.720310
0.050000,5.318492,7.771877,6.687103,4.639028,-2.176025,-5.108826,5.757452
0.050000,5.515930,7.662249,6.912936,4.516651,-2.447544,-5.430381,5.795476
0.050000,5.711336,7.563330,7.131952,4.380333,-2.726354,-5.576206,5.833906
0.050000,5.903576,7.475120,7.343464,4.230232,-3.002029,-5.513487,5.872269
0.050000,6.091498,7.397420,7.546816,4.067039,-3.263869,-5.236800,5.910116
0.050000,6.273984,7.329843,7.741412,3.891924,-3.502299,-4.768609,5.947038
0.050000,6.449993,7.271836,7.926733,3.706424,-3.709991,-4.153828,5.982681
0.050000,6.618598,7.222715,8.102348,3.512299,-3.882503,-3.450239,6.016748
0.050000,6.779007,7.181702,8.267917,3.311380,-4.018389,-2.717721,6.049006
0.050000,6.930569,7.147963,8.423189,3.105437,-4.118844,-2.009117,6.079285
0.050000,7.072773,7.120644,8.567993,2.896084,-4.187071,-1.364535,6.107467
0.050000,7.205235,7.098900,8.702229,2.684707,-4.227537,-0.809310,6.133483
0.050000,7.327686,7.081921,8.825851,2.472442,-4.245291,-0.355085,6.157303
0.050000,7.439947,7.068947,8.938859,2.260172,-4.245415,-0.002482,6.178926
0.050000,7.541917,7.059280,9.041286,2.048539,-4.232647,0.255359,6.198374
0.050000,7.633550,7.052289,9.133185,1.837981,-4.211161,0.429721,6.215685
0.050000,7.714842,7.047415,9.214623,1.628757,-4.184478,0.533651,6.230904
0.050000,7.785817,7.044171,9.285673,1.420984,-4.155465,0.580261,6.244081
0.050000,7.846516,7.042136,9.346406,1.214665,-4.126386,0.581581,6.255265
0.050000,7.896988,7.040960,9.396892,1.009716,-4.098983,0.548069,6.264505
0.050000,7.937283,7.040355,9.437191,0.805987,-4.074562,0.488420,6.271840
0.050000,7.967446,7.040096,9.467355,0.603284,-4.054078,0.409672,6.277308
0.050000,7.987514,7.040014,9.487424,0.401373,-4.038208,0.317397,6.280934
0.050000,7.997514,7.040001,9.497424,0.200003,-4.027408,0.216017,6.282737
0.050000,8.000000,7.040000,9.499910,0.049713,-3.005800,20.432160,0.000000
0.050000,8.000000,7.040000,9.499910,0.000000,-0.994255,40.230890,0.000000
