dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002894,4.635001,0.003704,0.148148,2.962963,59.259259,0.000589
0.050000,0.011919,4.635014,0.012729,0.180500,0.647046,-46.318342,0.002427
0.050000,0.026956,4.635074,0.027766,0.300737,2.404739,35.153860,0.005494
0.050000,0.047997,4.635235,0.048807,0.420833,2.401920,-0.056378,0.009798
0.050000,0.075032,4.635575,0.075844,0.540740,2.398140,-0.075595,0.015345
0.050000,0.108047,4.636194,0.108865,0.660419,2.393573,-0.091335,0.022147
0.050000,0.147026,4.637214,0.147857,0.779842,2.388453,-0.102405,0.030213
0.050000,0.191948,4.638782,0.192807,0.898996,2.383079,-0.107472,0.039558
0.050000,0.242791,4.641065,0.243701,1.017887,2.377827,-0.105051,0.050191
0.050000,0.299529,4.644254,0.300529,1.136545,2.373151,-0.093511,0.062123
0.050000,0.362132,4.648564,0.363280,1.255025,2.369598,-0.071064,0.075361
0.050000,0.430568,4.654232,0.431951,1.373415,2.367805,-0.035861,0.089911
0.050000,0.504804,4.661518,0.506543,1.491840,2.368505,0.013998,0.105770
0.050000,0.584801,4.670705,0.587066,1.610466,2.372519,0.080277,0.122929
0.050000,0.670522,4.682100,0.673541,1.729503,2.380744,0.164512,0.141371
0.050000,0.761928,4.696029,0.766002,1.849210,2.394132,0.267743,0.161065
0.050000,0.858977,4.712840,0.864496,1.969892,2.413647,0.390306,0.181968
0.050000,0.961630,4.732903,0.969091,2.091903,2.440225,0.531555,0.204023
0.050000,1.069847,4.756604,1.079873,2.215639,2.474705,0.689603,0.227153
0.050000,1.183588,4.784347,1.196950,2.341527,2.517761,0.861114,0.251264
0.050000,1.302817,4.816550,1.320451,2.470018,2.569822,1.041226,0.276240
0.050000,1.427496,4.853640,1.450529,2.601568,2.631001,1.223594,0.301947
0.050000,1.557587,4.896053,1.587360,2.736620,2.701036,1.400692,0.328230
0.050000,1.693056,4.944226,1.731139,2.875582,2.779252,1.564311,0.354918
0.050000,1.833865,4.998592,1.882080,3.018810,2.864565,1.706272,0.381822
0.050000,1.979979,5.059577,2.040409,3.166587,2.955529,1.819268,0.408743
0.050000,2.131359,5.127585,2.206364,3.319108,3.050415,1.897724,0.435471
0.050000,2.285127,5.201587,2.377013,3.412970,1.877244,-23.463420,0.461327
0.050000,2.438441,5.280175,2.549296,3.445656,0.653728,-24.470326,0.485743
0.050000,2.591322,5.363171,2.723252,3.479120,0.669282,0.311096,0.508686
0.050000,2.743795,5.450380,2.898903,3.513027,0.678126,0.176875,0.530136
0.050000,2.895890,5.541603,3.076257,3.547092,0.681307,0.063625,0.550085
0.050000,3.047647,5.636631,3.255312,3.581086,0.679880,-0.028551,0.568537
0.050000,3.199112,5.735251,3.436053,3.614829,0.674852,-0.100548,0.585503
0.050000,3.350339,5.837249,3.618463,3.648186,0.667156,-0.153927,0.601000
0.050000,3.501392,5.942409,3.802516,3.681068,0.657624,-0.190642,0.615049
0.050000,3.652345,6.050514,3.988187,3.713417,0.646983,-0.212810,0.627672
0.050000,3.803280,6.161353,4.175447,3.745210,0.635856,-0.222553,0.638896
0.050000,3.954288,6.274713,4.364270,3.776448,0.624762,-0.221887,0.648743
0.050000,4.105470,6.390385,4.554627,3.807154,0.614129,-0.212648,0.657238
0.050000,4.256934,6.508164,4.746496,3.837369,0.604306,-0.196472,0.664402
0.050000,4.408799,6.627848,4.939853,3.867148,0.595567,-0.174777,0.670254
0.050000,4.561189,6.749237,5.134681,3.896554,0.588128,-0.148779,0.674811
0.050000,4.714237,6.872132,5.330964,3.925662,0.582152,-0.119513,0.678086
0.050000,4.868085,6.996338,5.528691,3.954550,0.577759,-0.087859,0.680088
0.050000,5.022880,7.121658,5.727856,3.983301,0.575030,-0.054576,0.680824
0.050000,5.178777,7.247898,5.928457,4.012002,0.574014,-0.020333,0.680295
0.050000,5.335938,7.374859,6.130493,4.040738,0.574726,0.014254,0.678501
0.050000,5.494533,7.502342,6.333973,4.069596,0.577156,0.048590,0.675435
0.050000,5.654734,7.630143,6.538906,4.098659,0.581259,0.082065,0.671088
0.050000,5.816724,7.758051,6.745307,4.128007,0.586960,0.114020,0.665449
0.050000,5.980686,7.885851,6.953192,4.157714,0.594146,0.143714,0.658501
0.050000,6.146812,8.013316,7.162585,4.187847,0.602660,0.170290,0.650225
0.050000,6.315295,8.140210,7.373508,4.218462,0.612297,0.192740,0.640600
0.050000,6.486330,8.266285,7.585988,4.249602,0.622792,0.209883,0.629604
0.050000,6.660114,8.391276,7.800052,4.281292,0.633808,0.220333,0.617211
0.050000,6.836842,8.514903,8.015729,4.313539,0.644933,0.222495,0.603397
0.050000,7.016705,8.636869,8.233045,4.346322,0.655661,0.214565,0.588139
0.050000,7.199886,8.756855,8.452025,4.379591,0.665389,0.194554,0.571414
0.050000,7.386559,8.874521,8.672688,4.413262,0.673407,0.160360,0.553206
0.050000,7.576882,8.989505,8.895048,4.447207,0.678900,0.109856,0.533503
0.050000,7.770992,9.101422,9.119111,4.481254,0.680952,0.041054,0.512298
0.050000,7.969000,9.209866,9.344870,4.515183,0.678568,-0.047685,0.489599
0.050000,8.170984,9.314410,9.572306,4.548718,0.670699,-0.157379,0.465421
0.050000,8.376984,9.414610,9.801383,4.581532,0.656294,-0.288109,0.439798
0.050000,8.583709,9.508568,10.028458,4.541506,-0.800525,-29.136365,0.413205
0.050000,8.786927,9.594449,10.249078,4.412398,-2.582156,-35.632636,0.386306
0.050000,8.985504,9.672137,10.462311,4.264658,-2.954796,-7.452802,0.359388
0.050000,9.178929,9.741886,10.667928,4.112336,-3.046451,-1.833095,0.332655
0.050000,9.366703,9.804013,10.865713,3.955699,-3.132739,-1.725761,0.306296
0.050000,9.548347,9.858897,11.055467,3.795091,-3.212161,-1.588433,0.280487
0.050000,9.723414,9.906965,11.237013,3.630912,-3.283569,-1.428171,0.255384
0.050000,9.891494,9.948682,11.410193,3.463601,-3.346222,-1.253045,0.231125
0.050000,10.052224,9.984538,11.574873,3.293612,-3.399786,-1.071292,0.207830
0.050000,10.205283,10.015043,11.730943,3.121396,-3.444316,-0.890590,0.185595
0.050000,10.350401,10.040709,11.878313,2.947387,-3.480190,-0.717481,0.164500
0.050000,10.487348,10.062045,12.016912,2.771984,-3.508045,-0.557098,0.144605
0.050000,10.615939,10.079549,12.146689,2.595550,-3.528696,-0.413018,0.125957
0.050000,10.736029,10.093696,12.267609,2.418396,-3.543063,-0.287357,0.108588
0.050000,10.847502,10.104943,12.379649,2.240791,-3.552112,-0.180965,0.092516
0.050000,10.950276,10.113713,12.482796,2.062951,-3.556794,-0.093653,0.077752
0.050000,11.044291,10.120402,12.577049,1.885050,-3.558018,-0.024477,0.064300
0.050000,11.129508,10.125369,12.662410,1.707219,-3.556618,0.028012,0.052155
0.050000,11.205902,10.128942,12.738887,1.529552,-3.553340,0.065557,0.041311
0.050000,11.273462,10.131411,12.806493,1.352110,-3.548838,0.090031,0.031757
0.050000,11.332186,10.133033,12.865239,1.174927,-3.543673,0.103312,0.023482
0.050000,11.382077,10.134030,12.915140,0.998011,-3.538314,0.107182,0.016475
0.050000,11.423141,10.134588,12.956207,0.821354,-3.533148,0.103302,0.010724
0.050000,11.455386,10.134861,12.988454,0.644929,-3.528489,0.093192,0.006218
0.050000,11.478821,10.134969,13.011889,0.468700,-3.524579,0.078198,0.002950
0.050000,11.493452,10.134997,13.026520,0.292620,-3.521602,0.059536,0.000912
0.050000,11.499283,10.135000,13.032352,0.116636,-3.519687,0.038298,0.000100
0.050000,11.500000,10.135000,13.033068,0.014331,-2.046104,29.471667,0.000000
0.050000,11.500000,10.135000,13.033068,0.000000,-0.286614,35.189805,0.000000
