dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004231,24.634999,0.003704,0.148148,2.962963,59.259259,6.282596
0.050000,0.017428,24.634979,0.016901,0.263944,2.315916,-12.940943,6.280758
0.050000,0.039428,24.634892,0.038901,0.440003,3.521183,24.105336,6.277691
0.050000,0.070237,24.634656,0.069711,0.616203,3.523996,0.056263,6.273388
0.050000,0.109864,24.634158,0.109341,0.792591,3.527768,0.075435,6.267840
0.050000,0.158315,24.633250,0.157801,0.969207,3.532324,0.091127,6.261039
0.050000,0.215600,24.631750,0.215105,1.146079,3.537431,0.102145,6.252972
0.050000,0.281720,24.629442,0.281266,1.323218,3.542789,0.107159,6.243628
0.050000,0.356676,24.626077,0.356297,1.500620,3.548024,0.104688,6.232995
0.050000,0.440456,24.621367,0.440210,1.678254,3.552678,0.093084,6.221063
0.050000,0.533040,24.614993,0.533013,1.856064,3.556207,0.070594,6.207824
0.050000,0.634391,24.606599,0.634711,2.033963,3.557974,0.035331,6.193274
0.050000,0.744454,24.595796,0.745302,2.211825,3.557246,-0.014561,6.177415
0.050000,0.863148,24.582164,0.864776,2.389485,3.553202,-0.080883,6.160256
0.050000,0.990365,24.565254,0.993113,2.566732,3.544945,-0.165129,6.141815
0.050000,1.125966,24.544591,1.130279,2.743309,3.531528,-0.268356,6.122121
0.050000,1.269769,24.519681,1.276224,2.918908,3.511983,-0.390888,6.101217
0.050000,1.421557,24.490015,1.430883,3.093177,3.485380,-0.532070,6.079162
0.050000,1.581062,24.455082,1.594169,3.265721,3.450879,-0.690010,6.056032
0.050000,1.747975,24.414372,1.765974,3.436111,3.407810,-0.861378,6.031921
0.050000,1.921937,24.367390,1.946169,3.603898,3.355745,-1.041296,6.006945
0.050000,2.102547,24.313664,2.134601,3.768627,3.294574,-1.223435,5.981239
0.050000,2.289363,24.252762,2.331093,3.929855,3.224560,-1.400273,5.954955
0.050000,2.481912,24.184297,2.535452,4.087174,3.146379,-1.563613,5.928267
0.050000,2.679695,24.107938,2.747464,4.240230,3.061115,-1.705295,5.901363
0.050000,2.882204,24.023423,2.966901,4.388741,2.970213,-1.818032,5.874442
0.050000,3.088929,23.930559,3.193526,4.532511,2.875400,-1.896264,5.847715
0.050000,3.295587,23.831114,3.422867,4.586807,1.085937,-35.789266,5.821859
0.050000,3.498227,23.727249,3.650574,4.554145,-0.653245,-34.783630,5.797442
0.050000,3.696881,23.619413,3.876609,4.520704,-0.668817,-0.311440,5.774499
0.050000,3.891622,23.508036,4.100950,4.486820,-0.677684,-0.177343,5.753049
0.050000,4.082555,23.393527,4.323589,4.452775,-0.680893,-0.064183,5.733100
0.050000,4.269815,23.276274,4.544529,4.418801,-0.679496,0.027935,5.714648
0.050000,4.453557,23.156644,4.763783,4.385075,-0.674502,0.099900,5.697682
0.050000,4.633950,23.034980,4.981369,4.351734,-0.666838,0.153269,5.682185
0.050000,4.811178,22.911603,5.197313,4.318867,-0.657339,0.189987,5.668137
0.050000,4.985430,22.786816,5.411639,4.286530,-0.646730,0.212171,5.655513
0.050000,5.156902,22.660900,5.624376,4.254748,-0.635633,0.221939,5.644290
0.050000,5.325789,22.534123,5.835552,4.223520,-0.624568,0.221299,5.634442
0.050000,5.492287,22.406734,6.045194,4.192822,-0.613964,0.212091,5.625947
