dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002894,22.364999,0.003704,0.148148,2.962963,59.259259,6.282596
0.050000,0.011919,22.364986,0.012729,0.180500,0.647046,-46.318342,6.280758
0.050000,0.026956,22.364926,0.027766,0.300737,2.404739,35.153860,6.277691
0.050000,0.047997,22.364765,0.048807,0.420833,2.401920,-0.056378,6.273388
0.050000,0.075032,22.364425,0.075844,0.540740,2.398140,-0.075595,6.267840
0.050000,0.108047,22.363806,0.108865,0.660419,2.393573,-0.091335,6.261039
0.050000,0.147026,22.362786,0.147857,0.779842,2.388453,-0.102405,6.252972
0.050000,0.191948,22.361218,0.192807,0.898996,2.383079,-0.107472,6.243628
0.050000,0.242791,22.358935,0.243701,1.017887,2.377827,-0.105051,6.232995
0.050000,0.299529,22.355746,0.300529,1.136545,2.373151,-0.093511,6.221063
0.050000,0.362132,22.351436,0.363280,1.255025,2.369598,-0.071064,6.207824
0.050000,0.430568,22.345768,0.431951,1.373415,2.367805,-0.035861,6.193274
0.050000,0.504804,22.338482,0.506543,1.491840,2.368505,0.013998,6.177415
0.050000,0.584801,22.329295,0.587066,1.610466,2.372519,0.080277,6.160256
0.050000,0.670522,22.317900,0.673541,1.729503,2.380744,0.164512,6.141815
0.050000,0.761928,22.303971,0.766002,1.849210,2.394132,0.267743,6.122121
0.050000,0.858977,22.287160,0.864496,1.969892,2.413647,0.390306,6.101217
0.050000,0.961630,22.267097,0.969091,2.091903,2.440225,0.531555,6.079162
0.050000,1.069847,22.243396,1.079873,2.215639,2.474705,0.689603,6.056032
0.050000,1.183588,22.215653,1.196950,2.341527,2.517761,0.861114,6.031921
0.050000,1.302817,22.183450,1.320451,2.470018,2.569822,1.041226,6.006945
0.050000,1.427496,22.146360,1.450529,2.601568,2.631001,1.223594,5.981239
0.050000,1.557587,22.103947,1.587360,2.736620,2.701036,1.400692,5.954955
0.050000,1.693056,22.055774,1.731139,2.875582,2.779252,1.564311,5.928267
0.050000,1.833865,22.001408,1.882080,3.018810,2.864565,1.706272,5.901363
0.050000,1.979979,21.940423,2.040409,3.166587,2.955529,1.819268,5.874442
0.050000,2.131359,21.872415,2.206364,3.319108,3.050415,1.897724,5.847715
0.050000,2.285127,21.798413,2.377013,3.412970,1.877244,-23.463420,5.821859
0.050000,2.438441,21.719825,2.549296,3.445656,0.653728,-24.470326,5.797442
0.050000,2.591322,21.636829,2.723252,3.479120,0.669282,0.311096,5.774499
0.050000,2.743795,21.549620,2.898903,3.513027,0.678126,0.176875,5.753049
0.050000,2.895890,21.458397,3.076257,3.547092,0.681307,0.063625,5.733100
0.050000,3.047647,21.363369,3.255312,3.581086,0.679880,-0.028551,5.714648
0.050000,3.199112,21.264749,3.436053,3.614829,0.674852,-0.100548,5.697682
0.050000,3.350339,21.162751,3.618463,3.648186,0.667156,-0.153927,5.682185
0.050000,3.501392,21.057591,3.802516,3.681068,0.657624,-0.190642,5.668137
0.050000,3.652345,20.949486,3.988187,3.713417,0.646983,-0.212810,5.655513
0.050000,3.803280,20.838647,4.175447,3.745210,0.635856,-0.222553,5.644290
0.050000,3.954288,20.725287,4.364270,3.776448,0.624762,-0.221887,5.634442
0.050000,4.105470,20.609615,4.554627,3.807154,0.614129,-0.212648,5.625947
0.050000,4.256934,20.491836,4.746496,3.837369,0.604306,-0.196472,5.618783
0.050000,4.408799,20.372152,4.939853,3.867148,0.595567,-0.174777,5.612931
0.050000,4.561189,20.250763,5.134681,3.896554,0.588128,-0.148779,5.608374
0.050000,4.714237,20.127868,5.330964,3.925662,0.582152,-0.119513,5.605099
0.050000,4.868085,20.003662,5.528691,3.954550,0.577759,-0.087859,5.603097
0.050000,5.022880,19.878342,5.727856,3.983301,0.575030,-0.054576,5.602361
0.050000,5.178777,19.752102,5.928457,4.012002,0.574014,-0.020333,5.602890
0.050000,5.335938,19.625141,6.130493,4.040738,0.574726,0.014254,5.604685
0.050000,5.494533,19.497658,6.333973,4.069596,0.577156,0.048590,5.607751
0.050000,5.654734,19.369857,6.538906,4.098659,0.581259,0.082065,5.612097
0.050000,5.816724,19.241949,6.745307,4.128007,0.586960,0.114020,5.617736
0.050000,5.980686,19.114149,6.953192,4.157714,0.594146,0.143714,5.624685
0.050000,6.146812,18.986684,7.162585,4.187847,0.602660,0.170290,5.632960
0.050000,6.315295,18.859790,7.373508,4.218462,0.612297,0.192740,5.642585
0.050000,6.486330,18.733715,7.585988,4.249602,0.622792,0.209883,5.653581
0.050000,6.660114,18.608724,7.800052,4.281292,0.633808,0.220333,5.665974
0.050000,6.836842,18.485097,8.015729,4.313539,0.644933,0.222495,5.679788
0.050000,7.016705,18.363131,8.233045,4.346322,0.655661,0.214565,5.695047
