dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002863,14.635001,0.003704,0.148148,2.962963,59.259259,0.000581
0.050000,0.011889,14.635014,0.012730,0.180522,0.647476,-46.309742,0.002418
0.050000,0.026915,14.635074,0.027756,0.300525,2.400060,35.051689,0.005495
0.050000,0.047915,14.635235,0.048756,0.420007,2.389645,-0.208312,0.009835
0.050000,0.074851,14.635575,0.075694,0.538754,2.374935,-0.294200,0.015469
0.050000,0.107672,14.636197,0.108521,0.656544,2.355808,-0.382530,0.022442
0.050000,0.146316,14.637226,0.147179,0.773150,2.332123,-0.473712,0.030803
0.050000,0.190704,14.638811,0.191596,0.888337,2.303725,-0.567950,0.040617
0.050000,0.240744,14.641127,0.241689,1.001860,2.270473,-0.665036,0.051956
0.050000,0.296323,14.644377,0.297362,1.113473,2.232259,-0.764285,0.064904
0.050000,0.357310,14.648787,0.358509,1.222926,2.189049,-0.864194,0.079557
0.050000,0.423553,14.654614,0.425007,1.329973,2.140940,-0.962192,0.096020
0.050000,0.494876,14.662143,0.496727,1.434384,2.088227,-1.054259,0.114410
0.050000,0.571078,14.671684,0.573524,1.535960,2.031510,-1.134345,0.134851
0.050000,0.651935,14.683581,0.655252,1.634550,1.971816,-1.193869,0.157475
0.050000,0.737195,14.698204,0.741756,1.730089,1.910765,-1.221020,0.182416
0.050000,0.826581,14.715953,0.832888,1.822626,1.850754,-1.200219,0.209807
0.050000,0.919797,14.737257,0.928507,1.912385,1.795163,-1.111824,0.239769
0.050000,1.016529,14.762574,1.028498,1.999811,1.748539,-0.932480,0.272405
0.050000,1.116458,14.792392,1.132780,2.085647,1.716714,-0.636497,0.307785
0.050000,1.219264,14.827233,1.241329,2.170985,1.706760,-0.199081,0.345931
0.050000,1.324643,14.867655,1.354195,2.257319,1.726677,0.398348,0.386800
0.050000,1.432318,14.914257,1.471523,2.346554,1.784702,1.160493,0.430262
0.050000,1.542049,14.967689,1.593571,2.440962,1.888161,2.069181,0.476090
0.050000,1.653634,15.028654,1.720724,2.543059,2.041936,3.075487,0.523946
0.050000,1.766911,15.097908,1.853494,2.655398,2.246781,4.096913,0.573378
0.050000,1.881743,15.176257,1.992509,2.780297,2.497970,5.023783,0.623833
0.050000,1.995912,15.262869,2.135813,2.866088,1.715825,-15.642904,0.673772
0.050000,2.107384,15.356384,2.281316,2.910058,0.879399,-16.728532,0.721775
0.050000,2.216276,15.456795,2.429436,2.962408,1.047002,3.352061,0.767473
0.050000,2.322663,15.564021,2.580485,3.020967,1.171174,2.483440,0.810592
0.050000,2.426593,15.677908,2.734665,3.083615,1.252965,1.635825,0.850952
0.050000,2.528102,15.798231,2.892088,3.148448,1.296668,0.874062,0.888457
0.050000,2.627225,15.924711,3.052781,3.213873,1.308489,0.236425,0.923081
0.050000,2.724009,16.057023,3.216713,3.278640,1.295347,-0.262847,0.954853
0.050000,2.818518,16.194819,3.383805,3.341839,1.263973,-0.627471,0.983842
0.050000,2.910840,16.337736,3.553948,3.402857,1.220361,-0.872238,1.010143
0.050000,3.001085,16.485411,3.727015,3.461332,1.169506,-1.017113,1.033870
0.050000,3.089388,16.637488,3.902870,3.517100,1.115356,-1.082994,1.055140
0.050000,3.175904,16.793629,4.081377,3.570145,1.060898,-1.089165,1.074074
0.050000,3.260807,16.953512,4.262405,3.620559,1.008296,-1.052038,1.090787
0.050000,3.344290,17.116838,4.445831,3.668512,0.959056,-0.984787,1.105389
0.050000,3.426559,17.283333,4.631542,3.714221,0.914180,-0.897532,1.117977
0.050000,3.507834,17.452742,4.819438,3.757936,0.874295,-0.797700,1.128640
0.050000,3.588347,17.624836,5.009435,3.799924,0.839767,-0.690553,1.137453
0.050000,3.668339,17.799405,5.201458,3.840464,0.810785,-0.579634,1.144481
0.050000,3.748065,17.976257,5.395450,3.879835,0.787426,-0.467186,1.149774
0.050000,3.827787,18.155219,5.591366,3.918320,0.769701,-0.354498,1.153373
0.050000,3.907781,18.336133,5.789176,3.956200,0.757592,-0.242179,1.155302
0.050000,3.988333,18.518852,5.988863,3.993753,0.751074,-0.130370,1.155577
