dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002863,12.364999,0.003704,0.148148,2.962963,59.259259,6.282604
0.050000,0.011889,12.364986,0.012730,0.180522,0.647476,-46.309742,6.280767
0.050000,0.026915,12.364926,0.027756,0.300525,2.400060,35.051689,6.277690
0.050000,0.047915,12.364765,0.048756,0.420007,2.389645,-0.208312,6.273351
0.050000,0.074851,12.364425,0.075694,0.538754,2.374935,-0.294200,6.267716
0.050000,0.107672,12.363803,0.108521,0.656544,2.355808,-0.382530,6.260744
0.050000,0.146316,12.362774,0.147179,0.773150,2.332123,-0.473712,6.252382
0.050000,0.190704,12.361189,0.191596,0.888337,2.303725,-0.567950,6.242568
0.050000,0.240744,12.358873,0.241689,1.001860,2.270473,-0.665036,6.231229
0.050000,0.296323,12.355623,0.297362,1.113473,2.232259,-0.764285,6.218281
0.050000,0.357310,12.351213,0.358509,1.222926,2.189049,-0.864194,6.203628
0.050000,0.423553,12.345386,0.425007,1.329973,2.140940,-0.962192,6.187165
0.050000,0.494876,12.337857,0.496727,1.434384,2.088227,-1.054259,6.168775
0.050000,0.571078,12.328316,0.573524,1.535960,2.031510,-1.134345,6.148334
0.050000,0.651935,12.316419,0.655252,1.634550,1.971816,-1.193869,6.125710
0.050000,0.737195,12.301796,0.741756,1.730089,1.910765,-1.221020,6.100769
0.050000,0.826581,12.284047,0.832888,1.822626,1.850754,-1.200219,6.073379
0.050000,0.919797,12.262743,0.928507,1.912385,1.795163,-1.111824,6.043417
0.050000,1.016529,12.237426,1.028498,1.999811,1.748539,-0.932480,6.010781
0.050000,1.116458,12.207608,1.132780,2.085647,1.716714,-0.636497,5.975400
0.050000,1.219264,12.172767,1.241329,2.170985,1.706760,-0.199081,5.937254
0.050000,1.324643,12.132345,1.354195,2.257319,1.726677,0.398348,5.896386
0.050000,1.432318,12.085743,1.471523,2.346554,1.784702,1.160493,5.852923
0.050000,1.542049,12.032311,1.593571,2.440962,1.888161,2.069181,5.807095
0.050000,1.653634,11.971346,1.720724,2.543059,2.041936,3.075487,5.759239
0.050000,1.766911,11.902092,1.853494,2.655398,2.246781,4.096913,5.709807
0.050000,1.881743,11.823743,1.992509,2.780297,2.497970,5.023783,5.659352
0.050000,1.995912,11.737131,2.135813,2.866088,1.715825,-15.642904,5.609413
0.050000,2.107384,11.643616,2.281316,2.910058,0.879399,-16.728532,5.561410
0.050000,2.216276,11.543205,2.429436,2.962408,1.047002,3.352061,5.515713
0.050000,2.322663,11.435979,2.580485,3.020967,1.171174,2.483440,5.472594
0.050000,2.426593,11.322092,2.734665,3.083615,1.252965,1.635825,5.432233
0.050000,2.528102,11.201769,2.892088,3.148448,1.296668,0.874062,5.394728
0.050000,2.627225,11.075289,3.052781,3.213873,1.308489,0.236425,5.360104
0.050000,2.724009,10.942977,3.216713,3.278640,1.295347,-0.262847,5.328332
0.050000,2.818518,10.805181,3.383805,3.341839,1.263973,-0.627471,5.299344
0.050000,2.910840,10.662264,3.553948,3.402857,1.220361,-0.872238,5.273042
0.050000,3.001085,10.514589,3.727015,3.461332,1.169506,-1.017113,5.249316
0.050000,3.089388,10.362512,3.902870,3.517100,1.115356,-1.082994,5.228046
0.050000,3.175904,10.206371,4.081377,3.570145,1.060898,-1.089165,5.209112
0.050000,3.260807,10.046488,4.262405,3.620559,1.008296,-1.052038,5.192398
0.050000,3.344290,9.883162,4.445831,3.668512,0.959056,-0.984787,5.177796
0.050000,3.426559,9.716667,4.631542,3.714221,0.914180,-0.897532,5.165208
0.050000,3.507834,9.547258,4.819438,3.757936,0.874295,-0.797700,5.154545
0.050000,3.588347,9.375164,5.009435,3.799924,0.839767,-0.690553,5.145732
0.050000,3.668339,9.200595,5.201458,3.840464,0.810785,-0.579634,5.138704
0.050000,3.748065,9.023743,5.395450,3.879835,0.787426,-0.467186,5.133411
0.050000,3.827787,8.844781,5.591366,3.918320,0.769701,-0.354498,5.129813
0.050000,3.907781,8.663867,5.789176,3.956200,0.757592,-0.242179,5.127883
0.050000,3.988333,8.481148,5.988863,3.993753,0.751074,-0.130370,5.127608
0.050000,4.069743,8.296757,6.190426,4.031260,0.750128,-0.018923,5.128985
0.050000,4.152326,8.110822,6.393876,4.068997,0.754751,0.092458,5.132025
0.050000,4.236413,7.923464,6.599238,4.107245,0.764955,0.204090,5.136749
0.050000,4.322354,7.734802,6.806553,4.146283,0.780764,0.316187,5.143194
0.050000,4.410520,7.544956,7.015872,4.186393,0.802200,0.428717,5.151405
