dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003590,13.499998,0.003704,0.148148,2.962963,59.259259,6.282260
0.050000,0.014702,13.499972,0.014815,0.296296,2.962963,0.000000,6.279388
0.050000,0.033220,13.499857,0.033333,0.444444,2.962963,0.000000,6.274571
0.050000,0.059144,13.499546,0.059259,0.592593,2.962963,0.000000,6.267763
0.050000,0.092470,13.498884,0.092593,0.740741,2.962963,0.000000,6.258900
0.050000,0.133193,13.497672,0.133333,0.888889,2.962963,0.000000,6.247899
0.050000,0.181298,13.495656,0.181481,1.037037,2.962963,0.000000,6.234658
0.050000,0.236765,13.492530,0.237037,1.185185,2.962963,0.000000,6.219059
0.050000,0.299559,13.487929,0.300000,1.333333,2.962963,0.000000,6.200965
0.050000,0.369627,13.481426,0.370370,1.481481,2.962963,0.000000,6.180228
0.050000,0.446892,13.472527,0.448148,1.629630,2.962963,0.000000,6.156687
0.050000,0.531245,13.460666,0.533333,1.777778,2.962963,0.000000,6.130179
0.050000,0.622535,13.445207,0.625926,1.925926,2.962963,0.000000,6.100550
0.050000,0.720557,13.425438,0.725926,2.074074,2.962963,0.000000,6.067662
0.050000,0.825042,13.400580,0.833333,2.222222,2.962963,0.000000,6.031419
0.050000,0.935643,13.369790,0.948148,2.370370,2.962963,-0.000000,5.991788
0.050000,1.051925,13.332179,1.070370,2.518519,2.962963,0.000000,5.948825
0.050000,1.173353,13.286835,1.200000,2.666667,2.962963,-0.000000,5.902707
0.050000,1.299294,13.232851,1.337037,2.814815,2.962963,0.000000,5.853756
0.050000,1.429020,13.169363,1.481481,2.962963,2.962963,-0.000000,5.802456
0.050000,1.561730,13.095595,1.633333,3.111111,2.962963,0.000000,5.749456
0.050000,1.696575,13.010894,1.792593,3.259259,2.962963,-0.000000,5.695546
0.050000,1.832702,12.914767,1.959259,3.407407,2.962963,0.000000,5.641613
0.050000,1.969303,12.806902,2.133333,3.555556,2.962963,-0.000000,5.588585
0.050000,2.105658,12.687171,2.314815,3.703704,2.962963,0.000000,5.537360
0.050000,2.241180,12.555619,2.503704,3.851852,2.962963,-0.000000,5.488752
0.050000,2.375440,12.412441,2.700000,4.000000,2.962963,0.000000,5.443449
0.050000,2.505834,12.260811,2.900000,4.000000,0.000000,-59.259259,5.402703
0.050000,2.630361,12.104322,3.100000,4.000000,0.000000,0.000000,5.367235
