dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.995248,6.865002,0.003704,0.148148,2.962963,59.259259,3.140587
0.050000,10.980618,6.865040,0.018333,0.292594,2.888922,-1.480818,3.137487
0.050000,10.956214,6.865203,0.042739,0.488105,3.910206,20.425674,3.132300
0.050000,10.922003,6.865646,0.076952,0.684272,3.923348,0.262854,3.124998
0.050000,10.877946,6.866585,0.121019,0.881330,3.941152,0.356070,3.115542
0.050000,10.824000,6.868305,0.174993,1.079477,3.962942,0.435794,3.103882
0.050000,10.760120,6.871160,0.238936,1.278864,3.987738,0.495917,3.089966
0.050000,10.686274,6.875576,0.312914,1.479572,4.014169,0.528630,3.073733
0.050000,10.602444,6.882057,0.396994,1.681591,4.040380,0.524218,3.055127
0.050000,10.508648,6.891180,0.491233,1.884787,4.063925,0.470895,3.034096
0.050000,10.404946,6.903604,0.595677,2.088871,4.081679,0.355091,3.010600
0.050000,10.291464,6.920055,0.710345,2.293361,4.089788,0.162183,2.984621
0.050000,10.168412,6.941328,0.835222,2.497545,4.083692,-0.121933,2.956172
0.050000,10.036103,6.968265,0.970245,2.700459,4.058272,-0.508398,2.925310
0.050000,9.894975,7.001737,1.115288,2.900868,4.008177,-1.001894,2.892145
0.050000,9.745602,7.042612,1.270153,3.097285,3.928353,-1.596488,2.856852
0.050000,9.588708,7.091723,1.434554,3.288024,3.814770,-2.271652,2.819682
0.050000,9.425156,7.149821,1.608118,3.471288,3.665281,-2.989789,2.780963
0.050000,9.255936,7.217535,1.790384,3.645309,3.480428,-3.697047,2.741104
0.050000,9.082127,7.295332,1.980809,3.808509,3.263991,-4.328754,2.700580
0.050000,8.904854,7.383488,2.178792,3.959659,3.023010,-4.819621,2.659924
0.050000,8.725228,7.482073,2.383693,4.098018,2.767167,-5.116844,2.619699
0.050000,8.544291,7.590951,2.594863,4.223395,2.507544,-5.192464,2.580477
0.050000,8.362961,7.709799,2.811670,4.336145,2.255003,-5.050815,2.542816
0.050000,8.181991,7.838130,3.033524,4.437074,2.018587,-4.728337,2.507235
0.050000,8.001944,7.975330,3.259888,4.527289,1.804290,-4.285921,2.474208
0.050000,7.823185,8.120691,3.490289,4.608012,1.614455,-3.796711,2.444152
0.050000,7.649039,8.270644,3.720099,4.596209,-0.236051,-37.010128,2.417882
0.050000,7.482132,8.421531,3.945099,4.499992,-1.924343,-33.765825,2.395852
0.050000,7.321646,8.572551,4.165468,4.407382,-1.852197,1.442914,2.377903
0.050000,7.166794,8.723006,4.381375,4.318148,-1.784688,1.350186,2.363886
0.050000,7.016835,8.872280,4.592965,4.231800,-1.726943,1.154903,2.353674
0.050000,6.871085,9.019810,4.800350,4.147685,-1.682301,0.892836,2.347167
0.050000,6.728918,9.165068,5.003602,4.065045,-1.652814,0.589734,2.344302
0.050000,6.589770,9.307546,5.202755,3.983064,-1.639620,0.263874,2.345048
0.050000,6.453137,9.446737,5.397800,3.900905,-1.643180,-0.071202,2.349413
0.050000,6.318577,9.582130,5.588687,3.817736,-1.663381,-0.404019,2.357442
0.050000,6.185711,9.713204,5.775325,3.732760,-1.699509,-0.722559,2.369214
0.050000,6.054220,9.839417,5.957588,3.645256,-1.750092,-1.011644,2.384840
0.050000,5.923852,9.960218,6.135319,3.554625,-1.812602,-1.250219,2.404457
0.050000,5.794420,10.075041,6.308343,3.460474,-1.883034,-1.408631,2.428221
0.050000,5.665798,10.183327,6.476478,3.362706,-1.955350,-1.446310,2.456291
0.050000,5.537920,10.284536,6.639561,3.261662,-2.020890,-1.310808,2.488811
0.050000,5.410763,10.378172,6.797474,3.158268,-2.067885,-0.939900,2.525883
0.050000,5.284329,10.463816,6.950184,3.054200,-2.081348,-0.269260,2.567539
0.050000,5.158610,10.541150,7.097785,2.952012,-2.043766,0.751641,2.613694
0.050000,5.033545,10.609988,7.240543,2.855160,-1.937046,2.134393,2.664114
0.050000,4.908976,10.670281,7.378936,2.767860,-1.745997,3.820984,2.718379
0.050000,4.784607,10.722106,7.513671,2.694708,-1.463037,5.659192,2.775864
0.050000,4.659986,10.765633,7.645675,2.640062,-1.092907,7.402607,2.835756
0.050000,4.534530,10.801069,7.776039,2.607297,-0.655308,8.751986,2.897091
0.050000,4.407577,10.828609,7.905946,2.598124,-0.183471,9.436734,2.958829
0.050000,4.278473,10.848394,8.036556,2.612218,0.281886,9.307146,3.019947
0.050000,4.146664,10.860503,8.168921,2.647289,0.701427,8.390821,3.079520
0.050000,4.011760,10.864972,8.303899,2.699563,1.045469,6.880838,3.136792
0.050000,4.177591,13.135380,10.580355,45.529122,856.591189,17110.914399,0.004533
0.050000,4.369990,13.136865,10.772759,3.848085,-833.620739,-33804.238569,0.011225
0.050000,4.560281,13.139783,10.963073,3.806271,-0.836274,16655.689316,0.019759
0.050000,4.748398,13.144449,11.151248,3.763497,-0.855496,-0.384456,0.030177
0.050000,4.934256,13.151175,11.337228,3.719598,-0.877982,-0.449704,0.042529
0.050000,5.117753,13.160269,11.520950,3.674440,-0.903159,-0.503549,0.056869
0.050000,5.298768,13.172028,11.702346,3.627927,-0.930245,-0.541713,0.073258
0.050000,5.477163,13.186745,11.881347,3.580018,-0.958186,-0.558824,0.091757
0.050000,5.652784,13.204700,12.057884,3.530738,-0.985603,-0.548342,0.112427
0.050000,5.825466,13.226163,12.231894,3.480201,-1.010733,-0.502609,0.135322
0.050000,5.995031,13.251389,12.403326,3.428632,-1.031389,-0.413120,0.160488
0.050000,6.161301,13.280614,12.572145,3.376385,-1.044944,-0.271085,0.187956
0.050000,6.324100,13.314058,12.738343,3.323966,-1.048365,-0.068422,0.217732
0.050000,6.481704,13.351521,12.900339,3.239910,-1.681134,-12.655390,0.249465
0.050000,6.631237,13.392216,13.055310,3.099427,-2.809657,-22.570449,0.282380
0.050000,6.771615,13.435478,13.202203,2.937859,-3.231365,-8.434160,0.315885
0.050000,6.903174,13.480925,13.341391,2.783760,-3.081963,2.988035,0.349653
0.050000,7.026276,13.528158,13.473243,2.637045,-2.934301,2.953242,0.383359
0.050000,7.141293,13.576775,13.598113,2.497402,-2.792863,2.828759,0.416690
0.050000,7.248602,13.626372,13.716329,2.364315,-2.661740,2.622464,0.449358
0.050000,7.348572,13.676547,13.828184,2.237103,-2.544245,2.349895,0.481104
0.050000,7.441558,13.726908,13.933933,2.114970,-2.442666,2.031588,0.511705
0.050000,7.527898,13.777069,14.033786,1.997061,-2.358169,1.689933,0.540974
0.050000,7.607903,13.826657,14.127912,1.882518,-2.290857,1.346240,0.568763
0.050000,7.681861,13.875309,14.216438,1.770522,-2.239931,1.018523,0.594960
0.050000,7.750037,13.922678,14.299454,1.660326,-2.203917,0.720266,0.619485
0.050000,7.812669,13.968430,14.377018,1.551280,-2.180912,0.460104,0.642288
0.050000,7.869977,14.012252,14.449160,1.442840,-2.168801,0.242218,0.663342
0.050000,7.922155,14.053847,14.515888,1.334568,-2.165443,0.067170,0.682640
0.050000,7.969381,14.092938,14.577195,1.226128,-2.168799,-0.067119,0.700189
0.050000,8.011815,14.129272,14.633059,1.117277,-2.177019,-0.164413,0.716007
0.050000,8.049598,14.162616,14.683451,1.007853,-2.188487,-0.229352,0.730119
0.050000,8.082857,14.192763,14.728339,0.897761,-2.201829,-0.266849,0.742555
0.050000,8.111702,14.219525,14.767688,0.786966,-2.215913,-0.281663,0.753345
0.050000,8.136231,14.242742,14.801462,0.675475,-2.229820,-0.278153,0.762520
0.050000,8.156524,14.262275,14.829628,0.563333,-2.242828,-0.260153,0.770110
0.050000,8.172650,14.278010,14.852159,0.450615,-2.254375,-0.230937,0.776138
0.050000,8.184663,14.289856,14.869030,0.337413,-2.264037,-0.193252,0.780628
0.050000,8.192602,14.297743,14.880221,0.223838,-2.271506,-0.149373,0.783594
0.050000,8.196496,14.301629,14.885722,0.110009,-2.276566,-0.101197,0.785048
0.050000,8.197434,14.302566,14.887048,0.026522,-1.669738,12.136558,0.785398
0.050000,8.197434,14.302566,14.887048,0.000000,-0.530447,22.785813,0.785398
