dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003843,3.365000,0.003704,0.148148,2.962963,59.259259,0.000212
0.050000,0.015695,3.365007,0.015555,0.237033,1.777694,-23.705381,0.000864
0.050000,0.035444,3.365035,0.035305,0.394989,3.159114,27.628393,0.001949
0.050000,0.063086,3.365109,0.062947,0.552845,3.157121,-0.039851,0.003461
0.050000,0.098614,3.365267,0.098475,0.710561,3.154320,-0.056028,0.005395
0.050000,0.142018,3.365552,0.141880,0.868095,3.150698,-0.072432,0.007742
0.050000,0.193286,3.366019,0.193150,1.025408,3.146242,-0.089115,0.010493
0.050000,0.252404,3.366733,0.252273,1.182454,3.140936,-0.106119,0.013636
0.050000,0.319356,3.367764,0.319233,1.339193,3.134763,-0.123474,0.017157
0.050000,0.394121,3.369192,0.394011,1.495578,3.127703,-0.141199,0.021041
0.050000,0.476677,3.371105,0.476590,1.651565,3.119738,-0.159296,0.025271
0.050000,0.566999,3.373594,0.566945,1.807107,3.110850,-0.177756,0.029826
0.050000,0.665055,3.376759,0.665053,1.962158,3.101022,-0.196551,0.034685
0.050000,0.770815,3.380702,0.770886,2.116670,3.090240,-0.215641,0.039825
0.050000,0.884242,3.385529,0.884416,2.270595,3.078492,-0.234970,0.045219
0.050000,1.005297,3.391349,1.005610,2.423883,3.065769,-0.254469,0.050840
0.050000,1.133935,3.398272,1.134435,2.576486,3.052066,-0.274059,0.056657
0.050000,1.270110,3.406406,1.270852,2.728356,3.037383,-0.293655,0.062638
0.050000,1.413771,3.415860,1.414824,2.879442,3.021725,-0.313164,0.068748
0.050000,1.564865,3.426737,1.566309,3.029697,3.005100,-0.332494,0.074951
0.050000,1.723334,3.439139,1.725263,3.179073,2.987522,-0.351559,0.081209
0.050000,1.889119,3.453159,1.891639,3.327523,2.969008,-0.370278,0.087479
0.050000,2.062156,3.468884,2.065389,3.475002,2.949579,-0.388585,0.093721
0.050000,2.242381,3.486391,2.246463,3.621465,2.929257,-0.406435,0.099888
0.050000,2.429727,3.505745,2.434806,3.766868,2.908067,-0.423803,0.105934
0.050000,2.624127,3.527000,2.630364,3.911170,2.886032,-0.440690,0.111810
0.050000,2.825512,3.550196,2.833081,4.054329,2.863176,-0.457129,0.117467
0.050000,3.030032,3.574888,3.039086,4.120109,1.315594,-30.951629,0.122758
0.050000,3.233889,3.600546,3.244551,4.109293,-0.216312,-30.638129,0.127573
0.050000,3.437089,3.627067,3.449475,4.098483,-0.216203,0.002181,0.131912
0.050000,3.639644,3.654348,3.653859,4.087681,-0.216036,0.003332,0.135774
0.050000,3.841565,3.682290,3.857704,4.076889,-0.215834,0.004054,0.139162
0.050000,4.042862,3.710792,4.061009,4.066109,-0.215614,0.004396,0.142074
0.050000,4.243550,3.739756,4.263776,4.055339,-0.215394,0.004405,0.144512
0.050000,4.443641,3.769083,4.466005,4.044580,-0.215187,0.004129,0.146476
0.050000,4.643150,3.798677,4.667696,4.033829,-0.215006,0.003616,0.147966
0.050000,4.842090,3.828441,4.868851,4.023086,-0.214861,0.002912,0.148983
0.050000,5.040476,3.858281,5.069468,4.012348,-0.214758,0.002065,0.149527
0.050000,5.238322,3.888102,5.269549,4.001613,-0.214702,0.001120,0.149598
0.050000,5.435642,3.917811,5.469093,3.990879,-0.214695,0.000122,0.149196
0.050000,5.632450,3.947313,5.668100,3.980142,-0.214740,-0.000883,0.148321
0.050000,5.828759,3.976518,5.866570,3.969400,-0.214832,-0.001849,0.146973
