dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003027,4.635001,0.003704,0.148148,2.962963,59.259259,0.000334
0.050000,0.012897,4.635009,0.013575,0.197416,0.985357,-39.552120,0.001427
0.050000,0.029339,4.635048,0.030016,0.328840,2.628476,32.862387,0.003257
0.050000,0.052338,4.635152,0.053016,0.459981,2.622814,-0.113239,0.005835
0.050000,0.081873,4.635374,0.082551,0.590719,2.614773,-0.160823,0.009181
0.050000,0.117917,4.635779,0.118598,0.720931,2.604238,-0.210709,0.013317
0.050000,0.160436,4.636450,0.161122,0.850484,2.591054,-0.263667,0.018272
0.050000,0.209387,4.637487,0.210084,0.979235,2.575032,-0.320446,0.024081
0.050000,0.264718,4.639004,0.265436,1.107032,2.555937,-0.381910,0.030787
0.050000,0.326366,4.641138,0.327121,1.233707,2.533489,-0.448945,0.038439
0.050000,0.394258,4.644042,0.395075,1.359075,2.507365,-0.522491,0.047094
0.050000,0.468305,4.647891,0.469221,1.482934,2.477185,-0.603606,0.056820
0.050000,0.548402,4.652881,0.549474,1.605060,2.442520,-0.693284,0.067691
0.050000,0.634429,4.659234,0.635735,1.725205,2.402891,-0.792583,0.079796
0.050000,0.726239,4.667192,0.727889,1.843093,2.357771,-0.902411,0.093234
0.050000,0.823665,4.677029,0.825810,1.958423,2.306595,-1.023516,0.108118
0.050000,0.926509,4.689042,0.929354,2.070862,2.248789,-1.156118,0.124574
0.050000,1.034540,4.703560,1.038356,2.180052,2.183796,-1.299861,0.142746
0.050000,1.147491,4.720941,1.152637,2.285610,2.111146,-1.452993,0.162794
0.050000,1.265051,4.741574,1.271994,2.387137,2.030542,-1.612082,0.184896
0.050000,1.386861,4.765880,1.396205,2.484237,1.942006,-1.770721,0.209246
0.050000,1.512512,4.794310,1.525032,2.576541,1.846087,-1.918381,0.236055
0.050000,1.641538,4.827344,1.658220,2.663749,1.744145,-2.038833,0.265548
0.050000,1.773416,4.865492,1.795504,2.745686,1.638751,-2.107894,0.297956
0.050000,1.907568,4.909285,1.936624,2.822394,1.534166,-2.091694,0.333511
0.050000,2.043370,4.959281,2.081336,2.894240,1.436909,-1.945147,0.372425
0.050000,2.180157,5.016058,2.229439,2.962054,1.356288,-1.612416,0.414877
0.050000,2.314804,5.079001,2.378071,2.972657,0.212057,-22.884626,0.460123
0.050000,2.444568,5.147129,2.524632,2.931208,-0.828986,-20.820845,0.507194
0.050000,2.569392,5.220492,2.669419,2.895743,-0.709290,2.393903,0.555827
0.050000,2.689289,5.299154,2.812816,2.867947,-0.555918,3.067443,0.605684
0.050000,2.804325,5.383196,2.955282,2.849308,-0.372786,3.662639,0.656362
0.050000,2.914610,5.472721,3.097329,2.840948,-0.167204,4.111656,0.707408
0.050000,3.020277,5.567841,3.239503,2.843481,0.050668,4.357436,0.758343
0.050000,3.121465,5.668668,3.382350,2.856931,0.268993,4.366502,0.808685
0.050000,3.218302,5.775294,3.526386,2.880723,0.475851,4.137148,0.857979
0.050000,3.310893,5.887775,3.672074,2.913766,0.660847,3.699934,0.905819
0.050000,3.399321,6.006115,3.819803,2.954584,0.816361,3.110271,0.951861
0.050000,3.483651,6.130255,3.969878,3.001492,0.938157,2.435920,0.995837
0.050000,3.563933,6.260075,4.122516,3.052759,1.025340,1.743665,1.037556
0.050000,3.640214,6.395393,4.277853,3.106748,1.079787,1.088930,1.076898
0.050000,3.712545,6.535978,4.435954,3.162013,1.105302,0.510311,1.113805
0.050000,3.780993,6.681557,4.596822,3.217350,1.106744,0.028833,1.148276
0.050000,3.845638,6.831833,4.760412,3.271814,1.089271,-0.349468,1.180349
0.050000,3.906579,6.986495,4.926647,3.324704,1.057802,-0.629370,1.210092
0.050000,3.963934,7.145228,5.095424,3.375539,1.016691,-0.822221,1.237597
0.050000,4.017839,7.307721,5.266625,3.424017,0.969574,-0.942342,1.262967
0.050000,4.068443,7.473676,5.440124,3.469985,0.919347,-1.004534,1.286312
0.050000,4.115907,7.642812,5.615794,3.513396,0.868224,-1.022470,1.307745
0.050000,4.160403,7.814866,5.793509,3.554287,0.817825,-1.007965,1.327378
0.050000,4.202108,7.989596,5.973146,3.592752,0.769291,-0.970682,1.345316
0.050000,4.241202,8.166780,6.154592,3.628921,0.723380,-0.918222,1.361661
0.050000,4.277872,8.346219,6.337740,3.662949,0.680561,-0.856394,1.376508
0.050000,4.312300,8.527733,6.522490,3.695003,0.641089,-0.789424,1.389943
0.050000,4.344673,8.711161,6.708753,3.725257,0.605071,-0.720373,1.402045
0.050000,4.375173,8.896360,6.896447,3.753882,0.572505,-0.651310,1.412886
0.050000,4.403982,9.083205,7.085499,3.781048,0.543325,-0.583609,1.422531
0.050000,4.431281,9.271583,7.275845,3.806919,0.517421,-0.518078,1.431036
0.050000,4.457249,9.461397,7.467428,3.831652,0.494663,-0.455164,1.438452
0.050000,4.482060,9.652564,7.660198,3.855398,0.474912,-0.395011,1.444822
0.050000,4.505892,9.845009,7.854113,3.878300,0.458033,-0.337577,1.450183
0.050000,4.528917,10.038670,8.049137,3.900495,0.443899,-0.282677,1.454566
0.050000,4.551310,10.233493,8.245243,3.922114,0.432397,-0.230040,1.457997
0.050000,4.573242,10.429433,8.442407,3.943286,0.423431,-0.179330,1.460496
0.050000,4.594890,10.626454,8.640614,3.964132,0.416922,-0.130171,1.462076
0.050000,4.616427,10.824525,8.839853,3.984773,0.412814,-0.082164,1.462746
0.050000,4.638032,11.023623,9.040119,4.005326,0.411069,-0.034896,1.462512
0.050000,4.659886,11.223729,9.241414,4.025910,0.411672,0.012055,1.461370
0.050000,4.682173,11.424829,9.443747,4.046641,0.414628,0.059114,1.459316
0.050000,4.705085,11.626917,9.647129,4.067639,0.419963,0.106704,1.456336
0.050000,4.728818,11.829986,9.851580,4.089026,0.427725,0.155242,1.452414
0.050000,4.753577,12.034036,10.057126,4.110925,0.437982,0.205138,1.447527
0.050000,4.779575,12.239067,10.263799,4.133466,0.450821,0.256775,1.441647
0.050000,4.807037,12.445084,10.471638,4.156783,0.466346,0.310515,1.434740
0.050000,4.836200,12.652091,10.680689,4.181017,0.484679,0.366656,1.426766
0.050000,4.867314,12.860092,10.891005,4.206315,0.505951,0.425434,1.417676
0.050000,4.900647,13.069092,11.102647,4.232830,0.530299,0.486967,1.407418
0.050000,4.936483,13.279093,11.315683,4.260723,0.557859,0.551197,1.395932
0.050000,4.975130,13.490091,11.530191,4.290160,0.588751,0.617844,1.383148
0.050000,5.016915,13.702077,11.746256,4.321313,0.623066,0.686287,1.368992
0.050000,5.062193,13.915035,11.963974,4.354355,0.660838,0.755441,1.353380
0.050000,5.111346,14.128933,12.183447,4.389456,0.702017,0.823590,1.336221
0.050000,5.164786,14.343723,12.404786,4.426777,0.746427,0.888199,1.317417
0.050000,5.222958,14.559337,12.628109,4.466463,0.793709,0.945632,1.296864
0.050000,5.286339,14.775675,12.853540,4.508626,0.843252,0.990867,1.274454
0.050000,5.355440,14.992602,13.081207,4.553331,0.894114,1.017245,1.250073
0.050000,5.430806,15.209934,13.311236,4.600577,0.944919,1.016091,1.223610
0.050000,5.513008,15.427431,13.543749,4.650265,0.993752,0.976662,1.194957
0.050000,5.602642,15.644783,13.778857,4.702168,1.038059,0.886134,1.164016
0.050000,5.700314,15.861593,14.016652,4.755896,1.074566,0.730140,1.130707
0.050000,5.806626,16.077368,14.257195,4.810859,1.099262,0.493926,1.094975
0.050000,5.922151,16.291504,14.500507,4.866233,1.107480,0.164364,1.056802
0.050000,6.047411,16.503280,14.746554,4.920940,1.094134,-0.266934,1.016217
0.050000,6.182837,16.711853,14.995236,4.973647,1.054151,-0.799659,0.973308
0.050000,6.328735,16.916267,15.246376,5.022804,0.983127,-1.420462,0.928232
0.050000,6.485248,17.115472,15.499712,5.066712,0.878158,-2.099385,0.881220
0.050000,6.652319,17.308359,15.754894,5.103647,0.738716,-2.788838,0.832579
0.050000,6.829672,17.493804,16.011495,5.132017,0.567385,-3.426632,0.782687
0.050000,7.016802,17.670728,16.269021,5.150526,0.370179,-3.944108,0.731979
0.050000,7.212991,17.838154,16.526938,5.158339,0.156261,-4.278358,0.680926
0.050000,7.417336,17.995261,16.784698,5.155188,-0.063023,-4.385682,0.630012
0.050000,7.628806,18.141432,17.041768,5.141407,-0.275612,-4.251794,0.579706
0.050000,7.846292,18.276271,17.297662,5.117888,-0.470386,-3.895471,0.530437
0.050000,8.068674,18.399615,17.551960,5.085959,-0.638568,-3.363631,0.482576
0.050000,8.294873,18.511510,17.804322,5.047230,-0.774593,-2.720501,0.436423
0.050000,8.521675,18.611271,18.052095,4.955467,-1.835259,-21.213335,0.392617
0.050000,8.743862,18.698007,18.290611,4.770323,-3.702872,-37.352254,0.352012
0.050000,8.958553,18.772338,18.517806,4.543898,-4.528506,-16.512685,0.314857
0.050000,9.165141,18.835743,18.733905,4.321980,-4.438365,1.802834,0.280954
0.050000,9.363211,18.889582,18.939162,4.105144,-4.336715,2.032986,0.250080
0.050000,9.552496,18.935090,19.133841,3.893576,-4.231365,2.106999,0.222000
0.050000,9.732838,18.973370,19.318201,3.687196,-4.127595,2.075397,0.196487
0.050000,9.904158,19.005400,19.492489,3.485759,-4.028737,1.977169,0.173323
0.050000,10.066431,19.032045,19.656935,3.288925,-3.936686,1.841018,0.152304
0.050000,10.219672,19.054065,19.811750,3.096307,-3.852349,1.686749,0.133245
0.050000,10.363921,19.072126,19.957126,2.907508,-3.775978,1.527410,0.115977
0.050000,10.499233,19.086814,20.093233,2.722137,-3.707416,1.371253,0.100349
0.050000,10.625673,19.098639,20.220224,2.539824,-3.646265,1.223001,0.086227
0.050000,10.743308,19.108049,20.338235,2.360224,-3.592006,1.085190,0.073490
0.050000,10.852209,19.115437,20.447386,2.183020,-3.544071,0.958690,0.062034
0.050000,10.952443,19.121144,20.547782,2.007926,-3.501886,0.843706,0.051764
0.050000,11.044075,19.125469,20.639516,1.834680,-3.464911,0.739513,0.042601
0.050000,11.127166,19.128672,20.722669,1.663048,-3.432640,0.645413,0.034472
0.050000,11.201771,19.130976,20.797310,1.492817,-3.404622,0.560367,0.027316
0.050000,11.267941,19.132577,20.863499,1.323795,-3.380454,0.483358,0.021079
0.050000,11.325722,19.133640,20.921290,1.155805,-3.359789,0.413297,0.015717
0.050000,11.375152,19.134305,20.970724,0.988689,-3.342321,0.349358,0.011190
0.050000,11.416265,19.134688,21.011839,0.822299,-3.327801,0.290393,0.007467
0.050000,11.449089,19.134885,21.044664,0.656498,-3.316015,0.235718,0.004522
0.050000,11.473647,19.134969,21.069222,0.491159,-3.306793,0.184451,0.002333
0.050000,11.489955,19.134996,21.085530,0.326159,-3.300000,0.135854,0.000888
0.050000,11.498024,19.135000,21.093599,0.161382,-3.295540,0.089212,0.000174
0.050000,11.500000,19.135000,21.095575,0.039519,-2.437266,17.165476,0.000000
0.050000,11.500000,19.135000,21.095575,0.000000,-0.790370,32.937911,0.000000
