dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003785,2.365001,0.003704,0.148148,2.962963,59.259259,0.000334
0.050000,0.016137,2.365012,0.016055,0.247028,1.977605,-19.707155,0.001427
0.050000,0.036732,2.365060,0.036650,0.411901,3.297448,26.396859,0.003257
0.050000,0.065584,2.365191,0.065503,0.577056,3.303108,0.113206,0.005835
0.050000,0.102714,2.365470,0.102634,0.742614,3.311146,0.160745,0.009181
0.050000,0.148146,2.365980,0.148069,0.908697,3.321677,0.210634,0.013317
0.050000,0.201911,2.366829,0.201841,1.075440,3.334855,0.263552,0.018272
0.050000,0.264046,2.368145,0.263990,1.242984,3.350871,0.320317,0.024081
0.050000,0.334594,2.370080,0.334564,1.411482,3.369958,0.381733,0.030787
0.050000,0.413602,2.372815,0.413619,1.581101,3.392393,0.448710,0.038439
0.050000,0.501123,2.376559,0.501220,1.752026,3.418505,0.522231,0.047094
0.050000,0.597216,2.381554,0.597443,1.924460,3.448667,0.603246,0.056820
0.050000,0.701944,2.388080,0.702374,2.098625,3.483310,0.692852,0.067691
0.050000,0.815374,2.396457,0.816113,2.274771,3.522911,0.792030,0.079796
0.050000,0.937574,2.407051,0.938772,2.453171,3.567998,0.901736,0.093234
0.050000,1.068614,2.420283,1.070478,2.634127,3.619129,1.022625,0.108118
0.050000,1.208561,2.436633,1.211376,2.817971,3.676882,1.155062,0.124574
0.050000,1.357475,2.456648,1.361630,3.005062,3.741805,1.298467,0.142746
0.050000,1.515404,2.480954,1.521419,3.195780,3.814371,1.451316,0.162794
0.050000,1.682377,2.510265,1.690945,3.390524,3.894868,1.609942,0.184896
0.050000,1.858391,2.545393,1.870429,3.589687,3.983270,1.768028,0.209246
0.050000,2.043394,2.587261,2.060111,3.793638,4.079025,1.915110,0.236055
0.050000,2.237272,2.636910,2.260245,4.002676,4.180763,2.034757,0.265548
0.050000,2.439813,2.695511,2.471093,4.216972,4.285913,2.102994,0.297956
0.050000,2.650681,2.764365,2.692918,4.436482,4.390208,2.085894,0.333511
0.050000,2.869366,2.844895,2.925959,4.660839,4.487129,1.938423,0.372425
0.050000,3.095142,2.938631,3.170420,4.889208,4.567381,1.605047,0.414877
0.050000,3.322816,3.045085,3.421753,5.026660,2.749049,-36.366646,0.460123
0.050000,3.547167,3.162898,3.675156,5.068053,0.827862,-38.423737,0.507194
0.050000,3.767149,3.292209,3.930329,5.103468,0.708293,-2.391377,0.555827
0.050000,3.981656,3.432958,4.186890,5.131224,0.555114,-3.063579,0.605684
0.050000,4.189567,3.584863,4.444382,5.149836,0.372236,-3.657566,0.656362
0.050000,4.389805,3.747410,4.702291,5.158183,0.166953,-4.105648,0.707408
0.050000,4.581400,3.919874,4.960074,5.155654,-0.050592,-4.350918,0.758343
0.050000,4.763537,4.101346,5.217185,5.142224,-0.268593,-4.360011,0.808685
0.050000,4.935608,4.290788,5.473108,5.118466,-0.475154,-4.131224,0.857979
0.050000,5.097225,4.487091,5.727382,5.085471,-0.659905,-3.695006,0.905819
0.050000,5.248228,4.689133,5.979617,5.044709,-0.815235,-3.106614,0.951861
0.050000,5.388668,4.895828,6.229510,4.997863,-0.936917,-2.433629,0.995837
0.050000,5.518777,5.106175,6.476844,4.946661,-1.024050,-1.742662,1.037556
0.050000,5.638929,5.319272,6.721480,4.892736,-1.078501,-1.089032,1.076898
0.050000,5.749608,5.534341,6.963357,4.837533,-1.104065,-0.511270,1.113805
0.050000,5.851366,5.750720,7.202470,4.782253,-1.105584,-0.030383,1.148276
0.050000,5.944795,5.967866,7.438862,4.727843,-1.088206,0.347551,1.180349
0.050000,6.030501,6.185337,7.672612,4.675001,-1.056842,0.627289,1.210092
0.050000,6.109086,6.402783,7.903822,4.624209,-1.015837,0.820107,1.237597
0.050000,6.181134,6.619931,8.132611,4.575768,-0.968821,0.940309,1.262967
0.050000,6.247203,6.836572,8.359102,4.529834,-0.918690,1.002628,1.286312
0.050000,6.307821,7.052549,8.583425,4.486451,-0.867653,1.020739,1.307745
0.050000,6.363483,7.267746,8.805704,4.445584,-0.817332,1.006408,1.327378
0.050000,6.414647,7.482081,9.026061,4.407141,-0.768867,0.969303,1.345316
0.050000,6.461741,7.695496,9.244611,4.370990,-0.723016,0.917029,1.361661
0.050000,6.505162,7.907953,9.461460,4.336978,-0.680249,0.855335,1.376508
0.050000,6.545278,8.119429,9.676706,4.304937,-0.640823,0.788519,1.389943
0.050000,6.582428,8.329910,9.890441,4.274694,-0.604844,0.719585,1.402045
0.050000,6.616929,8.539392,10.102745,4.246079,-0.572312,0.650635,1.412886
0.050000,6.649077,8.747874,10.313691,4.218921,-0.543161,0.583015,1.422531
0.050000,6.679148,8.955359,10.523344,4.193057,-0.517283,0.517570,1.431036
0.050000,6.707398,9.161852,10.731760,4.168329,-0.494547,0.454718,1.438452
0.050000,6.734072,9.367358,10.938990,4.144588,-0.474816,0.394621,1.444822
0.050000,6.759401,9.571880,11.145074,4.121691,-0.457954,0.337232,1.450183
0.050000,6.783601,9.775421,11.350049,4.099499,-0.443836,0.282370,1.454566
0.050000,6.806884,9.977981,11.553943,4.077882,-0.432348,0.229762,1.457997
0.050000,6.829448,10.179558,11.756779,4.056712,-0.423394,0.179075,1.460496
0.050000,6.851487,10.380144,11.958572,4.035867,-0.416897,0.129933,1.462076
0.050000,6.873189,10.579729,12.159334,4.015227,-0.412800,0.081938,1.462746
0.050000,6.894737,10.778297,12.359067,3.994674,-0.411067,0.034676,1.462512
0.050000,6.916309,10.975827,12.557772,3.974090,-0.411680,-0.012274,1.461370
0.050000,6.938082,11.172292,12.755440,3.953357,-0.414647,-0.059337,1.459316
0.050000,6.960232,11.367659,12.952058,3.932358,-0.419994,-0.106935,1.456336
0.050000,6.982930,11.561885,13.147606,3.910969,-0.427768,-0.155488,1.452414
0.050000,7.006352,11.754923,13.342059,3.889067,-0.438039,-0.205403,1.447527
0.050000,7.030670,11.946713,13.535386,3.866523,-0.450892,-0.257069,1.441647
0.050000,7.056059,12.137189,13.727546,3.843201,-0.466434,-0.310838,1.434740
0.050000,7.082695,12.326270,13.918494,3.818962,-0.484785,-0.367024,1.426766
0.050000,7.110755,12.513866,14.108177,3.793658,-0.506078,-0.425853,1.417676
0.050000,7.140418,12.699872,14.296533,3.767135,-0.530450,-0.487441,1.407418
0.050000,7.171866,12.884170,14.483495,3.739233,-0.558037,-0.551747,1.395932
0.050000,7.205282,13.066625,14.668984,3.709785,-0.588961,-0.618480,1.383148
0.050000,7.240849,13.247084,14.852915,3.678620,-0.623312,-0.687020,1.368992
0.050000,7.278753,13.425378,15.035194,3.645563,-0.661126,-0.756286,1.353380
0.050000,7.319178,13.601316,15.215716,3.610446,-0.702355,-0.824573,1.336221
0.050000,7.362307,13.774687,15.394371,3.573105,-0.746822,-0.889328,1.317417
0.050000,7.408320,13.945259,15.571041,3.533396,-0.794167,-0.946917,1.296864
0.050000,7.457391,14.112780,15.745601,3.491207,-0.843784,-0.992342,1.274454
0.050000,7.509687,14.276977,15.917925,3.446471,-0.894729,-1.018887,1.250073
0.050000,7.565363,14.437559,16.087884,3.399189,-0.945625,-1.017919,1.223610
0.050000,7.624562,14.594220,16.255357,3.349462,-0.994557,-0.978640,1.194957
0.050000,7.687409,14.746647,16.420233,3.297513,-1.038968,-0.888218,1.164016
0.050000,7.754014,14.894527,16.582420,3.243734,-1.075580,-0.732254,1.130707
0.050000,7.824467,15.037552,16.741855,3.188715,-1.100377,-0.495940,1.094975
0.050000,7.898839,15.175438,16.898519,3.133281,-1.108683,-0.166120,1.056802
0.050000,7.977188,15.307931,17.052445,3.078511,-1.095400,0.265659,1.016217
0.050000,8.059562,15.434825,17.203732,3.025739,-1.055445,0.799117,0.973308
0.050000,8.146011,15.555969,17.352558,2.976519,-0.984400,1.420900,0.928232
0.050000,8.236589,15.671275,17.499185,2.932552,-0.879348,2.101040,0.881220
0.050000,8.331369,15.780716,17.643964,2.895564,-0.739756,2.791838,0.832579
0.050000,8.430446,15.884326,17.787321,2.867153,-0.568207,3.430971,0.782687
0.050000,8.533940,15.982181,17.929752,2.848617,-0.370727,3.949597,0.731979
0.050000,8.641984,16.074386,18.071792,2.840792,-0.156495,4.284644,0.680926
0.050000,8.754717,16.161054,18.213989,2.843948,0.063117,4.392241,0.630012
0.050000,8.872261,16.242295,18.356877,2.857749,0.276023,4.258127,0.579706
0.050000,8.994708,16.318201,18.500942,2.881303,0.471075,3.901032,0.530437
0.050000,9.122096,16.388843,18.646606,2.913277,0.639480,3.368099,0.482576
0.050000,9.254402,16.454278,18.794209,2.952060,0.775664,2.723685,0.436423
0.050000,9.390195,16.513993,18.942552,2.966869,0.296183,-9.589628,0.392617
0.050000,9.526527,16.567201,19.088899,2.926939,-0.798606,-21.895772,0.352012
0.050000,9.661527,16.613930,19.231758,2.857171,-1.395357,-11.935016,0.314857
0.050000,9.794550,16.654746,19.370902,2.782879,-1.485852,-1.809910,0.280954
0.050000,9.924993,16.690196,19.506076,2.703488,-1.587813,-2.039218,0.250080
0.050000,10.052308,16.720798,19.637017,2.618816,-1.693432,-2.112383,0.222000
0.050000,10.176000,16.747048,19.763464,2.528945,-1.797423,-2.079808,0.196487
0.050000,10.295634,16.769411,19.885170,2.434122,-1.896464,-1.980830,0.173323
0.050000,10.410827,16.788322,20.001905,2.334689,-1.988663,-1.843987,0.152304
0.050000,10.521244,16.804186,20.113456,2.231033,-2.073119,-1.689115,0.133245
0.050000,10.626600,16.817376,20.219634,2.123554,-2.149585,-1.529326,0.115977
0.050000,10.726644,16.828233,20.320266,2.012642,-2.218224,-1.372763,0.100349
0.050000,10.821166,16.837072,20.415200,1.898671,-2.279435,-1.224225,0.086227
0.050000,10.909981,16.844176,20.504299,1.781984,-2.333741,-1.086128,0.073490
0.050000,10.992935,16.849803,20.587444,1.662898,-2.381717,-0.959511,0.062034
0.050000,11.069896,16.854185,20.664529,1.541701,-2.423930,-0.844269,0.051764
0.050000,11.140750,16.857529,20.735461,1.418655,-2.460931,-0.740016,0.042601
0.050000,11.205401,16.860020,20.800161,1.293994,-2.493221,-0.645803,0.034472
0.050000,11.263770,16.861823,20.858558,1.167931,-2.521255,-0.560678,0.027316
0.050000,11.315788,16.863082,20.910591,1.040659,-2.545434,-0.483587,0.021079
0.050000,11.361398,16.863921,20.956208,0.912354,-2.566112,-0.413548,0.015717
0.050000,11.400553,16.864447,20.995367,0.783174,-2.583584,-0.349452,0.011190
0.050000,11.433215,16.864752,21.028031,0.653269,-2.598112,-0.290543,0.007467
0.050000,11.459353,16.864908,21.054169,0.522774,-2.609902,-0.235815,0.004522
0.050000,11.478944,16.864975,21.073760,0.391817,-2.619128,-0.184520,0.002333
0.050000,11.491970,16.864996,21.086786,0.260521,-2.625923,-0.135894,0.000888
0.050000,11.498420,16.865000,21.093236,0.129002,-2.630385,-0.089229,0.000174
0.050000,11.500000,16.865000,21.094816,0.031599,-1.948053,13.646636,0.000000
0.050000,11.500000,16.865000,21.094816,0.000000,-0.631985,26.321358,0.000000
