dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003562,3.500001,0.003704,0.148148,2.962963,59.259259,0.000589
0.050000,0.014673,3.500018,0.014815,0.296296,2.962963,0.000000,0.002427
0.050000,0.033192,3.500091,0.033333,0.444444,2.962963,0.000000,0.005494
0.050000,0.059117,3.500289,0.059259,0.592593,2.962963,0.000000,0.009798
0.050000,0.092448,3.500708,0.092593,0.740741,2.962963,0.000000,0.015345
0.050000,0.133181,3.501472,0.133333,0.888889,2.962963,0.000000,0.022147
0.050000,0.181313,3.502732,0.181481,1.037037,2.962963,0.000000,0.030213
0.050000,0.236834,3.504670,0.237037,1.185185,2.962963,0.000000,0.039558
0.050000,0.299734,3.507494,0.300000,1.333333,2.962963,0.000000,0.050191
0.050000,0.369993,3.511443,0.370370,1.481481,2.962963,0.000000,0.062123
0.050000,0.447586,3.516785,0.448148,1.629630,2.962963,0.000000,0.075361
0.050000,0.532480,3.523816,0.533333,1.777778,2.962963,0.000000,0.089911
0.050000,0.624629,3.532861,0.625926,1.925926,2.962963,0.000000,0.105770
0.050000,0.723974,3.544270,0.725926,2.074074,2.962963,0.000000,0.122929
0.050000,0.830444,3.558423,0.833333,2.222222,2.962963,0.000000,0.141371
0.050000,0.943947,3.575719,0.948148,2.370370,2.962963,-0.000000,0.161065
0.050000,1.064373,3.596580,1.070370,2.518519,2.962963,0.000000,0.181968
0.050000,1.191593,3.621444,1.200000,2.666667,2.962963,-0.000000,0.204023
0.050000,1.325454,3.650761,1.337037,2.814815,2.962963,0.000000,0.227153
0.050000,1.465782,3.684988,1.481481,2.962963,2.962963,-0.000000,0.251264
0.050000,1.612377,3.724580,1.633333,3.111111,2.962963,0.000000,0.276240
0.050000,1.765021,3.769988,1.792593,3.259259,2.962963,-0.000000,0.301947
0.050000,1.923475,3.821645,1.959259,3.407407,2.962963,0.000000,0.328230
0.050000,2.087484,3.879965,2.133333,3.555556,2.962963,-0.000000,0.354918
0.050000,2.256780,3.945327,2.314815,3.703704,2.962963,0.000000,0.381822
0.050000,2.431091,4.018077,2.503704,3.851852,2.962963,-0.000000,0.408743
0.050000,2.610144,4.098513,2.700000,4.000000,2.962963,0.000000,0.435471
0.050000,2.790357,4.185237,2.900000,4.000000,0.000000,-59.259259,0.461327
0.050000,2.968334,4.276463,3.100000,4.000000,0.000000,0.000000,0.485743
0.050000,3.144102,4.371879,3.300000,4.000000,0.000000,0.000000,0.508686
0.050000,3.317708,4.471172,3.500000,4.000000,0.000000,0.000000,0.530136
0.050000,3.489223,4.574038,3.700000,4.000000,0.000000,0.000000,0.550085
0.050000,3.658731,4.680178,3.900000,4.000000,0.000000,0.000000,0.568537
0.050000,3.826334,4.789303,4.100000,4.000000,0.000000,0.000000,0.585503
0.050000,3.992144,4.901134,4.300000,4.000000,0.000000,0.000000,0.601000
0.050000,4.156285,5.015403,4.500000,4.000000,0.000000,0.000000,0.615049
0.050000,4.318888,5.131849,4.700000,4.000000,0.000000,0.000000,0.627672
0.050000,4.480091,5.250226,4.900000,4.000000,0.000000,0.000000,0.638896
0.050000,4.640038,5.370295,5.100000,4.000000,0.000000,0.000000,0.648743
0.050000,4.798878,5.491825,5.300000,4.000000,0.000000,0.000000,0.657238
0.050000,4.956762,5.614595,5.500000,4.000000,0.000000,0.000000,0.664402
0.050000,5.113844,5.738390,5.700000,4.000000,0.000000,0.000000,0.670254
0.050000,5.270280,5.863001,5.900000,4.000000,0.000000,0.000000,0.674811
0.050000,5.426227,5.988223,6.100000,4.000000,0.000000,0.000000,0.678086
0.050000,5.581843,6.113856,6.300000,4.000000,0.000000,0.000000,0.680088
0.050000,5.737287,6.239702,6.500000,4.000000,0.000000,0.000000,0.680824
0.050000,5.892717,6.365564,6.700000,4.000000,0.000000,0.000000,0.680295
0.050000,6.048294,6.491245,6.900000,4.000000,0.000000,0.000000,0.678501
0.050000,6.204176,6.616548,7.100000,4.000000,0.000000,0.000000,0.675435
0.050000,6.360521,6.741272,7.300000,4.000000,0.000000,0.000000,0.671088
0.050000,6.517487,6.865215,7.500000,4.000000,0.000000,0.000000,0.665449
0.050000,6.675229,6.988167,7.700000,4.000000,0.000000,0.000000,0.658501
0.050000,6.833902,7.109915,7.900000,4.000000,0.000000,0.000000,0.650225
0.050000,6.993658,7.230239,8.100000,4.000000,0.000000,0.000000,0.640600
