dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003362,22.365000,0.003704,0.148148,2.962963,59.259259,6.282973
0.050000,0.013733,22.364994,0.014074,0.207412,1.185269,-35.553881,6.282321
0.050000,0.031020,22.364970,0.031362,0.345752,2.766812,31.630858,6.281237
0.050000,0.055230,22.364904,0.055572,0.484192,2.768804,0.039838,6.279724
0.050000,0.086368,22.364766,0.086710,0.622773,2.771604,0.056009,6.277791
0.050000,0.124444,22.364516,0.124787,0.761534,2.775225,0.072409,6.275444
0.050000,0.169468,22.364106,0.169813,0.900518,2.779679,0.089088,6.272693
0.050000,0.221453,22.363478,0.221801,1.039767,2.784983,0.106089,6.269550
0.050000,0.280412,22.362570,0.280767,1.179325,2.791156,0.123442,6.266028
0.050000,0.346362,22.361310,0.346729,1.319235,2.798214,0.141166,6.262144
0.050000,0.419319,22.359620,0.419706,1.459544,2.806177,0.159264,6.257915
0.050000,0.499304,22.357415,0.499721,1.600297,2.815063,0.177725,6.253359
0.050000,0.586336,22.354606,0.586798,1.741542,2.824889,0.196523,6.248500
0.050000,0.680437,22.351098,0.680965,1.883325,2.835670,0.215617,6.243360
0.050000,0.781630,22.346791,0.782249,2.025696,2.847418,0.234951,6.237966
0.050000,0.889940,22.341584,0.890685,2.168703,2.860141,0.254457,6.232345
0.050000,1.005393,22.335371,1.006304,2.312396,2.873843,0.274055,6.226528
0.050000,1.128015,22.328046,1.129145,2.456822,2.888526,0.293660,6.220547
0.050000,1.257836,22.319503,1.259247,2.602031,2.904185,0.313178,6.214437
0.050000,1.394885,22.309636,1.396651,2.748072,2.920811,0.332520,6.208234
0.050000,1.539193,22.298342,1.541400,2.894991,2.938391,0.351595,6.201977
0.050000,1.690794,22.285521,1.693542,3.042837,2.956907,0.370325,6.195706
0.050000,1.849721,22.271078,1.853125,3.191654,2.976339,0.388643,6.189465
0.050000,2.016013,22.254924,2.020199,3.341487,2.996665,0.406503,6.183298
0.050000,2.189707,22.236980,2.194818,3.492380,3.017859,0.423879,6.177252
0.050000,2.370847,22.217174,2.377037,3.644375,3.039897,0.440773,6.171375
0.050000,2.559475,22.195447,2.566912,3.797513,3.062758,0.457217,6.165718
0.050000,2.752071,22.172194,2.760906,3.879882,1.647391,-28.307337,6.160427
0.050000,2.945083,22.147901,2.955441,3.890699,0.216344,-28.620943,6.155612
0.050000,3.138518,22.122654,3.150517,3.901511,0.216232,-0.002242,6.151274
0.050000,3.332383,22.096543,3.346133,3.912314,0.216062,-0.003393,6.147411
0.050000,3.526687,22.069655,3.542288,3.923107,0.215857,-0.004115,6.144024
0.050000,3.721438,22.042079,3.738982,3.933889,0.215634,-0.004457,6.141111
0.050000,3.916649,22.013906,3.936215,3.944659,0.215411,-0.004465,6.138673
0.050000,4.112329,21.985225,4.133986,3.955419,0.215201,-0.004189,6.136710
0.050000,4.308491,21.956127,4.332295,3.966170,0.215017,-0.003676,6.135219
0.050000,4.505148,21.926704,4.531140,3.976913,0.214869,-0.002972,6.134202
0.050000,4.702313,21.897048,4.730523,3.987652,0.214762,-0.002125,6.133658
0.050000,4.899999,21.867251,4.930442,3.998387,0.214703,-0.001179,6.133587
0.050000,5.098221,21.837407,5.130898,4.009121,0.214694,-0.000181,6.133989
0.050000,5.296993,21.807610,5.331891,4.019858,0.214736,0.000823,6.134864
0.050000,5.496329,21.777955,5.533421,4.030599,0.214825,0.001789,6.136212
0.050000,5.696244,21.748537,5.735489,4.041347,0.214959,0.002671,6.138033
0.050000,5.896751,21.719454,5.938094,4.052104,0.215130,0.003422,6.140329
0.050000,6.097863,21.690803,6.141237,4.062870,0.215330,0.003998,6.143098
0.050000,6.299595,21.662682,6.344920,4.073648,0.215547,0.004350,6.146343
0.050000,6.501958,21.635192,6.549142,4.084436,0.215769,0.004431,6.150063
0.050000,6.704964,21.608432,6.753903,4.095235,0.215978,0.004195,6.154258
0.050000,6.908622,21.582504,6.959205,4.106043,0.216158,0.003592,6.158930
0.050000,7.112942,21.557510,7.165048,4.116857,0.216287,0.002575,6.164078
0.050000,7.317931,21.533555,7.371432,4.127674,0.216341,0.001095,6.169703
0.050000,7.523594,21.510743,7.578356,4.138489,0.216297,-0.000895,6.175804
0.050000,7.729935,21.489178,7.785821,4.149295,0.216125,-0.003442,6.182381
0.050000,7.936955,21.468968,7.993826,4.160085,0.215795,-0.006591,6.189433
0.050000,8.144653,21.450219,8.202368,4.170849,0.215276,-0.010383,6.196960
0.050000,8.353025,21.433039,8.411447,4.181576,0.214533,-0.014857,6.204960
0.050000,8.562063,21.417536,8.621059,4.192252,0.213531,-0.020045,6.213429
0.050000,8.771758,21.403818,8.831203,4.202864,0.212232,-0.025977,6.222367
0.050000,8.982096,21.391994,9.041872,4.213394,0.210598,-0.032670,6.231768
0.050000,9.193059,21.382173,9.253063,4.223823,0.208592,-0.040135,6.241629
0.050000,9.404625,21.374461,9.464770,4.234132,0.206173,-0.048371,6.251944
0.050000,9.616768,21.368966,9.676985,4.244297,0.203305,-0.057365,6.262707
0.050000,9.829459,21.365795,9.889700,4.254295,0.199951,-0.067090,6.273910
0.050000,10.040890,21.365019,10.101132,4.228643,-0.513041,-14.259822,0.000924
0.050000,10.245624,21.365648,10.305867,4.094697,-2.678905,-43.317292,0.005095
0.050000,10.449492,21.367047,10.509739,4.077455,-0.344842,46.681273,0.008508
0.050000,10.652511,21.369058,10.712769,4.060588,-0.337339,0.150042,0.011177
0.050000,10.854697,21.371526,10.914969,4.044013,-0.331499,0.116817,0.013116
0.050000,11.056060,21.374301,11.116352,4.027650,-0.327272,0.084538,0.014334
0.050000,11.256610,21.377238,11.316923,4.011419,-0.324624,0.052949,0.014837
0.050000,11.456350,21.380193,11.516685,3.995242,-0.323534,0.021796,0.014627
0.050000,11.655282,21.383023,11.715637,3.979042,-0.323993,-0.009177,0.013704
0.050000,11.853403,21.385588,11.913774,3.962742,-0.326005,-0.040226,0.012063
0.050000,12.050704,21.387746,12.111087,3.946263,-0.329585,-0.071609,0.009695
0.050000,12.247174,21.389359,12.307563,3.929525,-0.334764,-0.103581,0.006591
0.050000,12.442794,21.390283,12.503186,3.912445,-0.341584,-0.136397,0.002734
0.050000,12.637541,21.390378,12.697933,3.894940,-0.350099,-0.170307,6.281291
0.050000,12.831385,21.389499,12.891779,3.876921,-0.360377,-0.205559,6.275869
0.050000,13.024289,21.387500,13.084694,3.858297,-0.372497,-0.242387,6.269627
0.050000,13.216210,21.384231,13.276642,3.838969,-0.386547,-0.281011,6.262534
0.050000,13.407094,21.379541,13.467584,3.818838,-0.402628,-0.321618,6.254553
0.050000,13.596880,21.373276,13.657474,3.797796,-0.420846,-0.364357,6.245646
0.050000,13.785497,21.365275,13.846260,3.775730,-0.441311,-0.409310,6.235767
0.050000,13.972862,21.355378,14.033886,3.752523,-0.464135,-0.456471,6.224866
0.050000,14.158881,21.343417,14.220289,3.728052,-0.489420,-0.505694,6.212887
0.050000,14.343445,21.329224,14.405399,3.702190,-0.517253,-0.556657,6.199769
0.050000,14.526434,21.312624,14.589139,3.674805,-0.547692,-0.608782,6.185444
0.050000,14.707711,21.293442,14.771427,3.645768,-0.580749,-0.661152,6.169841
0.050000,14.887121,21.271500,14.952175,3.614949,-0.616369,-0.712403,6.152880
0.050000,15.064496,21.246619,15.131286,3.582229,-0.654398,-0.760574,6.134479
0.050000,15.239647,21.218618,15.308661,3.547502,-0.694547,-0.802973,6.114547
0.050000,15.412369,21.187321,15.484195,3.510685,-0.736346,-0.835976,6.092995
0.050000,15.582438,21.152553,15.657782,3.471730,-0.779088,-0.854840,6.069726
0.050000,15.749615,21.114146,15.829314,3.430642,-0.821766,-0.853564,6.044648
0.050000,15.913647,21.071941,15.998689,3.387492,-0.863003,-0.824753,6.017670
0.050000,16.074270,21.025789,16.165811,3.342442,-0.900988,-0.759686,5.988708
0.050000,16.231215,20.975554,16.330599,3.295772,-0.933416,-0.648575,5.957690
0.050000,16.384214,20.921116,16.492994,3.247898,-0.957476,-0.481191,5.924565
0.050000,16.533007,20.862370,16.652964,3.199404,-0.969876,-0.248001,5.889303
0.050000,16.677353,20.799228,16.810517,3.151056,-0.966968,0.058152,5.851913
0.050000,16.817041,20.731616,16.965708,3.103807,-0.944981,0.439754,5.812442
0.050000,16.951893,20.659468,17.118647,3.058788,-0.900381,0.891997,5.770989
0.050000,17.081781,20.582728,17.269510,3.017269,-0.830368,1.400265,5.727707
0.050000,17.206621,20.501335,17.418540,2.980597,-0.733439,1.938567,5.682810
0.050000,17.326384,20.415227,17.566045,2.950100,-0.609948,2.469829,5.636571
0.050000,17.441081,20.324329,17.712394,2.926975,-0.462502,2.948908,5.589313
0.050000,17.550764,20.228561,17.858003,2.912171,-0.296080,3.328456,5.541403
0.050000,17.655505,20.127836,18.003317,2.906284,-0.117737,3.566847,5.493234
0.050000,17.755386,20.022070,18.148791,2.909488,0.064076,3.636261,5.445206
0.050000,17.850491,19.911195,18.294867,2.921513,0.240504,3.528571,5.397708
0.050000,17.940891,19.795171,18.441951,2.941681,0.403360,3.257116,5.351098
0.050000,18.026643,19.673995,18.590400,2.968983,0.546046,2.853718,5.305690
0.050000,18.107793,19.547711,18.740509,3.002191,0.664147,2.362017,5.261744
0.050000,18.184374,19.416414,18.892508,3.039971,0.755607,1.829207,5.219462
0.050000,18.256416,19.280247,19.046558,3.080998,0.820537,1.298587,5.178987
0.050000,18.323950,19.139400,19.202760,3.124035,0.860755,0.804364,5.140406
0.050000,18.387016,18.994096,19.361160,3.167997,0.879230,0.369512,5.103762
0.050000,18.445662,18.844588,19.521758,3.211973,0.879528,0.005941,5.069054
0.050000,18.499952,18.691147,19.684520,3.255241,0.865351,-0.283533,5.036252
0.050000,18.549963,18.534053,19.849383,3.297252,0.840219,-0.502647,5.005300
0.050000,18.595785,18.373586,20.016264,3.337615,0.807259,-0.659182,4.976125
0.050000,18.637520,18.210023,20.185067,3.376071,0.769122,-0.762746,4.948644
0.050000,18.675282,18.043631,20.355691,3.412469,0.727953,-0.823383,4.922766
0.050000,18.709190,17.874663,20.528028,3.446740,0.685429,-0.850479,4.898397
0.050000,18.739373,17.703357,20.701972,3.478881,0.642814,-0.852307,4.875443
0.050000,18.765959,17.529937,20.877418,3.508932,0.601023,-0.835819,4.853813
0.050000,18.789079,17.354606,21.054266,3.536966,0.560692,-0.806621,4.833418
0.050000,18.808868,17.177555,21.232420,3.563078,0.522236,-0.769122,4.814173
0.050000,18.825453,16.998955,21.411789,3.587373,0.485903,-0.726656,4.795998
0.050000,18.838966,16.818963,21.592287,3.609964,0.451815,-0.681766,4.778817
0.050000,18.849529,16.637722,21.773835,3.630964,0.420003,-0.636234,4.762562
0.050000,18.857266,16.455362,21.956360,3.650486,0.390437,-0.591326,4.747167
0.050000,18.862293,16.271999,22.139792,3.668638,0.363041,-0.547915,4.732571
0.050000,18.864724,16.087739,22.324068,3.685524,0.337713,-0.506563,4.718718
0.050000,18.864380,15.910614,22.501193,3.542504,-2.860401,-63.962273,4.698672
0.050000,18.859896,15.737799,22.674066,3.457458,-1.700920,23.189625,4.674775
0.050000,18.851374,15.562043,22.850029,3.519256,1.235958,58.737549,4.653599
0.050000,18.839162,15.383676,23.028814,3.575699,1.128874,-2.141662,4.634910
0.050000,18.823605,15.202973,23.210185,3.627419,1.034386,-1.889778,4.618499
0.050000,18.805035,15.020163,23.393936,3.675019,0.952005,-1.647620,4.604184
0.050000,18.783779,14.835429,23.579889,3.719067,0.880965,-1.420790,4.591809
0.050000,18.760149,14.648915,23.767893,3.760087,0.820395,-1.211400,4.581241
0.050000,18.734449,14.460734,23.957821,3.798558,0.769423,-1.019446,4.572367
0.050000,18.706973,14.270967,24.149567,3.834920,0.727239,-0.843672,4.565095
0.050000,18.678003,14.079669,24.343046,3.869576,0.693131,-0.682164,4.559350
0.050000,18.647818,13.886873,24.538191,3.902901,0.666498,-0.532669,4.555073
0.050000,18.616692,13.692588,24.734953,3.935244,0.646857,-0.392806,4.552220
0.050000,18.584893,13.496807,24.933300,3.966937,0.633849,-0.260169,4.550763
0.050000,18.552692,13.299502,25.133215,3.998298,0.627230,-0.132368,4.550688
0.050000,18.520361,13.100631,25.334697,4.029642,0.626878,-0.007043,4.551994
0.050000,18.488178,12.900134,25.537761,4.061281,0.632785,0.118144,4.554694
0.050000,18.456428,12.697935,25.742438,4.093534,0.645062,0.245532,4.558815
0.050000,18.425409,12.493943,25.948774,4.126731,0.663936,0.377475,4.564398
0.050000,18.395435,12.288052,26.156835,4.161219,0.689754,0.516358,4.571500
0.050000,18.366842,12.080141,26.366704,4.197368,0.722983,0.664581,4.580195
0.050000,18.339988,11.870071,26.578483,4.235578,0.764209,0.824531,4.590574
0.050000,18.315268,11.657691,26.792297,4.276285,0.814133,0.998465,4.602746
0.050000,18.293114,11.442832,27.008295,4.319963,0.873550,1.188349,4.616843
0.050000,18.274005,11.225313,27.226651,4.367129,0.943326,1.395513,4.633018
0.050000,18.258481,11.004942,27.447569,4.418345,1.024332,1.620124,4.651451
0.050000,18.247147,10.781519,27.671279,4.474213,1.117349,1.860343,4.672345
0.050000,18.240695,10.554843,27.898047,4.535358,1.222899,2.111004,4.695933
0.050000,18.239910,10.324724,28.128168,4.602407,1.340985,2.361722,4.722477
0.050000,18.245694,10.090998,28.361965,4.675942,1.470692,2.594128,4.752262
0.050000,18.259071,9.853553,28.599786,4.756422,1.609609,2.778341,4.785594
0.050000,18.281208,9.612363,28.841990,4.844074,1.753042,2.868657,4.822790
0.050000,18.313414,9.367536,29.088926,4.938725,1.893014,2.799454,4.864159
0.050000,18.357131,9.119378,29.340905,5.039584,2.017176,2.483236,4.909975
0.050000,18.413901,8.868472,29.598154,5.144979,2.107909,1.814663,4.960439
0.050000,18.485297,8.615759,29.860758,5.252091,2.142228,0.686375,5.015626
0.050000,18.572813,8.362622,30.128596,5.356758,2.093356,-0.977449,5.075431
0.050000,18.677698,8.110927,30.401272,5.453505,1.934935,-3.168404,5.139503
0.050000,18.800773,7.862998,30.678067,5.535916,1.648214,-5.734420,5.207211
0.050000,18.942235,7.621508,30.957941,5.597462,1.230919,-8.345910,5.277635
0.050000,19.101532,7.389254,31.239574,5.632679,0.704338,-10.531624,5.349613
0.050000,19.277342,7.168869,31.521493,5.638378,0.113990,-11.806950,5.421842
0.050000,19.467692,6.962541,31.802215,5.614438,-0.478808,-11.855955,5.493015
0.050000,19.670189,6.771791,32.080407,5.563825,-1.012261,-10.669064,5.561954
0.050000,19.882293,6.597398,32.354999,5.491845,-1.439595,-8.546675,5.627718
0.050000,20.101572,6.439441,32.625246,5.404949,-1.737928,-5.966670,5.689648
0.050000,20.325875,6.297434,32.890724,5.309546,-1.908050,-3.402444,5.747370
