dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003562,23.499999,0.003704,0.148148,2.962963,59.259259,6.282596
0.050000,0.014673,23.499982,0.014815,0.296296,2.962963,0.000000,6.280758
0.050000,0.033192,23.499909,0.033333,0.444444,2.962963,0.000000,6.277691
0.050000,0.059117,23.499711,0.059259,0.592593,2.962963,0.000000,6.273388
0.050000,0.092448,23.499292,0.092593,0.740741,2.962963,0.000000,6.267840
0.050000,0.133181,23.498528,0.133333,0.888889,2.962963,0.000000,6.261039
0.050000,0.181313,23.497268,0.181481,1.037037,2.962963,0.000000,6.252972
0.050000,0.236834,23.495330,0.237037,1.185185,2.962963,0.000000,6.243628
0.050000,0.299734,23.492506,0.300000,1.333333,2.962963,0.000000,6.232995
0.050000,0.369993,23.488557,0.370370,1.481481,2.962963,0.000000,6.221063
0.050000,0.447586,23.483215,0.448148,1.629630,2.962963,0.000000,6.207824
0.050000,0.532480,23.476184,0.533333,1.777778,2.962963,0.000000,6.193274
0.050000,0.624629,23.467139,0.625926,1.925926,2.962963,0.000000,6.177415
0.050000,0.723974,23.455730,0.725926,2.074074,2.962963,0.000000,6.160256
0.050000,0.830444,23.441577,0.833333,2.222222,2.962963,0.000000,6.141815
0.050000,0.943947,23.424281,0.948148,2.370370,2.962963,-0.000000,6.122121
0.050000,1.064373,23.403420,1.070370,2.518519,2.962963,0.000000,6.101217
0.050000,1.191593,23.378556,1.200000,2.666667,2.962963,-0.000000,6.079162
0.050000,1.325454,23.349239,1.337037,2.814815,2.962963,0.000000,6.056032
0.050000,1.465782,23.315012,1.481481,2.962963,2.962963,-0.000000,6.031921
0.050000,1.612377,23.275420,1.633333,3.111111,2.962963,0.000000,6.006945
0.050000,1.765021,23.230012,1.792593,3.259259,2.962963,-0.000000,5.981239
0.050000,1.923475,23.178355,1.959259,3.407407,2.962963,0.000000,5.954955
0.050000,2.087484,23.120035,2.133333,3.555556,2.962963,-0.000000,5.928267
0.050000,2.256780,23.054673,2.314815,3.703704,2.962963,0.000000,5.901363
0.050000,2.431091,22.981923,2.503704,3.851852,2.962963,-0.000000,5.874442
0.050000,2.610144,22.901487,2.700000,4.000000,2.962963,0.000000,5.847715
0.050000,2.790357,22.814763,2.900000,4.000000,0.000000,-59.259259,5.821859
0.050000,2.968334,22.723537,3.100000,4.000000,0.000000,0.000000,5.797442
0.050000,3.144102,22.628121,3.300000,4.000000,0.000000,0.000000,5.774499
0.050000,3.317708,22.528828,3.500000,4.000000,0.000000,0.000000,5.753049
0.050000,3.489223,22.425962,3.700000,4.000000,0.000000,0.000000,5.733100
0.050000,3.658731,22.319822,3.900000,4.000000,0.000000,0.000000,5.714648
0.050000,3.826334,22.210697,4.100000,4.000000,0.000000,0.000000,5.697682
