dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003785,24.634999,0.003704,0.148148,2.962963,59.259259,6.282851
0.050000,0.016137,24.634988,0.016055,0.247028,1.977605,-19.707155,6.281758
0.050000,0.036732,24.634940,0.036650,0.411901,3.297448,26.396859,6.279929
0.050000,0.065584,24.634809,0.065503,0.577056,3.303108,0.113206,6.277350
0.050000,0.102714,24.634530,0.102634,0.742614,3.311146,0.160745,6.274004
0.050000,0.148146,24.634020,0.148069,0.908697,3.321677,0.210634,6.269868
0.050000,0.201911,24.633171,0.201841,1.075440,3.334855,0.263552,6.264913
0.050000,0.264046,24.631855,0.263990,1.242984,3.350871,0.320317,6.259104
0.050000,0.334594,24.629920,0.334564,1.411482,3.369958,0.381733,6.252398
0.050000,0.413602,24.627185,0.413619,1.581101,3.392393,0.448710,6.244746
0.050000,0.501123,24.623441,0.501220,1.752026,3.418505,0.522231,6.236091
0.050000,0.597216,24.618446,0.597443,1.924460,3.448667,0.603246,6.226366
0.050000,0.701944,24.611920,0.702374,2.098625,3.483310,0.692852,6.215494
0.050000,0.815374,24.603543,0.816113,2.274771,3.522911,0.792030,6.203389
0.050000,0.937574,24.592949,0.938772,2.453171,3.567998,0.901736,6.189951
0.050000,1.068614,24.579717,1.070478,2.634127,3.619129,1.022625,6.175068
0.050000,1.208561,24.563367,1.211376,2.817971,3.676882,1.155062,6.158611
0.050000,1.357475,24.543352,1.361630,3.005062,3.741805,1.298467,6.140439
0.050000,1.515404,24.519046,1.521419,3.195780,3.814371,1.451316,6.120391
0.050000,1.682377,24.489735,1.690945,3.390524,3.894868,1.609942,6.098289
0.050000,1.858391,24.454607,1.870429,3.589687,3.983270,1.768028,6.073940
0.050000,2.043394,24.412739,2.060111,3.793638,4.079025,1.915110,6.047131
0.050000,2.237272,24.363090,2.260245,4.002676,4.180763,2.034757,6.017638
0.050000,2.439813,24.304489,2.471093,4.216972,4.285913,2.102994,5.985229
0.050000,2.650681,24.235635,2.692918,4.436482,4.390208,2.085894,5.949675
0.050000,2.869366,24.155105,2.925959,4.660839,4.487129,1.938423,5.910760
0.050000,3.095142,24.061369,3.170420,4.889208,4.567381,1.605047,5.868309
0.050000,3.322816,23.954915,3.421753,5.026660,2.749049,-36.366646,5.823063
0.050000,3.547167,23.837102,3.675156,5.068053,0.827862,-38.423737,5.775991
0.050000,3.767149,23.707791,3.930329,5.103468,0.708293,-2.391377,5.727358
0.050000,3.981656,23.567042,4.186890,5.131224,0.555114,-3.063579,5.677501
0.050000,4.189567,23.415137,4.444382,5.149836,0.372236,-3.657566,5.626823
0.050000,4.389805,23.252590,4.702291,5.158183,0.166953,-4.105648,5.575777
0.050000,4.581400,23.080126,4.960074,5.155654,-0.050592,-4.350918,5.524843
0.050000,4.763537,22.898654,5.217185,5.142224,-0.268593,-4.360011,5.474501
0.050000,4.935608,22.709212,5.473108,5.118466,-0.475154,-4.131224,5.425206
0.050000,5.097225,22.512909,5.727382,5.085471,-0.659905,-3.695006,5.377367
0.050000,5.248228,22.310867,5.979617,5.044709,-0.815235,-3.106614,5.331325
0.050000,5.388668,22.104172,6.229510,4.997863,-0.936917,-2.433629,5.287348
0.050000,5.518777,21.893825,6.476844,4.946661,-1.024050,-1.742662,5.245629
0.050000,5.638929,21.680728,6.721480,4.892736,-1.078501,-1.089032,5.206288
0.050000,5.749608,21.465659,6.963357,4.837533,-1.104065,-0.511270,5.169380
0.050000,5.851366,21.249280,7.202470,4.782253,-1.105584,-0.030383,5.134909
0.050000,5.944795,21.032134,7.438862,4.727843,-1.088206,0.347551,5.102836
0.050000,6.030501,20.814663,7.672612,4.675001,-1.056842,0.627289,5.073093
0.050000,6.109086,20.597217,7.903822,4.624209,-1.015837,0.820107,5.045588
0.050000,6.181134,20.380069,8.132611,4.575768,-0.968821,0.940309,5.020219
0.050000,6.247203,20.163428,8.359102,4.529834,-0.918690,1.002628,4.996874
0.050000,6.307821,19.947451,8.583425,4.486451,-0.867653,1.020739,4.975440
0.050000,6.363483,19.732254,8.805704,4.445584,-0.817332,1.006408,4.955808
0.050000,6.414647,19.517919,9.026061,4.407141,-0.768867,0.969303,4.937869
0.050000,6.461741,19.304504,9.244611,4.370990,-0.723016,0.917029,4.921524
