dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003027,22.364999,0.003704,0.148148,2.962963,59.259259,6.282851
0.050000,0.012897,22.364991,0.013575,0.197416,0.985357,-39.552120,6.281758
0.050000,0.029339,22.364952,0.030016,0.328840,2.628476,32.862387,6.279929
0.050000,0.052338,22.364848,0.053016,0.459981,2.622814,-0.113239,6.277350
0.050000,0.081873,22.364626,0.082551,0.590719,2.614773,-0.160823,6.274004
0.050000,0.117917,22.364221,0.118598,0.720931,2.604238,-0.210709,6.269868
0.050000,0.160436,22.363550,0.161122,0.850484,2.591054,-0.263667,6.264913
0.050000,0.209387,22.362513,0.210084,0.979235,2.575032,-0.320446,6.259104
0.050000,0.264718,22.360996,0.265436,1.107032,2.555937,-0.381910,6.252398
0.050000,0.326366,22.358862,0.327121,1.233707,2.533489,-0.448945,6.244746
0.050000,0.394258,22.355958,0.395075,1.359075,2.507365,-0.522491,6.236091
0.050000,0.468305,22.352109,0.469221,1.482934,2.477185,-0.603606,6.226366
0.050000,0.548402,22.347119,0.549474,1.605060,2.442520,-0.693284,6.215494
0.050000,0.634429,22.340766,0.635735,1.725205,2.402891,-0.792583,6.203389
0.050000,0.726239,22.332808,0.727889,1.843093,2.357771,-0.902411,6.189951
0.050000,0.823665,22.322971,0.825810,1.958423,2.306595,-1.023516,6.175068
0.050000,0.926509,22.310958,0.929354,2.070862,2.248789,-1.156118,6.158611
0.050000,1.034540,22.296440,1.038356,2.180052,2.183796,-1.299861,6.140439
0.050000,1.147491,22.279059,1.152637,2.285610,2.111146,-1.452993,6.120391
0.050000,1.265051,22.258426,1.271994,2.387137,2.030542,-1.612082,6.098289
0.050000,1.386861,22.234120,1.396205,2.484237,1.942006,-1.770721,6.073940
0.050000,1.512512,22.205690,1.525032,2.576541,1.846087,-1.918381,6.047131
0.050000,1.641538,22.172656,1.658220,2.663749,1.744145,-2.038833,6.017638
0.050000,1.773416,22.134508,1.795504,2.745686,1.638751,-2.107894,5.985229
0.050000,1.907568,22.090715,1.936624,2.822394,1.534166,-2.091694,5.949675
0.050000,2.043370,22.040719,2.081336,2.894240,1.436909,-1.945147,5.910760
0.050000,2.180157,21.983942,2.229439,2.962054,1.356288,-1.612416,5.868309
0.050000,2.314804,21.920999,2.378071,2.972657,0.212057,-22.884626,5.823063
0.050000,2.444568,21.852871,2.524632,2.931208,-0.828986,-20.820845,5.775991
0.050000,2.569392,21.779508,2.669419,2.895743,-0.709290,2.393903,5.727358
0.050000,2.689289,21.700846,2.812816,2.867947,-0.555918,3.067443,5.677501
0.050000,2.804325,21.616804,2.955282,2.849308,-0.372786,3.662639,5.626823
0.050000,2.914610,21.527279,3.097329,2.840948,-0.167204,4.111656,5.575777
0.050000,3.020277,21.432159,3.239503,2.843481,0.050668,4.357436,5.524843
