dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003406,23.499999,0.003704,0.148148,2.962963,59.259259,6.282851
0.050000,0.014517,23.499990,0.014815,0.296296,2.962963,0.000000,6.281758
0.050000,0.033035,23.499946,0.033333,0.444444,2.962963,0.000000,6.279929
0.050000,0.058961,23.499828,0.059259,0.592593,2.962963,0.000000,6.277350
0.050000,0.092293,23.499578,0.092593,0.740741,2.962963,0.000000,6.274004
0.050000,0.133032,23.499120,0.133333,0.888889,2.962963,0.000000,6.269868
0.050000,0.181174,23.498360,0.181481,1.037037,2.962963,0.000000,6.264913
0.050000,0.236717,23.497184,0.237037,1.185185,2.962963,0.000000,6.259104
0.050000,0.299656,23.495458,0.300000,1.333333,2.962963,0.000000,6.252398
0.050000,0.369984,23.493023,0.370370,1.481481,2.962963,0.000000,6.244746
0.050000,0.447690,23.489700,0.448148,1.629630,2.962963,0.000000,6.236091
0.050000,0.532760,23.485277,0.533333,1.777778,2.962963,0.000000,6.226366
0.050000,0.625173,23.479519,0.625926,1.925926,2.962963,0.000000,6.215494
0.050000,0.724901,23.472155,0.725926,2.074074,2.962963,0.000000,6.203389
0.050000,0.831906,23.462878,0.833333,2.222222,2.962963,0.000000,6.189951
0.050000,0.946139,23.451344,0.948148,2.370370,2.962963,-0.000000,6.175068
0.050000,1.067535,23.437163,1.070370,2.518519,2.962963,0.000000,6.158611
0.050000,1.196007,23.419896,1.200000,2.666667,2.962963,-0.000000,6.140439
0.050000,1.331448,23.399052,1.337037,2.814815,2.962963,0.000000,6.120391
0.050000,1.473714,23.374080,1.481481,2.962963,2.962963,-0.000000,6.098289
0.050000,1.622626,23.344363,1.633333,3.111111,2.962963,0.000000,6.073940
0.050000,1.777953,23.309215,1.792593,3.259259,2.962963,-0.000000,6.047131
0.050000,1.939405,23.267873,1.959259,3.407407,2.962963,0.000000,6.017638
0.050000,2.106615,23.219499,2.133333,3.555556,2.962963,-0.000000,5.985229
0.050000,2.279125,23.163175,2.314815,3.703704,2.962963,0.000000,5.949675
0.050000,2.456368,23.097912,2.503704,3.851852,2.962963,-0.000000,5.910760
0.050000,2.637649,23.022656,2.700000,4.000000,2.962963,0.000000,5.868309
0.050000,2.818810,22.937957,2.900000,4.000000,0.000000,-59.259259,5.823063
0.050000,2.995867,22.844987,3.100000,4.000000,0.000000,0.000000,5.775991
0.050000,3.168271,22.743650,3.300000,4.000000,0.000000,0.000000,5.727358
0.050000,3.335472,22.633944,3.500000,4.000000,0.000000,0.000000,5.677501
0.050000,3.496946,22.515971,3.700000,4.000000,0.000000,0.000000,5.626823
0.050000,3.652208,22.389934,3.900000,4.000000,0.000000,0.000000,5.575777
0.050000,3.800838,22.256143,4.100000,4.000000,0.000000,0.000000,5.524843
0.050000,3.942501,22.114993,4.300000,4.000000,0.000000,0.000000,5.474501
0.050000,4.076955,21.966959,4.500000,4.000000,0.000000,0.000000,5.425206
0.050000,4.204059,21.812567,4.700000,4.000000,0.000000,0.000000,5.377367
0.050000,4.323775,21.652376,4.900000,4.000000,0.000000,0.000000,5.331325
0.050000,4.436160,21.486958,5.100000,4.000000,0.000000,0.000000,5.287348
0.050000,4.541355,21.316875,5.300000,4.000000,0.000000,0.000000,5.245629
0.050000,4.639571,21.142667,5.500000,4.000000,0.000000,0.000000,5.206288
0.050000,4.731077,20.964841,5.700000,4.000000,0.000000,0.000000,5.169380
0.050000,4.816180,20.783861,5.900000,4.000000,0.000000,0.000000,5.134909
0.050000,4.895216,20.600150,6.100000,4.000000,0.000000,0.000000,5.102836
0.050000,4.968540,20.414084,6.300000,4.000000,0.000000,0.000000,5.073093
0.050000,5.036510,20.225995,6.500000,4.000000,0.000000,0.000000,5.045588
0.050000,5.099486,20.036174,6.700000,4.000000,0.000000,0.000000,5.020219
0.050000,5.157823,19.844876,6.900000,4.000000,0.000000,0.000000,4.996874
0.050000,5.211864,19.652319,7.100000,4.000000,0.000000,0.000000,4.975440
0.050000,5.261943,19.458694,7.300000,4.000000,0.000000,0.000000,4.955808
0.050000,5.308377,19.264162,7.500000,4.000000,0.000000,0.000000,4.937869
0.050000,5.351472,19.068862,7.700000,4.000000,0.000000,0.000000,4.921524
0.050000,5.391517,18.872914,7.900000,4.000000,0.000000,0.000000,4.906678
0.050000,5.428789,18.676419,8.100000,4.000000,0.000000,0.000000,4.893243
0.050000,5.463550,18.479464,8.300000,4.000000,0.000000,0.000000,4.881141
0.050000,5.496051,18.282124,8.500000,4.000000,0.000000,0.000000,4.870299
0.050000,5.526530,18.084461,8.700000,4.000000,0.000000,0.000000,4.860654
0.050000,5.555214,17.886529,8.900000,4.000000,0.000000,0.000000,4.852149
0.050000,5.582323,17.688375,9.100000,4.000000,0.000000,0.000000,4.844733
0.050000,5.608066,17.490039,9.300000,4.000000,0.000000,0.000000,4.838363
0.050000,5.632646,17.291556,9.500000,4.000000,0.000000,0.000000,4.833002
0.050000,5.656259,17.092955,9.700000,4.000000,0.000000,0.000000,4.828619
0.050000,5.679097,16.894263,9.900000,4.000000,0.000000,0.000000,4.825188
0.050000,5.701345,16.695504,10.100000,4.000000,0.000000,0.000000,4.822690
0.050000,5.723188,16.496701,10.300000,4.000000,0.000000,0.000000,4.821110
0.050000,5.744808,16.297873,10.500000,4.000000,0.000000,0.000000,4.820439
0.050000,5.766384,16.099040,10.700000,4.000000,0.000000,0.000000,4.820673
0.050000,5.788097,15.900222,10.900000,4.000000,0.000000,0.000000,4.821815
0.050000,5.810128,15.701439,11.100000,4.000000,0.000000,0.000000,4.823870
0.050000,5.832658,15.502712,11.300000,4.000000,0.000000,0.000000,4.826849
0.050000,5.855874,15.304064,11.500000,4.000000,0.000000,0.000000,4.830771
0.050000,5.879965,15.105521,11.700000,4.000000,0.000000,0.000000,4.835658
0.050000,5.905123,14.907110,11.900000,4.000000,0.000000,0.000000,4.841538
0.050000,5.931548,14.708864,12.100000,4.000000,0.000000,0.000000,4.848445
0.050000,5.959447,14.510820,12.300000,4.000000,0.000000,0.000000,4.856420
0.050000,5.989034,14.313021,12.500000,4.000000,0.000000,0.000000,4.865509
0.050000,6.020532,14.115518,12.700000,4.000000,0.000000,0.000000,4.875767
0.050000,6.054175,13.918369,12.900000,4.000000,0.000000,0.000000,4.887253
0.050000,6.090206,13.721642,13.100000,4.000000,0.000000,0.000000,4.900037
0.050000,6.128882,13.525419,13.300000,4.000000,0.000000,0.000000,4.914193
0.050000,6.170473,13.329794,13.500000,4.000000,0.000000,0.000000,4.929806
0.050000,6.215262,13.134876,13.700000,4.000000,0.000000,0.000000,4.946965
0.050000,6.263547,12.940795,13.900000,4.000000,0.000000,0.000000,4.965768
0.050000,6.315639,12.747702,14.100000,4.000000,0.000000,0.000000,4.986321
0.050000,6.371865,12.555772,14.300000,4.000000,0.000000,0.000000,5.008732
0.050000,6.432564,12.365211,14.500000,4.000000,0.000000,0.000000,5.033112
0.050000,6.498084,12.176254,14.700000,4.000000,0.000000,0.000000,5.059575
0.050000,6.568785,11.989174,14.900000,4.000000,0.000000,0.000000,5.088228
0.050000,6.645026,11.804285,15.100000,4.000000,0.000000,0.000000,5.119169
0.050000,6.727164,11.621940,15.300000,4.000000,0.000000,0.000000,5.152478
0.050000,6.815546,11.442540,15.500000,4.000000,0.000000,0.000000,5.188210
0.050000,6.910495,11.266529,15.700000,4.000000,0.000000,0.000000,5.226383
0.050000,7.012299,11.094394,15.900000,4.000000,0.000000,0.000000,5.266968
0.050000,7.121200,10.926661,16.100000,4.000000,0.000000,0.000000,5.309877
0.050000,7.237373,10.763882,16.300000,4.000000,0.000000,0.000000,5.354953
0.050000,7.360918,10.606627,16.500000,4.000000,0.000000,0.000000,5.401965
0.050000,7.491844,10.455462,16.700000,4.000000,0.000000,0.000000,5.450606
0.050000,7.630059,10.310935,16.900000,4.000000,0.000000,0.000000,5.500498
0.050000,7.775371,10.173545,17.100000,4.000000,0.000000,0.000000,5.551207
0.050000,7.927487,10.043730,17.300000,4.000000,0.000000,0.000000,5.602259
0.050000,8.086027,9.921842,17.500000,4.000000,0.000000,0.000000,5.653173
0.050000,8.250534,9.808136,17.700000,4.000000,0.000000,0.000000,5.703479
0.050000,8.420500,9.702764,17.900000,4.000000,0.000000,0.000000,5.752748
0.050000,8.595385,9.605771,18.100000,4.000000,0.000000,0.000000,5.800609
0.050000,8.774637,9.517106,18.300000,4.000000,0.000000,0.000000,5.846763
0.050000,8.955935,9.437368,18.498074,3.922970,-1.540608,-30.812163,5.890568
0.050000,9.135194,9.367396,18.690519,3.774821,-2.962963,-28.447097,5.931174
0.050000,9.310040,9.306866,18.875556,3.626673,-2.962963,-0.000000,5.968329
0.050000,9.479845,9.254755,19.053186,3.478525,-2.962963,0.000000,6.002231
0.050000,9.644102,9.210111,19.223409,3.330377,-2.962963,-0.000000,6.033106
0.050000,9.802402,9.172056,19.386224,3.182229,-2.962963,0.000000,6.061185
