dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.032678,12.069999,0.003704,0.148148,2.962963,59.259259,6.282371
0.050000,0.040944,12.069982,0.011970,0.165321,0.343448,-52.390296,6.279853
0.050000,0.054710,12.069907,0.025736,0.275332,2.200230,37.135629,6.275648
0.050000,0.073962,12.069705,0.044989,0.385050,2.194363,-0.117337,6.269742
0.050000,0.098677,12.069279,0.069708,0.494378,2.186560,-0.156050,6.262119
0.050000,0.128829,12.068502,0.099870,0.603241,2.177260,-0.185996,6.252757
0.050000,0.164386,12.067222,0.135450,0.711594,2.167064,-0.203936,6.241635
0.050000,0.205310,12.065257,0.176421,0.819432,2.156759,-0.206103,6.228729
0.050000,0.251562,12.062395,0.222761,0.926800,2.147348,-0.188217,6.214019
0.050000,0.303097,12.058397,0.274451,1.033803,2.140074,-0.145469,6.197488
0.050000,0.359872,12.052994,0.331483,1.140625,2.136438,-0.072727,6.179129
0.050000,0.421843,12.045890,0.393859,1.247535,2.138200,0.035233,6.158946
0.050000,0.488969,12.036757,0.461604,1.354903,2.147359,0.183183,6.136958
0.050000,0.561217,12.025238,0.534765,1.463208,2.166099,0.374805,6.113208
0.050000,0.638560,12.010947,0.613417,1.573043,2.196687,0.611761,6.087762
0.050000,0.720983,11.993468,0.697672,1.685109,2.241321,0.892678,6.060721
0.050000,0.808482,11.972356,0.787683,1.800205,2.301927,1.212129,6.032217
0.050000,0.901069,11.947138,0.883643,1.919201,2.379919,1.559840,6.002425
0.050000,0.998768,11.917314,0.985793,2.042998,2.475943,1.920472,5.971555
0.050000,1.101616,11.882364,1.094417,2.172481,2.589653,2.274196,5.939859
0.050000,1.209657,11.841750,1.209840,2.308459,2.719570,2.598347,5.907626
0.050000,1.322943,11.794926,1.332420,2.451613,2.863072,2.870032,5.875171
0.050000,1.441523,11.741349,1.462542,2.602440,3.016542,3.069404,5.842836
0.050000,1.565447,11.680491,1.600603,2.761224,3.175689,3.182935,5.810971
0.050000,1.694761,11.611853,1.747005,2.928024,3.335986,3.205941,5.779932
0.050000,1.829510,11.534980,1.902139,3.102682,3.493171,3.143698,5.750066
0.050000,1.969739,11.449473,2.066382,3.284868,3.643714,3.010876,5.721705
0.050000,2.112856,11.356767,2.236901,3.410374,2.510123,-22.671830,5.695620
0.050000,2.256264,11.258768,2.410595,3.473893,1.270372,-24.795020,5.672344
0.050000,2.400031,11.155837,2.587411,3.536318,1.248501,-0.437428,5.651830
0.050000,2.544248,11.048347,2.767280,3.597365,1.220947,-0.551068,5.634016
0.050000,2.689031,10.936675,2.950125,3.656916,1.191025,-0.598444,5.618837
0.050000,2.834524,10.821199,3.135875,3.714984,1.161350,-0.593497,5.606227
0.050000,2.980897,10.702293,3.324459,3.771680,1.133920,-0.548602,5.596125
0.050000,3.128348,10.580324,3.515818,3.827190,1.110212,-0.474161,5.588479
0.050000,3.277104,10.455656,3.709906,3.881754,1.091281,-0.378608,5.583247
0.050000,3.427413,10.328650,3.906688,3.935647,1.077849,-0.268658,5.580400
0.050000,3.579552,10.199665,4.106146,3.989165,1.070365,-0.149663,5.579920
0.050000,3.733822,10.069060,4.308277,4.042618,1.069064,-0.026031,5.581806
0.050000,3.890547,9.937201,4.513093,4.096317,1.073981,0.098348,5.586068
0.050000,4.050075,9.804466,4.720621,4.150566,1.084965,0.219672,5.592730
0.050000,4.212776,9.671247,4.930904,4.205648,1.101655,0.333796,5.601831
0.050000,4.379036,9.537960,5.143995,4.261821,1.123445,0.435804,5.613417
0.050000,4.549262,9.405054,5.359960,4.319292,1.149424,0.519589,5.627546
0.050000,4.723867,9.273014,5.578870,4.378207,1.178297,0.577461,5.644283
0.050000,4.903272,9.142372,5.800801,4.438621,1.208290,0.599846,5.663694
0.050000,5.087890,9.013718,6.025825,4.500474,1.237048,0.575172,5.685843
0.050000,5.278114,8.887703,6.254002,4.563551,1.261552,0.490078,5.710784
0.050000,5.472108,8.766383,6.482808,4.576125,0.251468,-20.201681,5.738233
0.050000,5.666157,8.652556,6.707778,4.499397,-1.534555,-35.720463,5.767515
0.050000,5.858328,8.547438,6.926821,4.380859,-2.370750,-16.723896,5.798108
0.050000,6.048045,8.451201,7.139551,4.254590,-2.525388,-3.092772,5.829669
0.050000,6.234654,8.363906,7.345568,4.120356,-2.684687,-3.185966,5.861845
0.050000,6.417451,8.285491,7.544475,3.978123,-2.844643,-3.199121,5.894283
0.050000,6.595707,8.215775,7.735879,3.828084,-3.000790,-3.122950,5.926638
0.050000,6.768694,8.154458,7.919411,3.670649,-3.148694,-2.958066,5.958581
0.050000,6.935709,8.101134,8.094733,3.506428,-3.284421,-2.714551,5.989812
0.050000,7.096101,8.055311,8.261542,3.336182,-3.404919,-2.409966,6.020064
0.050000,7.249280,8.016422,8.419580,3.160771,-3.508234,-2.066292,6.049110
