dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004182,12.365001,0.003704,0.148148,2.962963,59.259259,0.000581
0.050000,0.017378,12.365021,0.016900,0.263922,2.315485,-12.949550,0.002418
0.050000,0.039389,12.365108,0.038911,0.440216,3.525862,24.207525,0.005495
0.050000,0.070239,12.365344,0.069762,0.617029,3.536270,0.208170,0.009835
0.050000,0.109965,12.365847,0.109491,0.794578,3.550972,0.294040,0.015469
0.050000,0.158610,12.366769,0.158145,0.973082,3.570087,0.382296,0.022442
0.050000,0.216229,12.368303,0.215784,1.152770,3.593757,0.473408,0.030803
0.050000,0.282880,12.370683,0.282477,1.333877,3.622134,0.567537,0.040617
0.050000,0.358631,12.374190,0.358310,1.516645,3.655361,0.664539,0.051956
0.050000,0.443552,12.379156,0.443376,1.701322,3.693544,0.763645,0.064904
0.050000,0.537714,12.385967,0.537784,1.888157,3.736713,0.863387,0.079557
0.050000,0.641184,12.395071,0.641653,2.077396,3.784773,0.961211,0.096020
0.050000,0.754020,12.406983,0.755117,2.269267,3.837425,1.053028,0.114410
0.050000,0.876264,12.422293,0.878315,2.463971,3.894067,1.132852,0.134851
0.050000,1.007928,12.441669,1.011398,2.661654,3.953670,1.192055,0.157475
0.050000,1.148987,12.465868,1.154517,2.862385,4.014612,1.218845,0.182416
0.050000,1.299356,12.495732,1.307823,3.066110,4.074496,1.197664,0.209807
0.050000,1.458872,12.532195,1.471453,3.272607,4.129941,1.108901,0.239769
0.050000,1.627269,12.576276,1.645524,3.481427,4.176400,0.929194,0.272405
0.050000,1.804151,12.629066,1.830116,3.691829,4.208050,0.632989,0.307785
0.050000,1.988959,12.691708,2.025252,3.902721,4.217827,0.195545,0.345931
0.050000,2.180947,12.765360,2.230882,4.112608,4.197747,-0.401605,0.386800
0.050000,2.379155,12.851153,2.446862,4.319588,4.139595,-1.163029,0.430262
0.050000,2.582407,12.950128,2.672931,4.521391,4.036072,-2.070472,0.476090
0.050000,2.789317,13.063170,2.908707,4.715507,3.882322,-3.074998,0.523946
0.050000,2.998325,13.190941,3.153676,4.899388,3.677613,-4.094178,0.573378
0.050000,3.207766,13.333823,3.407212,5.070722,3.426683,-5.018598,0.623833
0.050000,3.412252,13.488925,3.663866,5.133081,1.247169,-43.590276,0.673772
0.050000,3.607215,13.652445,3.918325,5.089174,-0.878133,-42.506053,0.721775
0.050000,3.792379,13.823149,4.170170,5.036896,-1.045561,-3.348546,0.767473
0.050000,3.967720,13.999833,4.419090,4.978414,-1.169646,-2.481704,0.810592
0.050000,4.133425,14.181370,4.664882,4.915842,-1.251429,-1.635660,0.850952
0.050000,4.289848,14.366746,4.907437,4.851083,-1.295185,-0.875129,0.888457
0.050000,4.437469,14.555070,5.146723,4.785728,-1.307103,-0.238362,0.923081
