dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004182,14.634999,0.003704,0.148148,2.962963,59.259259,6.282604
0.050000,0.017378,14.634979,0.016900,0.263922,2.315485,-12.949550,6.280767
0.050000,0.039389,14.634892,0.038911,0.440216,3.525862,24.207525,6.277690
0.050000,0.070239,14.634656,0.069762,0.617029,3.536270,0.208170,6.273351
0.050000,0.109965,14.634153,0.109491,0.794578,3.550972,0.294040,6.267716
0.050000,0.158610,14.633231,0.158145,0.973082,3.570087,0.382296,6.260744
0.050000,0.216229,14.631697,0.215784,1.152770,3.593757,0.473408,6.252382
0.050000,0.282880,14.629317,0.282477,1.333877,3.622134,0.567537,6.242568
0.050000,0.358631,14.625810,0.358310,1.516645,3.655361,0.664539,6.231229
0.050000,0.443552,14.620844,0.443376,1.701322,3.693544,0.763645,6.218281
0.050000,0.537714,14.614033,0.537784,1.888157,3.736713,0.863387,6.203628
0.050000,0.641184,14.604929,0.641653,2.077396,3.784773,0.961211,6.187165
0.050000,0.754020,14.593017,0.755117,2.269267,3.837425,1.053028,6.168775
0.050000,0.876264,14.577707,0.878315,2.463971,3.894067,1.132852,6.148334
0.050000,1.007928,14.558331,1.011398,2.661654,3.953670,1.192055,6.125710
0.050000,1.148987,14.534132,1.154517,2.862385,4.014612,1.218845,6.100769
0.050000,1.299356,14.504268,1.307823,3.066110,4.074496,1.197664,6.073379
0.050000,1.458872,14.467805,1.471453,3.272607,4.129941,1.108901,6.043417
0.050000,1.627269,14.423724,1.645524,3.481427,4.176400,0.929194,6.010781
0.050000,1.804151,14.370934,1.830116,3.691829,4.208050,0.632989,5.975400
0.050000,1.988959,14.308292,2.025252,3.902721,4.217827,0.195545,5.937254
0.050000,2.180947,14.234640,2.230882,4.112608,4.197747,-0.401605,5.896386
0.050000,2.379155,14.148847,2.446862,4.319588,4.139595,-1.163029,5.852923
0.050000,2.582407,14.049872,2.672931,4.521391,4.036072,-2.070472,5.807095
0.050000,2.789317,13.936830,2.908707,4.715507,3.882322,-3.074998,5.759239
0.050000,2.998325,13.809059,3.153676,4.899388,3.677613,-4.094178,5.709807
0.050000,3.207766,13.666177,3.407212,5.070722,3.426683,-5.018598,5.659352
0.050000,3.412252,13.511075,3.663866,5.133081,1.247169,-43.590276,5.609413
0.050000,3.607215,13.347555,3.918325,5.089174,-0.878133,-42.506053,5.561410
0.050000,3.792379,13.176851,4.170170,5.036896,-1.045561,-3.348546,5.515713
0.050000,3.967720,13.000167,4.419090,4.978414,-1.169646,-2.481704,5.472594
0.050000,4.133425,12.818630,4.664882,4.915842,-1.251429,-1.635660,5.432233
0.050000,4.289848,12.633254,4.907437,4.851083,-1.295185,-0.875129,5.394728
0.050000,4.437469,12.444930,5.146723,4.785728,-1.307103,-0.238362,5.360104
0.050000,4.576848,12.254421,5.382774,4.721024,-1.294084,0.260386,5.328332
0.050000,4.708591,12.062370,5.615668,4.657881,-1.262846,0.624766,5.299344
0.050000,4.833321,11.869312,5.845514,4.596913,-1.219371,0.869500,5.273042
0.050000,4.951662,11.675689,6.072438,4.538480,-1.168647,1.014478,5.249316
0.050000,5.064218,11.481863,6.296575,4.482749,-1.114619,1.080552,5.228046
0.050000,5.171572,11.288132,6.518062,4.429736,-1.060272,1.086954,5.209112
0.050000,5.274276,11.094745,6.737029,4.379347,-1.007768,1.050065,5.192398
0.050000,5.372850,10.901908,6.953600,4.331417,-0.958615,0.983056,5.177796
0.050000,5.467783,10.709797,7.167887,4.285726,-0.913815,0.896009,5.165208
0.050000,5.559531,10.518567,7.379988,4.242026,-0.873996,0.796372,5.154545
0.050000,5.648524,10.328353,7.589990,4.200050,-0.839527,0.689388,5.145732
0.050000,5.735164,10.139283,7.797966,4.159520,-0.810597,0.578603,5.138704
0.050000,5.819830,9.951477,8.003974,4.120156,-0.787284,0.466263,5.133411
0.050000,5.902876,9.765054,8.208058,4.081676,-0.769601,0.353660,5.129813
