dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003523,13.499999,0.003704,0.148148,2.962963,59.259259,6.282604
0.050000,0.014634,13.499982,0.014815,0.296296,2.962963,0.000000,6.280767
0.050000,0.033152,13.499909,0.033333,0.444444,2.962963,0.000000,6.277690
0.050000,0.059077,13.499710,0.059259,0.592593,2.962963,0.000000,6.273351
0.050000,0.092408,13.499289,0.092593,0.740741,2.962963,0.000000,6.267716
0.050000,0.133141,13.498517,0.133333,0.888889,2.962963,0.000000,6.260744
0.050000,0.181272,13.497236,0.181481,1.037037,2.962963,0.000000,6.252382
0.050000,0.236792,13.495253,0.237037,1.185185,2.962963,0.000000,6.242568
0.050000,0.299687,13.492341,0.300000,1.333333,2.962963,0.000000,6.231229
0.050000,0.369937,13.488233,0.370370,1.481481,2.962963,0.000000,6.218281
0.050000,0.447512,13.482623,0.448148,1.629630,2.962963,0.000000,6.203628
0.050000,0.532368,13.475157,0.533333,1.777778,2.962963,0.000000,6.187165
0.050000,0.624448,13.465437,0.625926,1.925926,2.962963,0.000000,6.168775
0.050000,0.723671,13.453012,0.725926,2.074074,2.962963,0.000000,6.148334
0.050000,0.829932,13.437375,0.833333,2.222222,2.962963,0.000000,6.125710
0.050000,0.943091,13.417964,0.948148,2.370370,2.962963,-0.000000,6.100769
0.050000,1.062968,13.394158,1.070370,2.518519,2.962963,0.000000,6.073379
0.050000,1.189334,13.365274,1.200000,2.666667,2.962963,-0.000000,6.043417
0.050000,1.321899,13.330575,1.337037,2.814815,2.962963,0.000000,6.010781
0.050000,1.460304,13.289271,1.481481,2.962963,2.962963,-0.000000,5.975400
0.050000,1.604111,13.240530,1.633333,3.111111,2.962963,0.000000,5.937254
0.050000,1.752795,13.183493,1.792593,3.259259,2.962963,-0.000000,5.896386
0.050000,1.905737,13.117295,1.959259,3.407407,2.962963,0.000000,5.852923
0.050000,2.062228,13.041091,2.133333,3.555556,2.962963,-0.000000,5.807095
0.050000,2.221475,12.954088,2.314815,3.703704,2.962963,0.000000,5.759239
0.050000,2.382618,12.855575,2.503704,3.851852,2.962963,-0.000000,5.709807
0.050000,2.544755,12.744960,2.700000,4.000000,2.962963,0.000000,5.659352
0.050000,2.704082,12.624103,2.900000,4.000000,0.000000,-59.259259,5.609413
0.050000,2.857300,12.495585,3.100000,4.000000,0.000000,0.000000,5.561410
0.050000,3.004328,12.360028,3.300000,4.000000,0.000000,0.000000,5.515713
0.050000,3.145191,12.218073,3.500000,4.000000,0.000000,0.000000,5.472594
0.050000,3.280009,12.070361,3.700000,4.000000,0.000000,0.000000,5.432233
0.050000,3.408975,11.917511,3.900000,4.000000,0.000000,0.000000,5.394728
