dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004641,12.365002,0.003704,0.148148,2.962963,59.259259,0.000925
0.050000,0.019011,12.365036,0.018074,0.287415,2.785341,-3.552441,0.003797
0.050000,0.042997,12.365185,0.042060,0.479716,3.846023,21.213636,0.008614
0.050000,0.076647,12.365589,0.075713,0.673057,3.866810,0.415753,0.015422
0.050000,0.120031,12.366450,0.119106,0.867857,3.896003,0.583861,0.024285
0.050000,0.173235,12.368035,0.172333,1.064538,3.933625,0.752423,0.035286
0.050000,0.236355,12.370680,0.235509,1.263518,3.979599,0.919493,0.048527
0.050000,0.309499,12.374803,0.308769,1.465201,4.033658,1.081172,0.064126
0.050000,0.392774,12.380905,0.392267,1.669961,4.095199,1.230819,0.082220
0.050000,0.486278,12.389584,0.486173,1.878116,4.163096,1.357951,0.102958
0.050000,0.590086,12.401542,0.590667,2.089888,4.235450,1.447070,0.126499
0.050000,0.704230,12.417594,0.705935,2.305352,4.309263,1.476264,0.153006
0.050000,0.828676,12.438670,0.832152,2.524355,4.380070,1.416135,0.182636
0.050000,0.963287,12.465821,0.969474,2.746433,4.441552,1.229638,0.215524
0.050000,1.107787,12.500202,1.118009,2.970694,4.485226,0.873486,0.251766
0.050000,1.261719,12.543058,1.277794,3.195713,4.500382,0.303109,0.291397
0.050000,1.424392,12.595677,1.448766,3.419437,4.474481,-0.518022,0.334360
0.050000,1.594852,12.659332,1.630724,3.639152,4.394294,-1.603727,0.380478
0.050000,1.771854,12.735203,1.823301,3.851550,4.247964,-2.926611,0.429430
0.050000,1.953874,12.824280,2.025949,4.052944,4.027889,-4.401500,0.480729
0.050000,2.139158,12.927265,2.237931,4.239639,3.733893,-5.879906,0.533729
0.050000,2.325816,13.044501,2.458351,4.408419,3.375594,-7.165983,0.587640
0.050000,2.511949,13.175921,2.686204,4.557054,2.972705,-8.057787,0.641572
0.050000,2.695793,13.321067,2.920438,4.684678,2.552489,-8.404314,0.694601
0.050000,2.875845,13.479140,3.160034,4.791914,2.144717,-8.155445,0.745826
0.050000,3.050965,13.649099,3.404069,4.880699,1.775696,-7.380422,0.794434
0.050000,3.220410,13.829765,3.651762,4.953871,1.463437,-6.245181,0.839736
0.050000,3.380972,14.016445,3.897992,4.924603,-0.585360,-40.975930,0.880483
0.050000,3.530577,14.204421,4.138236,4.804867,-2.394721,-36.187224,0.915951
0.050000,3.670512,14.392652,4.372783,4.690945,-2.278441,2.325597,0.946397
0.050000,3.802025,14.580334,4.601956,4.583468,-2.149537,2.578090,0.972106
0.050000,3.926294,14.766844,4.826074,4.482345,-2.022463,2.541465,0.993358
0.050000,4.044405,14.951680,5.045424,4.387016,-1.906573,2.317807,1.010410
0.050000,4.157344,15.134430,5.260256,4.296641,-1.807508,1.981311,1.023479
0.050000,4.266007,15.314728,5.470767,4.210219,-1.728426,1.581622,1.032740
0.050000,4.371200,15.492233,5.677101,4.126672,-1.670951,1.149501,1.038321
0.050000,4.473649,15.666609,5.879345,4.044880,-1.635828,0.702476,1.040298
0.050000,4.574008,15.837505,6.077531,3.963713,-1.623350,0.249560,1.038699
0.050000,4.672867,16.004545,6.271632,3.882033,-1.633597,-0.204953,1.033503
0.050000,4.770747,16.167318,6.461568,3.798707,-1.666516,-0.658371,1.024636
0.050000,4.868113,16.325364,6.647198,3.712615,-1.721852,-1.106714,1.011977
0.050000,4.965363,16.478177,6.828332,3.622668,-1.798933,-1.541637,0.995356
0.050000,5.062831,16.625195,7.004725,3.527855,-1.896269,-1.946721,0.974559
0.050000,5.160776,16.765811,7.176090,3.427309,-2.010912,-2.292841,0.949335
0.050000,5.259382,16.899378,7.342112,3.320432,-2.137540,-2.532578,0.919403
0.050000,5.358748,17.025233,7.502465,3.207069,-2.267262,-2.594437,0.884480
0.050000,5.458894,17.142734,7.656853,3.087758,-2.386214,-2.379044,0.844302
0.050000,5.559772,17.251304,7.805055,2.964043,-2.474311,-1.761921,0.798676
0.050000,5.661301,17.350495,7.946995,2.838801,-2.504826,-0.610313,0.747536
0.050000,5.763423,17.440048,8.082820,2.716503,-2.445966,1.177209,0.691010
0.050000,5.866180,17.519939,8.212981,2.603217,-2.265721,3.604888,0.629496
0.050000,5.969807,17.590395,8.338290,2.506185,-1.940641,6.501604,0.563709
0.050000,6.074787,17.651843,8.459932,2.432835,-1.467007,9.472680,0.494692
0.050000,6.181868,17.704815,8.579399,2.389341,-0.869881,11.942522,0.423760
0.050000,6.291982,17.749824,8.698357,2.379149,-0.203833,13.320963,0.352379
0.050000,6.406102,17.787257,8.818460,2.402057,0.458157,13.239793,0.282007
0.050000,6.525074,17.817330,8.941173,2.454272,1.044310,11.723062,0.213934
0.050000,6.649478,17.840104,9.067644,2.529421,1.502985,9.173501,0.149171
0.050000,6.779565,17.855558,9.198646,2.620034,1.812260,6.185499,0.088397
0.050000,6.915269,17.863662,9.334592,2.718929,1.977893,3.312658,0.031978
0.050000,7.078920,17.865000,9.498249,3.273128,11.083973,182.121608,0.000000
0.050000,7.278920,17.865000,9.698249,4.000000,14.537445,69.069437,0.000000
0.050000,7.478920,17.865000,9.898249,4.000000,0.000000,-290.748901,0.000000
0.050000,7.678920,17.865000,10.098249,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.878920,17.865000,10.298249,4.000000,-0.000000,0.000000,0.000000
0.050000,8.078920,17.865000,10.498249,4.000000,0.000000,0.000000,0.000000
0.050000,8.278920,17.865000,10.698249,4.000000,-0.000000,-0.000000,0.000000
0.050000,8.475607,17.865000,10.894935,3.933733,-1.325335,-26.506701,0.000000
0.050000,8.665277,17.865000,11.084605,3.793392,-2.806817,-29.629630,0.000000
0.050000,8.847539,17.865000,11.266867,3.645244,-2.962963,-3.122928,0.000000
0.050000,9.022394,17.865000,11.441722,3.497096,-2.962963,0.000000,0.000000
0.050000,9.189841,17.865000,11.609169,3.348948,-2.962963,0.000000,0.000000
0.050000,9.349881,17.865000,11.769209,3.200800,-2.962963,-0.000000,0.000000
0.050000,9.502514,17.865000,11.921842,3.052652,-2.962963,-0.000000,0.000000
0.050000,9.647739,17.865000,12.067067,2.904504,-2.962963,0.000000,0.000000
0.050000,9.785556,17.865000,12.204885,2.756355,-2.962963,0.000000,0.000000
0.050000,9.915967,17.865000,12.335295,2.608207,-2.962963,-0.000000,0.000000
0.050000,10.038970,17.865000,12.458298,2.460059,-2.962963,0.000000,0.000000
0.050000,10.154565,17.865000,12.573894,2.311911,-2.962963,0.000000,0.000000
0.050000,10.262753,17.865000,12.682082,2.163763,-2.962963,-0.000000,0.000000
0.050000,10.363534,17.865000,12.782863,2.015615,-2.962963,0.000000,0.000000
0.050000,10.456908,17.865000,12.876236,1.867466,-2.962963,-0.000000,0.000000
0.050000,10.542873,17.865000,12.962202,1.719318,-2.962963,0.000000,0.000000
0.050000,10.621432,17.865000,13.040760,1.571170,-2.962963,0.000000,0.000000
0.050000,10.692583,17.865000,13.111912,1.423022,-2.962963,0.000000,0.000000
0.050000,10.756327,17.865000,13.175655,1.274874,-2.962963,-0.000000,0.000000
0.050000,10.812663,17.865000,13.231992,1.126726,-2.962963,0.000000,0.000000
0.050000,10.861592,17.865000,13.280920,0.978578,-2.962963,0.000000,0.000000
0.050000,10.903113,17.865000,13.322442,0.830429,-2.962963,-0.000000,0.000000
0.050000,10.937227,17.865000,13.356556,0.682281,-2.962963,0.000000,0.000000
0.050000,10.963934,17.865000,13.383263,0.534133,-2.962963,0.000000,0.000000
0.050000,10.983233,17.865000,13.402562,0.385985,-2.962963,-0.000000,0.000000
0.050000,10.995125,17.865000,13.414454,0.237837,-2.962963,0.000000,0.000000
0.050000,10.999610,17.865000,13.418938,0.089689,-2.962963,-0.000000,0.000000
0.050000,11.000000,17.865000,13.419329,0.007807,-1.637628,26.506701,0.000000
0.050000,11.000000,17.865000,13.419329,0.000000,-0.156146,29.629630,0.000000
