dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004641,14.634998,0.003704,0.148148,2.962963,59.259259,6.282260
0.050000,0.019011,14.634964,0.018074,0.287415,2.785341,-3.552441,6.279388
0.050000,0.042997,14.634815,0.042060,0.479716,3.846023,21.213636,6.274571
0.050000,0.076647,14.634411,0.075713,0.673057,3.866810,0.415753,6.267763
0.050000,0.120031,14.633550,0.119106,0.867857,3.896003,0.583861,6.258900
0.050000,0.173235,14.631965,0.172333,1.064538,3.933625,0.752423,6.247899
0.050000,0.236355,14.629320,0.235509,1.263518,3.979599,0.919493,6.234658
0.050000,0.309499,14.625197,0.308769,1.465201,4.033658,1.081172,6.219059
0.050000,0.392774,14.619095,0.392267,1.669961,4.095199,1.230819,6.200965
0.050000,0.486278,14.610416,0.486173,1.878116,4.163096,1.357951,6.180228
0.050000,0.590086,14.598458,0.590667,2.089888,4.235450,1.447070,6.156687
0.050000,0.704230,14.582406,0.705935,2.305352,4.309263,1.476264,6.130179
0.050000,0.828676,14.561330,0.832152,2.524355,4.380070,1.416135,6.100550
0.050000,0.963287,14.534179,0.969474,2.746433,4.441552,1.229638,6.067662
0.050000,1.107787,14.499798,1.118009,2.970694,4.485226,0.873486,6.031419
0.050000,1.261719,14.456942,1.277794,3.195713,4.500382,0.303109,5.991788
0.050000,1.424392,14.404323,1.448766,3.419437,4.474481,-0.518022,5.948825
0.050000,1.594852,14.340668,1.630724,3.639152,4.394294,-1.603727,5.902707
0.050000,1.771854,14.264797,1.823301,3.851550,4.247964,-2.926611,5.853756
0.050000,1.953874,14.175720,2.025949,4.052944,4.027889,-4.401500,5.802456
0.050000,2.139158,14.072735,2.237931,4.239639,3.733893,-5.879906,5.749456
0.050000,2.325816,13.955499,2.458351,4.408419,3.375594,-7.165983,5.695546
0.050000,2.511949,13.824079,2.686204,4.557054,2.972705,-8.057787,5.641613
0.050000,2.695793,13.678933,2.920438,4.684678,2.552489,-8.404314,5.588585
0.050000,2.875845,13.520860,3.160034,4.791914,2.144717,-8.155445,5.537360
0.050000,3.050965,13.350901,3.404069,4.880699,1.775696,-7.380422,5.488752
0.050000,3.220410,13.170235,3.651762,4.953871,1.463437,-6.245181,5.443449
0.050000,3.380972,12.983555,3.897992,4.924603,-0.585360,-40.975930,5.402703
0.050000,3.530577,12.795579,4.138236,4.804867,-2.394721,-36.187224,5.367235
0.050000,3.670512,12.607348,4.372783,4.690945,-2.278441,2.325597,5.336789
0.050000,3.802025,12.419666,4.601956,4.583468,-2.149537,2.578090,5.311080
0.050000,3.926294,12.233156,4.826074,4.482345,-2.022463,2.541465,5.289827
0.050000,4.044405,12.048320,5.045424,4.387016,-1.906573,2.317807,5.272776
0.050000,4.157344,11.865570,5.260256,4.296641,-1.807508,1.981311,5.259707
0.050000,4.266007,11.685272,5.470767,4.210219,-1.728426,1.581622,5.250445
0.050000,4.371200,11.507767,5.677101,4.126672,-1.670951,1.149501,5.244865
0.050000,4.473649,11.333391,5.879345,4.044880,-1.635828,0.702476,5.242887
0.050000,4.574008,11.162495,6.077531,3.963713,-1.623350,0.249560,5.244486
0.050000,4.672867,10.995455,6.271632,3.882033,-1.633597,-0.204953,5.249683
0.050000,4.770747,10.832682,6.461568,3.798707,-1.666516,-0.658371,5.258550
0.050000,4.868113,10.674636,6.647198,3.712615,-1.721852,-1.106714,5.271209
0.050000,4.965363,10.521823,6.828332,3.622668,-1.798933,-1.541637,5.287829
0.050000,5.062831,10.374805,7.004725,3.527855,-1.896269,-1.946721,5.308626
0.050000,5.160776,10.234189,7.176090,3.427309,-2.010912,-2.292841,5.333851
0.050000,5.259382,10.100622,7.342112,3.320432,-2.137540,-2.532578,5.363782
0.050000,5.358748,9.974767,7.502465,3.207069,-2.267262,-2.594437,5.398706
0.050000,5.458894,9.857266,7.656853,3.087758,-2.386214,-2.379044,5.438883
0.050000,5.559772,9.748696,7.805055,2.964043,-2.474311,-1.761921,5.484509
0.050000,5.661301,9.649505,7.946995,2.838801,-2.504826,-0.610313,5.535649
0.050000,5.763423,9.559952,8.082820,2.716503,-2.445966,1.177209,5.592175
0.050000,5.866180,9.480061,8.212981,2.603217,-2.265721,3.604888,5.653689
0.050000,5.969807,9.409605,8.338290,2.506185,-1.940641,6.501604,5.719476
0.050000,6.074787,9.348157,8.459932,2.432835,-1.467007,9.472680,5.788493
0.050000,6.181868,9.295185,8.579399,2.389341,-0.869881,11.942522,5.859425
0.050000,6.291982,9.250176,8.698357,2.379149,-0.203833,13.320963,5.930806
0.050000,6.406102,9.212743,8.818460,2.402057,0.458157,13.239793,6.001178
0.050000,6.525074,9.182670,8.941173,2.454272,1.044310,11.723062,6.069251
0.050000,6.649478,9.159896,9.067644,2.529421,1.502985,9.173501,6.134015
0.050000,6.779565,9.144442,9.198646,2.620034,1.812260,6.185499,6.194788
0.050000,6.915269,9.136338,9.334592,2.718929,1.977893,3.312658,6.251207
0.050000,7.078920,9.135000,9.498249,3.273128,11.083973,182.121608,0.000000
0.050000,7.278920,9.135000,9.698249,4.000000,14.537445,69.069437,0.000000
0.050000,7.478920,9.135000,9.898249,4.000000,0.000000,-290.748901,0.000000
0.050000,7.678920,9.135000,10.098249,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.878920,9.135000,10.298249,4.000000,-0.000000,0.000000,0.000000
0.050000,8.078920,9.135000,10.498249,4.000000,0.000000,0.000000,0.000000
0.050000,8.278920,9.135000,10.698249,4.000000,-0.000000,-0.000000,0.000000
0.050000,8.475607,9.135000,10.894935,3.933733,-1.325335,-26.506701,0.000000
0.050000,8.665277,9.135000,11.084605,3.793392,-2.806817,-29.629630,0.000000
0.050000,8.847539,9.135000,11.266867,3.645244,-2.962963,-3.122928,0.000000
0.050000,9.022394,9.135000,11.441722,3.497096,-2.962963,0.000000,0.000000
0.050000,9.189841,9.135000,11.609169,3.348948,-2.962963,0.000000,0.000000
0.050000,9.349881,9.135000,11.769209,3.200800,-2.962963,-0.000000,0.000000
0.050000,9.502514,9.135000,11.921842,3.052652,-2.962963,-0.000000,0.000000
0.050000,9.647739,9.135000,12.067067,2.904504,-2.962963,0.000000,0.000000
0.050000,9.785556,9.135000,12.204885,2.756355,-2.962963,0.000000,0.000000
0.050000,9.915967,9.135000,12.335295,2.608207,-2.962963,-0.000000,0.000000
0.050000,10.038970,9.135000,12.458298,2.460059,-2.962963,0.000000,0.000000
0.050000,10.154565,9.135000,12.573894,2.311911,-2.962963,0.000000,0.000000
0.050000,10.262753,9.135000,12.682082,2.163763,-2.962963,-0.000000,0.000000
0.050000,10.363534,9.135000,12.782863,2.015615,-2.962963,0.000000,0.000000
0.050000,10.456908,9.135000,12.876236,1.867466,-2.962963,-0.000000,0.000000
0.050000,10.542873,9.135000,12.962202,1.719318,-2.962963,0.000000,0.000000
0.050000,10.621432,9.135000,13.040760,1.571170,-2.962963,0.000000,0.000000
0.050000,10.692583,9.135000,13.111912,1.423022,-2.962963,0.000000,0.000000
0.050000,10.756327,9.135000,13.175655,1.274874,-2.962963,-0.000000,0.000000
0.050000,10.812663,9.135000,13.231992,1.126726,-2.962963,0.000000,0.000000
0.050000,10.861592,9.135000,13.280920,0.978578,-2.962963,0.000000,0.000000
0.050000,10.903113,9.135000,13.322442,0.830429,-2.962963,-0.000000,0.000000
0.050000,10.937227,9.135000,13.356556,0.682281,-2.962963,0.000000,0.000000
0.050000,10.963934,9.135000,13.383263,0.534133,-2.962963,0.000000,0.000000
0.050000,10.983233,9.135000,13.402562,0.385985,-2.962963,-0.000000,0.000000
0.050000,10.995125,9.135000,13.414454,0.237837,-2.962963,0.000000,0.000000
0.050000,10.999610,9.135000,13.418938,0.089689,-2.962963,-0.000000,0.000000
0.050000,11.000000,9.135000,13.419329,0.007807,-1.637628,26.506701,0.000000
0.050000,11.000000,9.135000,13.419329,0.000000,-0.156146,29.629630,0.000000
