dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.997530,17.864999,0.003704,0.148148,2.962963,59.259259,3.142598
0.050000,10.989938,17.864979,0.011296,0.151850,0.074037,-57.778511,3.145698
0.050000,10.977306,17.864895,0.023928,0.252635,2.015707,38.833392,3.150885
0.050000,10.959670,17.864667,0.041566,0.352763,2.002548,-0.263178,3.158187
0.050000,10.937075,17.864185,0.064166,0.451999,1.984721,-0.356548,3.167643
0.050000,10.909582,17.863309,0.091673,0.550144,1.962899,-0.436437,3.179303
0.050000,10.877262,17.861864,0.124026,0.647047,1.938062,-0.496731,3.193220
0.050000,10.840197,17.859648,0.161157,0.742626,1.911580,-0.529650,3.209452
0.050000,10.798476,17.856424,0.203001,0.836891,1.885307,-0.525447,3.228058
0.050000,10.752196,17.851923,0.249500,0.929976,1.861690,-0.472344,3.249090
0.050000,10.701450,17.845844,0.300609,1.022168,1.843853,-0.356743,3.272586
0.050000,10.646329,17.837854,0.356306,1.113951,1.835652,-0.164013,3.298565
0.050000,10.586909,17.827582,0.416608,1.206034,1.841653,0.120005,3.327013
0.050000,10.523245,17.814621,0.481577,1.299382,1.866977,0.506488,3.357875
0.050000,10.455367,17.798522,0.551339,1.395232,1.916985,1.000168,3.391040
0.050000,10.383265,17.778790,0.626092,1.495069,1.996744,1.595170,3.426333
0.050000,10.306890,17.754881,0.706121,1.600584,2.110294,2.270995,3.463504
0.050000,10.226156,17.726197,0.791800,1.713573,2.259796,2.990049,3.502222
0.050000,10.140938,17.692089,0.883590,1.835809,2.444718,3.698431,3.542082
0.050000,10.051088,17.651862,0.982034,1.968874,2.661286,4.331364,3.582605
0.050000,9.956451,17.604785,1.087734,2.113996,2.902456,4.823407,3.623261
0.050000,9.856874,17.550117,1.201330,2.271923,3.158536,5.121586,3.663486
0.050000,9.752228,17.487126,1.323472,2.442844,3.418425,5.197793,3.702708
0.050000,9.642407,17.415123,1.454793,2.626406,3.671239,5.056271,3.740370
0.050000,9.527329,17.333493,1.595883,2.821802,3.907911,4.733452,3.775950
0.050000,9.406924,17.241714,1.747279,3.027923,4.122426,4.290291,3.808977
0.050000,9.281110,17.139380,1.909456,3.243545,4.312428,3.800046,3.839033
0.050000,9.152164,17.028323,2.079634,3.403561,3.200324,-22.242083,3.865303
0.050000,9.022364,16.910960,2.254626,3.499846,1.925708,-25.492321,3.887333
0.050000,8.891558,16.787853,2.434252,3.592511,1.853285,-1.448469,3.905282
0.050000,8.759533,16.659563,2.618341,3.681787,1.785526,-1.355182,3.919299
0.050000,8.626008,16.526639,2.806750,3.768165,1.727557,-1.159370,3.929512
0.050000,8.490641,16.389613,2.999365,3.852300,1.682714,-0.896865,3.936018
0.050000,8.353025,16.249002,3.196112,3.934952,1.653041,-0.593445,3.938883
0.050000,8.212694,16.105313,3.396959,4.016936,1.639671,-0.267403,3.938137
0.050000,8.069117,15.959052,3.601913,4.099089,1.643057,0.067716,3.933772
0.050000,7.921706,15.810736,3.811026,4.182243,1.663079,0.400432,3.925743
0.050000,7.769810,15.660903,4.024385,4.267194,1.699015,0.718732,3.913971
0.050000,7.612721,15.510136,4.242118,4.354663,1.749388,1.007447,3.898346
0.050000,7.449678,15.359081,4.464381,4.445246,1.811665,1.245541,3.878728
0.050000,7.279878,15.208475,4.691348,4.539338,1.881835,1.403403,3.854964
0.050000,7.102496,15.059174,4.923199,4.637031,1.953862,1.440536,3.826894
0.050000,6.916715,14.912182,5.160098,4.737986,2.019092,1.304614,3.794375
0.050000,6.721773,14.768681,5.402162,4.841274,2.065772,0.933595,3.757302
0.050000,6.517031,14.630050,5.649423,4.945221,2.078942,0.263397,3.715646
0.050000,6.302052,14.497870,5.901787,5.047278,2.041130,-0.756231,3.669491
0.050000,6.076703,14.373896,6.158987,5.143993,1.934299,-2.136636,3.619071
0.050000,5.841249,14.259992,6.420545,5.231158,1.743312,-3.819734,3.564807
0.050000,5.596426,14.158023,6.685754,5.304190,1.460635,-5.653533,3.507321
0.050000,5.343463,14.069705,6.953691,5.358741,1.091022,-7.392264,3.447429
0.050000,5.084037,13.996445,7.223264,5.391448,0.654141,-8.737629,3.386095
0.050000,4.820144,13.939197,7.493294,5.400605,0.183140,-9.420015,3.324356
0.050000,4.553928,13.898381,7.762621,5.386536,-0.281376,-9.290327,3.263238
0.050000,4.287477,13.873869,8.030197,5.351527,-0.700182,-8.376119,3.203665
0.050000,4.022657,13.865054,8.295164,5.299344,-1.043673,-6.869821,3.146393
0.050000,4.187882,16.134597,10.570713,45.510979,804.232708,16105.527637,6.278652
0.050000,4.395471,16.132992,10.778308,4.151900,-827.181583,-32628.285836,6.271960
0.050000,4.605131,16.129774,10.987993,4.193704,0.836087,16560.353400,6.263426
0.050000,4.816890,16.124518,11.199817,4.236467,0.855258,0.383434,6.253008
0.050000,5.030767,16.116772,11.413834,4.280352,0.877688,0.448595,6.240657
0.050000,5.246776,16.106061,11.630109,4.325492,0.902805,0.502340,6.226316
0.050000,5.464915,16.091883,11.848708,4.371983,0.929825,0.540398,6.209927
0.050000,5.685160,16.073706,12.069702,4.419868,0.957695,0.557402,6.191428
0.050000,5.907456,16.050969,12.293158,4.469120,0.985036,0.546822,6.170759
0.050000,6.131710,16.023084,12.519139,4.519624,1.010087,0.501016,6.147863
0.050000,6.357778,15.989440,12.747697,4.571157,1.030662,0.411493,6.122697
0.050000,6.585453,15.949407,12.978865,4.623364,1.044136,0.269491,6.095229
0.050000,6.814455,15.902347,13.212652,4.675738,1.047484,0.066949,6.065454
0.050000,7.042135,15.848210,13.446679,4.680556,0.096362,-19.022431,6.033720
0.050000,7.263754,15.787880,13.676363,4.593674,-1.737641,-36.680054,6.000806
0.050000,7.476809,15.722206,13.899311,4.458947,-2.694536,-19.137906,5.967300
0.050000,7.680813,15.651721,14.115148,4.316758,-2.843790,-2.985087,5.933532
0.050000,7.875341,15.577070,14.323508,4.167192,-2.991319,-2.950585,5.899827
0.050000,8.060043,15.498989,14.524036,4.010560,-3.132646,-2.826539,5.866496
0.050000,8.234660,15.418277,14.716405,3.847375,-3.263685,-2.620778,5.833828
0.050000,8.399032,15.335773,14.900321,3.678319,-3.381125,-2.348787,5.802081
0.050000,8.553096,15.252330,15.075530,3.504185,-3.482677,-2.031046,5.771481
0.050000,8.696881,15.168792,15.241821,3.325827,-3.567172,-1.689902,5.742212
