dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.995248,20.134998,0.003704,0.148148,2.962963,59.259259,3.142598
0.050000,10.980618,20.134960,0.018333,0.292594,2.888922,-1.480818,3.145698
0.050000,10.956214,20.134797,0.042739,0.488105,3.910206,20.425674,3.150885
0.050000,10.922003,20.134354,0.076952,0.684272,3.923348,0.262854,3.158187
0.050000,10.877946,20.133415,0.121019,0.881330,3.941152,0.356070,3.167643
0.050000,10.824000,20.131695,0.174993,1.079477,3.962942,0.435794,3.179303
0.050000,10.760120,20.128840,0.238936,1.278864,3.987738,0.495917,3.193220
0.050000,10.686274,20.124424,0.312914,1.479572,4.014169,0.528630,3.209452
0.050000,10.602444,20.117943,0.396994,1.681591,4.040380,0.524218,3.228058
0.050000,10.508648,20.108820,0.491233,1.884787,4.063925,0.470895,3.249090
0.050000,10.404946,20.096396,0.595677,2.088871,4.081679,0.355091,3.272586
0.050000,10.291464,20.079945,0.710345,2.293361,4.089788,0.162183,3.298565
0.050000,10.168412,20.058672,0.835222,2.497545,4.083692,-0.121933,3.327013
0.050000,10.036103,20.031735,0.970245,2.700459,4.058272,-0.508398,3.357875
0.050000,9.894975,19.998263,1.115288,2.900868,4.008177,-1.001894,3.391040
0.050000,9.745602,19.957388,1.270153,3.097285,3.928353,-1.596488,3.426333
0.050000,9.588708,19.908277,1.434554,3.288024,3.814770,-2.271652,3.463504
0.050000,9.425156,19.850179,1.608118,3.471288,3.665281,-2.989789,3.502222
0.050000,9.255936,19.782465,1.790384,3.645309,3.480428,-3.697047,3.542082
0.050000,9.082127,19.704668,1.980809,3.808509,3.263991,-4.328754,3.582605
0.050000,8.904854,19.616512,2.178792,3.959659,3.023010,-4.819621,3.623261
0.050000,8.725228,19.517927,2.383693,4.098018,2.767167,-5.116844,3.663486
0.050000,8.544291,19.409049,2.594863,4.223395,2.507544,-5.192464,3.702708
0.050000,8.362961,19.290201,2.811670,4.336145,2.255003,-5.050815,3.740370
0.050000,8.181991,19.161870,3.033524,4.437074,2.018587,-4.728337,3.775950
0.050000,8.001944,19.024670,3.259888,4.527289,1.804290,-4.285921,3.808977
0.050000,7.823185,18.879309,3.490289,4.608012,1.614455,-3.796711,3.839033
0.050000,7.649039,18.729356,3.720099,4.596209,-0.236051,-37.010128,3.865303
0.050000,7.482132,18.578469,3.945099,4.499992,-1.924343,-33.765825,3.887333
0.050000,7.321646,18.427449,4.165468,4.407382,-1.852197,1.442914,3.905282
0.050000,7.166794,18.276994,4.381375,4.318148,-1.784688,1.350186,3.919299
0.050000,7.016835,18.127720,4.592965,4.231800,-1.726943,1.154903,3.929512
0.050000,6.871085,17.980190,4.800350,4.147685,-1.682301,0.892836,3.936018
0.050000,6.728918,17.834932,5.003602,4.065045,-1.652814,0.589734,3.938883
0.050000,6.589770,17.692454,5.202755,3.983064,-1.639620,0.263874,3.938137
0.050000,6.453137,17.553263,5.397800,3.900905,-1.643180,-0.071202,3.933772
0.050000,6.318577,17.417870,5.588687,3.817736,-1.663381,-0.404019,3.925743
0.050000,6.185711,17.286796,5.775325,3.732760,-1.699509,-0.722559,3.913971
0.050000,6.054220,17.160583,5.957588,3.645256,-1.750092,-1.011644,3.898346
0.050000,5.923852,17.039782,6.135319,3.554625,-1.812602,-1.250219,3.878728
0.050000,5.794420,16.924959,6.308343,3.460474,-1.883034,-1.408631,3.854964
0.050000,5.665798,16.816673,6.476478,3.362706,-1.955350,-1.446310,3.826894
0.050000,5.537920,16.715464,6.639561,3.261662,-2.020890,-1.310808,3.794375
0.050000,5.410763,16.621828,6.797474,3.158268,-2.067885,-0.939900,3.757302
0.050000,5.284329,16.536184,6.950184,3.054200,-2.081348,-0.269260,3.715646
0.050000,5.158610,16.458850,7.097785,2.952012,-2.043766,0.751641,3.669491
0.050000,5.033545,16.390012,7.240543,2.855160,-1.937046,2.134393,3.619071
0.050000,4.908976,16.329719,7.378936,2.767860,-1.745997,3.820984,3.564807
0.050000,4.784607,16.277894,7.513671,2.694708,-1.463037,5.659192,3.507321
0.050000,4.659986,16.234367,7.645675,2.640062,-1.092907,7.402607,3.447429
0.050000,4.534530,16.198931,7.776039,2.607297,-0.655308,8.751986,3.386095
0.050000,4.407577,16.171391,7.905946,2.598124,-0.183471,9.436734,3.324356
