dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.799394,14.305736,0.003704,0.148148,2.962963,59.259259,2.356935
0.050000,9.789704,14.315390,0.017381,0.273549,2.508010,-9.099069,2.359196
0.050000,9.773499,14.331437,0.040188,0.456130,3.651636,22.872539,2.362974
0.050000,9.750694,14.353816,0.072139,0.639031,3.658001,0.127301,2.368283
0.050000,9.721171,14.382437,0.113257,0.822364,3.666670,0.173364,2.375142
0.050000,9.684781,14.417179,0.163569,1.006233,3.677378,0.214159,2.383575
0.050000,9.641341,14.457892,0.223105,1.190721,3.689758,0.247599,2.393608
0.050000,9.590639,14.504389,0.291899,1.375887,3.703316,0.271166,2.405273
0.050000,9.532432,14.556443,0.369987,1.561757,3.717408,0.281840,2.418599
0.050000,9.466454,14.613787,0.457403,1.748317,3.731210,0.276051,2.433618
0.050000,9.392412,14.676103,0.554178,1.935502,3.743694,0.249679,2.450357
0.050000,9.309999,14.743020,0.660337,2.123182,3.753601,0.198130,2.468837
0.050000,9.218898,14.814112,0.775895,2.311154,3.759427,0.116527,2.489073
0.050000,9.118785,14.888889,0.900851,2.499125,3.759429,0.000044,2.511063
0.050000,9.009349,14.966797,1.035187,2.686708,3.751651,-0.155573,2.534791
0.050000,8.890295,15.047218,1.178857,2.873407,3.733986,-0.353293,2.560217
0.050000,8.761365,15.129466,1.331788,3.058621,3.704291,-0.593908,2.587278
0.050000,8.622346,15.212799,1.493870,3.241648,3.660539,-0.875035,2.615875
0.050000,8.473090,15.296423,1.664955,3.421700,3.601029,-1.190199,2.645879
0.050000,8.313528,15.379505,1.844852,3.597931,3.524619,-1.528192,2.677121
0.050000,8.143678,15.461195,2.033326,3.769479,3.430968,-1.873027,2.709394
0.050000,7.963653,15.540642,2.230102,3.935516,3.320732,-2.204729,2.742457
0.050000,7.773668,15.617026,2.434867,4.095300,3.195676,-2.501107,2.776032
0.050000,7.574031,15.689576,2.647278,4.248232,3.058657,-2.740389,2.809818
0.050000,7.365133,15.757604,2.866974,4.393904,2.913439,-2.904353,2.843496
0.050000,7.147437,15.820521,3.093580,4.532123,2.764374,-2.981299,2.876736
0.050000,6.921450,15.877856,3.326726,4.662921,2.615966,-2.968161,2.909212
0.050000,6.691951,15.928405,3.561726,4.700003,0.741628,-37.486758,2.940057
0.050000,6.463618,15.971631,3.794114,4.647770,-1.044661,-35.725790,2.968600
0.050000,6.236772,16.008171,4.023885,4.595412,-1.047152,-0.049812,2.994836
0.050000,6.011651,16.038661,4.251061,4.543512,-1.037995,0.183131,3.018784
0.050000,5.788429,16.063720,4.475685,4.492494,-1.020375,0.352415,3.040483
