dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.997422,13.502576,0.003704,0.148148,2.962963,59.259259,2.356935
0.050000,8.989551,13.510418,0.014815,0.296296,2.962963,0.000000,2.359196
0.050000,8.976392,13.523448,0.033333,0.444444,2.962963,0.000000,2.362974
0.050000,8.957888,13.541607,0.059259,0.592593,2.962963,0.000000,2.368283
0.050000,8.933955,13.564809,0.092593,0.740741,2.962963,0.000000,2.375142
0.050000,8.904487,13.592942,0.133333,0.888889,2.962963,0.000000,2.383575
0.050000,8.869357,13.625867,0.181481,1.037037,2.962963,0.000000,2.393608
0.050000,8.828412,13.663416,0.237037,1.185185,2.962963,0.000000,2.405273
0.050000,8.781480,13.705388,0.300000,1.333333,2.962963,0.000000,2.418599
0.050000,8.728367,13.751550,0.370370,1.481481,2.962963,0.000000,2.433618
0.050000,8.668861,13.801632,0.448148,1.629630,2.962963,0.000000,2.450357
0.050000,8.602732,13.855328,0.533333,1.777778,2.962963,0.000000,2.468837
0.050000,8.529736,13.912291,0.625926,1.925926,2.962963,0.000000,2.489073
0.050000,8.449620,13.972132,0.725926,2.074074,2.962963,0.000000,2.511063
0.050000,8.362123,14.034422,0.833333,2.222222,2.962963,0.000000,2.534791
0.050000,8.266983,14.098689,0.948148,2.370370,2.962963,-0.000000,2.560217
0.050000,8.163945,14.164420,1.070370,2.518519,2.962963,0.000000,2.587278
0.050000,8.052765,14.231065,1.200000,2.666667,2.962963,-0.000000,2.615875
0.050000,7.933217,14.298043,1.337037,2.814815,2.962963,0.000000,2.645879
0.050000,7.805105,14.364749,1.481481,2.962963,2.962963,-0.000000,2.677121
0.050000,7.668262,14.430561,1.633333,3.111111,2.962963,0.000000,2.709394
0.050000,7.522567,14.494857,1.792593,3.259259,2.962963,-0.000000,2.742457
0.050000,7.367936,14.557023,1.959259,3.407407,2.962963,0.000000,2.776032
0.050000,7.204337,14.616473,2.133333,3.555556,2.962963,-0.000000,2.809818
0.050000,7.031782,14.672661,2.314815,3.703704,2.962963,0.000000,2.843496
0.050000,6.850327,14.725098,2.503704,3.851852,2.962963,-0.000000,2.876736
0.050000,6.660066,14.773364,2.700000,4.000000,2.962963,0.000000,2.909212
0.050000,6.464754,14.816377,2.900000,4.000000,0.000000,-59.259259,2.940057
0.050000,6.268250,14.853572,3.100000,4.000000,0.000000,0.000000,2.968600
0.050000,6.070800,14.885372,3.300000,4.000000,0.000000,0.000000,2.994836
0.050000,5.872613,14.912209,3.500000,4.000000,0.000000,0.000000,3.018784
0.050000,5.673865,14.934517,3.700000,4.000000,0.000000,0.000000,3.040483
0.050000,5.474699,14.952727,3.900000,4.000000,0.000000,0.000000,3.059986
0.050000,5.275231,14.967263,4.100000,4.000000,0.000000,0.000000,3.077350
0.050000,5.075551,14.978543,4.300000,4.000000,0.000000,0.000000,3.092637
0.050000,4.875730,14.986971,4.500000,4.000000,0.000000,0.000000,3.105908
0.050000,4.675821,14.992944,4.700000,4.000000,0.000000,0.000000,3.117219
0.050000,4.475859,14.996847,4.900000,4.000000,0.000000,0.000000,3.126625
0.050000,4.275872,14.999055,5.100000,4.000000,0.000000,0.000000,3.134170
0.050000,4.075874,14.999937,5.300000,4.000000,0.000000,0.000000,3.139892
0.050000,4.124008,15.002163,5.500000,4.000000,0.000000,0.000000,0.035066
0.050000,4.323568,15.014986,5.700000,4.000000,0.000000,0.000000,0.093649
0.050000,4.522007,15.039674,5.900000,4.000000,0.000000,0.000000,0.154154
0.050000,4.718567,15.076436,6.100000,4.000000,0.000000,0.000000,0.215726
0.050000,4.912487,15.125248,6.300000,4.000000,0.000000,0.000000,0.277379
0.050000,5.103055,15.185840,6.500000,4.000000,0.000000,0.000000,0.338070
0.050000,5.289664,15.257711,6.700000,4.000000,0.000000,0.000000,0.396788
0.050000,5.471850,15.340162,6.900000,4.000000,0.000000,0.000000,0.452643
0.050000,5.649311,15.432349,7.100000,4.000000,0.000000,0.000000,0.504919
0.050000,5.821920,15.533336,7.300000,4.000000,0.000000,0.000000,0.553101
0.050000,5.989705,15.642155,7.500000,4.000000,0.000000,0.000000,0.596871
0.050000,6.152835,15.757843,7.700000,4.000000,0.000000,0.000000,0.636081
0.050000,6.311585,15.879475,7.900000,4.000000,0.000000,0.000000,0.670713
0.050000,6.466318,16.006182,8.100000,4.000000,0.000000,0.000000,0.700839
0.050000,6.617454,16.137162,8.300000,4.000000,0.000000,0.000000,0.726590
0.050000,6.765455,16.271677,8.500000,4.000000,0.000000,0.000000,0.748119
0.050000,6.910808,16.409051,8.700000,4.000000,0.000000,0.000000,0.765586
0.050000,7.054014,16.548661,8.900000,4.000000,0.000000,0.000000,0.779138
0.050000,7.195586,16.689931,9.100000,4.000000,0.000000,0.000000,0.788899
0.050000,7.336037,16.832316,9.300000,4.000000,0.000000,0.000000,0.794963
0.050000,7.475883,16.975295,9.500000,4.000000,0.000000,0.000000,0.797392
0.050000,7.615639,17.118362,9.700000,4.000000,0.000000,0.000000,0.796211
0.050000,7.755823,17.261010,9.900000,4.000000,0.000000,0.000000,0.791406
0.050000,7.896949,17.402725,10.100000,4.000000,0.000000,0.000000,0.782931
0.050000,8.039534,17.542972,10.300000,4.000000,0.000000,0.000000,0.770701
0.050000,8.184088,17.681186,10.500000,4.000000,0.000000,0.000000,0.754601
0.050000,8.331119,17.816761,10.700000,4.000000,0.000000,0.000000,0.734492
0.050000,8.481119,17.949042,10.900000,4.000000,0.000000,0.000000,0.710217
0.050000,8.633022,18.076064,11.098020,3.920802,-1.583965,-31.679293,0.681922
0.050000,8.784198,18.194959,11.290356,3.772654,-2.962963,-27.579966,0.650251
0.050000,8.933251,18.304406,11.475285,3.624505,-2.962963,0.000000,0.615825
0.050000,9.079982,18.404307,11.652807,3.476357,-2.962963,-0.000000,0.579090
0.050000,9.224095,18.494677,11.822921,3.328209,-2.962963,0.000000,0.540547
0.050000,9.365215,18.575640,11.985628,3.180061,-2.962963,-0.000000,0.500735
0.050000,9.502907,18.647443,12.140927,3.031913,-2.962963,0.000000,0.460224
0.050000,9.636700,18.710439,12.288819,2.883765,-2.962963,-0.000000,0.419583
0.050000,9.766108,18.765090,12.429304,2.735617,-2.962963,0.000000,0.379362
0.050000,9.890656,18.811942,12.562381,2.587468,-2.962963,-0.000000,0.340065
0.050000,10.009893,18.851609,12.688051,2.439320,-2.962963,0.000000,0.302133
0.050000,10.123410,18.884751,12.806313,2.291172,-2.962963,-0.000000,0.265934
0.050000,10.230845,18.912053,12.917168,2.143024,-2.962963,0.000000,0.231754
0.050000,10.331889,18.934200,13.020615,1.994876,-2.962963,-0.000000,0.199802
0.050000,10.426287,18.951866,13.116655,1.846728,-2.962963,0.000000,0.170219
0.050000,10.513832,18.965692,13.205288,1.698580,-2.962963,0.000000,0.143084
0.050000,10.594362,18.976280,13.286513,1.550431,-2.962963,0.000000,0.118430
0.050000,10.667753,18.984187,13.360331,1.402283,-2.962963,0.000000,0.096252
0.050000,10.733915,18.989916,13.426742,1.254135,-2.962963,0.000000,0.076520
0.050000,10.792782,18.993915,13.485745,1.105987,-2.962963,0.000000,0.059186
0.050000,10.844308,18.996580,13.537340,0.957839,-2.962963,0.000000,0.044196
0.050000,10.888464,18.998252,13.581529,0.809691,-2.962963,0.000000,0.031490
0.050000,10.925232,18.999217,13.618309,0.661543,-2.962963,0.000000,0.021012
0.050000,10.954602,18.999712,13.647683,0.513394,-2.962963,0.000000,0.012711
0.050000,10.976567,18.999923,13.669649,0.365246,-2.962963,0.000000,0.006542
0.050000,10.991125,18.999989,13.684207,0.217098,-2.962963,-0.000000,0.002473
0.050000,10.998276,19.000000,13.691359,0.068950,-2.962963,0.000000,0.000480
0.050000,11.000000,19.000000,13.693082,0.000000,-1.378998,31.679293,0.000000
0.050000,11.000000,19.000000,13.693082,0.000000,0.000000,27.579966,0.000000
