dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002540,14.635001,0.003704,0.148148,2.962963,59.259259,0.000925
0.050000,0.010392,14.635020,0.011555,0.157029,0.177619,-55.706882,0.003797
0.050000,0.023443,14.635101,0.024606,0.261024,2.079892,38.045469,0.008614
0.050000,0.041640,14.635319,0.042805,0.363978,2.059090,-0.416053,0.015422
0.050000,0.064909,14.635781,0.066079,0.465472,2.029875,-0.584287,0.024285
0.050000,0.093151,14.636622,0.094333,0.565083,1.992224,-0.753020,0.035286
0.050000,0.126242,14.638008,0.127453,0.662394,1.946210,-0.920291,0.048527
0.050000,0.164032,14.640137,0.165303,0.756999,1.892099,-1.082220,0.064126
0.050000,0.206345,14.643237,0.207729,0.848523,1.830491,-1.232157,0.082220
0.050000,0.252977,14.647564,0.254561,0.936649,1.762508,-1.359661,0.102958
0.050000,0.303699,14.653404,0.305619,1.021151,1.690048,-1.449199,0.126499
0.050000,0.358260,14.661074,0.360717,1.101956,1.616105,-1.478864,0.153006
0.050000,0.416394,14.670916,0.419677,1.179213,1.545141,-1.419271,0.182636
0.050000,0.477827,14.683303,0.482347,1.253387,1.483478,-1.233255,0.215524
0.050000,0.542296,14.698638,0.548615,1.325367,1.439602,-0.877522,0.251766
0.050000,0.609568,14.717363,0.618444,1.396579,1.424235,-0.307338,0.291397
0.050000,0.679458,14.739965,0.691898,1.469076,1.449936,0.514014,0.334360
0.050000,0.751854,14.766998,0.769176,1.545574,1.529961,1.600492,0.380478
0.050000,0.826734,14.799095,0.850646,1.629384,1.676206,2.924903,0.429430
0.050000,0.904167,14.836993,0.936856,1.724200,1.896311,4.402106,0.480729
0.050000,0.984302,14.881545,1.028542,1.833724,2.190484,5.883465,0.533729
0.050000,1.067333,14.933712,1.126601,1.961180,2.549121,7.172733,0.587640
0.050000,1.153455,14.994545,1.232041,2.108804,2.952490,8.067386,0.641572
0.050000,1.242814,15.065129,1.345914,2.277468,3.373281,8.415804,0.694601
0.050000,1.335472,15.146518,1.469242,2.466551,3.781653,8.167453,0.745826
0.050000,1.431395,15.239663,1.602948,2.674113,4.151228,7.391505,0.794434
0.050000,1.530470,15.345352,1.747813,2.897309,4.463938,6.254188,0.839736
0.050000,1.630696,15.461934,1.901555,3.074844,3.550684,-18.265082,0.880483
0.050000,1.730145,15.586935,2.061291,3.194714,2.397403,-23.065610,0.915951
0.050000,1.828828,15.719717,2.226728,3.308746,2.280648,-2.335111,0.946397
0.050000,1.926837,15.859619,2.397544,3.416312,2.151310,-2.586758,0.972106
0.050000,2.024344,16.005990,2.573419,3.517505,2.023858,-2.549028,0.993358
0.050000,2.121602,16.158217,2.754063,3.612887,1.907646,-2.324256,1.010410
0.050000,2.218938,16.315735,2.939229,3.703302,1.808307,-1.986773,1.023479
0.050000,2.316743,16.478030,3.128716,3.789752,1.728993,-1.586275,1.032740
0.050000,2.415474,16.644639,3.322382,3.873318,1.671316,-1.153554,1.038321
0.050000,2.515649,16.815146,3.520138,3.955118,1.636009,-0.706128,1.040298
0.050000,2.617847,16.989170,3.721952,4.036286,1.623359,-0.253010,1.038699
0.050000,2.722716,17.166360,3.927850,4.117958,1.633434,0.201514,1.033503
0.050000,2.830975,17.346379,4.137913,4.201266,1.666172,0.654749,1.024636
0.050000,2.943422,17.528886,4.352280,4.287332,1.721308,1.102714,1.011977
0.050000,3.060940,17.713520,4.571142,4.377240,1.798160,1.537054,0.995356
0.050000,3.184509,17.899874,4.794742,4.472001,1.895228,1.941356,0.974559
0.050000,3.315202,18.087460,5.023366,4.572479,2.009553,2.286503,0.949335
0.050000,3.454187,18.275667,5.257329,4.679269,2.135810,2.525135,0.919403
0.050000,3.602710,18.463714,5.496956,4.792525,2.265104,2.585879,0.884480
0.050000,3.762052,18.650589,5.742541,4.911704,2.383584,2.369597,0.844302
0.050000,3.933468,18.834983,5.994304,5.035263,2.471194,1.752196,0.798676
0.050000,4.118078,19.015237,6.252320,5.160327,2.501267,0.601467,0.747536
0.050000,4.316716,19.189316,6.516442,5.282432,2.442098,-1.183386,0.691010
0.050000,4.529747,19.354836,6.786218,5.395521,2.261792,-3.606116,0.629496
0.050000,4.756889,19.509179,7.060837,5.492372,1.937010,-6.495632,0.563709
0.050000,4.997080,19.649704,7.339115,5.565577,1.464100,-9.458206,0.494692
0.050000,5.248465,19.774032,7.619565,5.608981,0.868091,-11.920171,0.423760
0.050000,5.508533,19.880342,7.900522,5.619152,0.203407,-13.293687,0.352379
0.050000,5.774398,19.967590,8.180337,5.596292,-0.457201,-13.212155,0.282007
0.050000,6.043139,20.035581,8.457546,5.544182,-1.042183,-11.699647,0.213934
0.050000,6.312115,20.084895,8.731005,5.469180,-1.500049,-9.157329,0.149171
0.050000,6.579165,20.116695,8.999942,5.378734,-1.808916,-6.177336,0.088397
0.050000,6.842692,20.132501,9.263942,5.280010,-1.974487,-3.311422,0.031978
0.050000,7.078920,20.135000,9.500184,4.724831,-11.103568,-182.581608,0.000000
0.050000,7.278920,20.135000,9.700184,4.000000,-14.496629,-67.861216,0.000000
0.050000,7.478920,20.135000,9.900184,4.000000,0.000000,289.932571,0.000000
0.050000,7.678920,20.135000,10.100184,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.878920,20.135000,10.300184,4.000000,-0.000000,0.000000,0.000000
0.050000,8.078920,20.135000,10.500184,4.000000,0.000000,0.000000,0.000000
0.050000,8.278920,20.135000,10.700184,4.000000,-0.000000,-0.000000,0.000000
0.050000,8.475607,20.135000,10.896870,3.933733,-1.325335,-26.506701,0.000000
0.050000,8.665277,20.135000,11.086540,3.793392,-2.806817,-29.629630,0.000000
0.050000,8.847539,20.135000,11.268802,3.645244,-2.962963,-3.122928,0.000000
0.050000,9.022394,20.135000,11.443657,3.497096,-2.962963,0.000000,0.000000
0.050000,9.189841,20.135000,11.611104,3.348948,-2.962963,0.000000,0.000000
0.050000,9.349881,20.135000,11.771144,3.200800,-2.962963,-0.000000,0.000000
0.050000,9.502514,20.135000,11.923777,3.052652,-2.962963,-0.000000,0.000000
0.050000,9.647739,20.135000,12.069002,2.904504,-2.962963,0.000000,0.000000
0.050000,9.785556,20.135000,12.206820,2.756355,-2.962963,0.000000,0.000000
0.050000,9.915967,20.135000,12.337230,2.608207,-2.962963,-0.000000,0.000000
