dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.997530,9.135001,0.003704,0.148148,2.962963,59.259259,3.140587
0.050000,10.989938,9.135021,0.011296,0.151850,0.074037,-57.778511,3.137487
0.050000,10.977306,9.135105,0.023928,0.252635,2.015707,38.833392,3.132300
0.050000,10.959670,9.135333,0.041566,0.352763,2.002548,-0.263178,3.124998
0.050000,10.937075,9.135815,0.064166,0.451999,1.984721,-0.356548,3.115542
0.050000,10.909582,9.136691,0.091673,0.550144,1.962899,-0.436437,3.103882
0.050000,10.877262,9.138136,0.124026,0.647047,1.938062,-0.496731,3.089966
0.050000,10.840197,9.140352,0.161157,0.742626,1.911580,-0.529650,3.073733
0.050000,10.798476,9.143576,0.203001,0.836891,1.885307,-0.525447,3.055127
0.050000,10.752196,9.148077,0.249500,0.929976,1.861690,-0.472344,3.034096
0.050000,10.701450,9.154156,0.300609,1.022168,1.843853,-0.356743,3.010600
0.050000,10.646329,9.162146,0.356306,1.113951,1.835652,-0.164013,2.984621
0.050000,10.586909,9.172418,0.416608,1.206034,1.841653,0.120005,2.956172
0.050000,10.523245,9.185379,0.481577,1.299382,1.866977,0.506488,2.925310
0.050000,10.455367,9.201478,0.551339,1.395232,1.916985,1.000168,2.892145
0.050000,10.383265,9.221210,0.626092,1.495069,1.996744,1.595170,2.856852
0.050000,10.306890,9.245119,0.706121,1.600584,2.110294,2.270995,2.819682
0.050000,10.226156,9.273803,0.791800,1.713573,2.259796,2.990049,2.780963
0.050000,10.140938,9.307911,0.883590,1.835809,2.444718,3.698431,2.741104
0.050000,10.051088,9.348138,0.982034,1.968874,2.661286,4.331364,2.700580
0.050000,9.956451,9.395215,1.087734,2.113996,2.902456,4.823407,2.659924
0.050000,9.856874,9.449883,1.201330,2.271923,3.158536,5.121586,2.619699
0.050000,9.752228,9.512874,1.323472,2.442844,3.418425,5.197793,2.580477
0.050000,9.642407,9.584877,1.454793,2.626406,3.671239,5.056271,2.542816
0.050000,9.527329,9.666507,1.595883,2.821802,3.907911,4.733452,2.507235
0.050000,9.406924,9.758286,1.747279,3.027923,4.122426,4.290291,2.474208
0.050000,9.281110,9.860620,1.909456,3.243545,4.312428,3.800046,2.444152
0.050000,9.152164,9.971677,2.079634,3.403561,3.200324,-22.242083,2.417882
0.050000,9.022364,10.089040,2.254626,3.499846,1.925708,-25.492321,2.395852
0.050000,8.891558,10.212147,2.434252,3.592511,1.853285,-1.448469,2.377903
0.050000,8.759533,10.340437,2.618341,3.681787,1.785526,-1.355182,2.363886
0.050000,8.626008,10.473361,2.806750,3.768165,1.727557,-1.159370,2.353674
0.050000,8.490641,10.610387,2.999365,3.852300,1.682714,-0.896865,2.347167
0.050000,8.353025,10.750998,3.196112,3.934952,1.653041,-0.593445,2.344302
0.050000,8.212694,10.894687,3.396959,4.016936,1.639671,-0.267403,2.345048
0.050000,8.069117,11.040948,3.601913,4.099089,1.643057,0.067716,2.349413
0.050000,7.921706,11.189264,3.811026,4.182243,1.663079,0.400432,2.357442
