dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.799394,12.694264,0.003704,0.148148,2.962963,59.259259,3.926250
0.050000,9.789704,12.684610,0.017381,0.273549,2.508010,-9.099069,3.923989
0.050000,9.773499,12.668563,0.040188,0.456130,3.651636,22.872539,3.920211
0.050000,9.750694,12.646184,0.072139,0.639031,3.658001,0.127301,3.914902
0.050000,9.721171,12.617563,0.113257,0.822364,3.666670,0.173364,3.908043
0.050000,9.684781,12.582821,0.163569,1.006233,3.677378,0.214159,3.899611
0.050000,9.641341,12.542108,0.223105,1.190721,3.689758,0.247599,3.889577
0.050000,9.590639,12.495611,0.291899,1.375887,3.703316,0.271166,3.877912
0.050000,9.532432,12.443557,0.369987,1.561757,3.717408,0.281840,3.864586
0.050000,9.466454,12.386213,0.457403,1.748317,3.731210,0.276051,3.849567
0.050000,9.392412,12.323897,0.554178,1.935502,3.743694,0.249679,3.832829
0.050000,9.309999,12.256980,0.660337,2.123182,3.753601,0.198130,3.814348
0.050000,9.218898,12.185888,0.775895,2.311154,3.759427,0.116527,3.794113
0.050000,9.118785,12.111111,0.900851,2.499125,3.759429,0.000044,3.772123
0.050000,9.009349,12.033203,1.035187,2.686708,3.751651,-0.155573,3.748395
0.050000,8.890295,11.952782,1.178857,2.873407,3.733986,-0.353293,3.722968
0.050000,8.761365,11.870534,1.331788,3.058621,3.704291,-0.593908,3.695908
0.050000,8.622346,11.787201,1.493870,3.241648,3.660539,-0.875035,3.667310
0.050000,8.473090,11.703577,1.664955,3.421700,3.601029,-1.190199,3.637306
0.050000,8.313528,11.620495,1.844852,3.597931,3.524619,-1.528192,3.606064
0.050000,8.143678,11.538805,2.033326,3.769479,3.430968,-1.873027,3.573791
0.050000,7.963653,11.459358,2.230102,3.935516,3.320732,-2.204729,3.540729
0.050000,7.773668,11.382974,2.434867,4.095300,3.195676,-2.501107,3.507154
0.050000,7.574031,11.310424,2.647278,4.248232,3.058657,-2.740389,3.473367
0.050000,7.365133,11.242396,2.866974,4.393904,2.913439,-2.904353,3.439689
0.050000,7.147437,11.179479,3.093580,4.532123,2.764374,-2.981299,3.406449
0.050000,6.921450,11.122144,3.326726,4.662921,2.615966,-2.968161,3.373973
0.050000,6.691951,11.071595,3.561726,4.700003,0.741628,-37.486758,3.343128
0.050000,6.463618,11.028369,3.794114,4.647770,-1.044661,-35.725790,3.314585
0.050000,6.236772,10.991829,4.023885,4.595412,-1.047152,-0.049812,3.288350
0.050000,6.011651,10.961339,4.251061,4.543512,-1.037995,0.183131,3.264401
0.050000,5.788429,10.936280,4.475685,4.492494,-1.020375,0.352415,3.242702
0.050000,5.567220,10.916051,4.697817,4.442638,-0.997110,0.465301,3.223199
0.050000,5.348096,10.900078,4.917523,4.394109,-0.970591,0.530374,3.205835
0.050000,5.131094,10.887817,5.134871,4.346970,-0.942773,0.556347,3.190548
0.050000,4.916224,10.878751,5.349932,4.301210,-0.915208,0.551306,3.177278
0.050000,4.703481,10.872393,5.562769,4.256755,-0.889092,0.522314,3.165966
0.050000,4.492847,10.868281,5.773444,4.213489,-0.865328,0.475279,3.156560
0.050000,4.284297,10.865976,5.982007,4.171260,-0.844580,0.414967,3.149016
0.050000,4.077804,10.865065,6.188502,4.129893,-0.827324,0.345124,3.143293
0.050000,4.163799,13.132139,8.457206,45.374094,824.884019,16514.226865,6.248120
0.050000,4.429704,13.115040,8.723661,5.329087,-800.900154,-32515.683471,6.189536
0.050000,4.696279,13.081867,8.992292,5.372630,0.870865,16035.420379,6.129032
0.050000,4.961522,13.032256,9.262134,5.396844,0.484275,-7.731790,6.067459
0.050000,5.223291,12.966368,9.532068,5.398673,0.036597,-8.953558,6.005806
0.050000,5.479497,12.884915,9.800910,5.376845,-0.436568,-9.463302,5.945116
0.050000,5.728294,12.789107,10.067517,5.332140,-0.894109,-9.150827,5.886397
0.050000,5.968235,12.680537,10.330878,5.267219,-1.298417,-8.086150,5.830542
0.050000,6.198351,12.561019,10.590181,5.186065,-1.623071,-6.493084,5.778267
0.050000,6.418167,12.432435,10.844843,5.093241,-1.856486,-4.668312,5.730085
0.050000,6.627640,12.296601,11.094503,4.993192,-2.000985,-2.889974,5.686314
0.050000,6.827079,12.155185,11.338991,4.889752,-2.068785,-1.356004,5.647104
0.050000,7.017038,12.009660,11.578285,4.785898,-2.077096,-0.166209,5.612473
0.050000,7.198234,11.861300,11.812470,4.683698,-2.043985,0.662212,5.582346
0.050000,7.371463,11.711187,12.041691,4.584412,-1.985735,1.165001,5.556595
0.050000,7.537552,11.560244,12.266123,4.488631,-1.915618,1.402344,5.535066
0.050000,7.697317,11.409257,12.485945,4.396446,-1.843686,1.438633,5.517599
0.050000,7.851541,11.258913,12.701324,4.307590,-1.777123,1.331255,5.504047
0.050000,8.000957,11.109821,12.912402,4.221550,-1.720812,1.126238,5.494287
0.050000,8.146243,10.962537,13.119285,4.137654,-1.677910,0.858029,5.488222
0.050000,8.288017,10.817587,13.322041,4.055137,-1.650344,0.551332,5.485793
0.050000,8.426836,10.675480,13.520700,3.973179,-1.639158,0.223707,5.486975
0.050000,8.563196,10.536719,13.715247,3.890942,-1.644743,-0.111692,5.491779
0.050000,8.697533,10.401819,13.905627,3.807596,-1.666916,-0.443462,5.500254
0.050000,8.830218,10.271303,14.091745,3.722352,-1.704883,-0.759345,5.512485
0.050000,8.961561,10.145713,14.273470,3.634499,-1.757063,-1.043599,5.528584
0.050000,9.091807,10.025603,14.450643,3.543460,-1.820777,-1.274274,5.548693
0.050000,9.221136,9.911539,14.623086,3.448870,-1.891802,-1.420509,5.572969
0.050000,9.348397,9.805108,14.788986,3.318002,-2.617348,-14.510923,5.601263
0.050000,9.471312,9.708424,14.945370,3.127669,-3.806670,-23.786424,5.632934
0.050000,9.588864,9.622092,15.091218,2.916961,-4.214156,-8.149728,5.667360
0.050000,9.701125,9.545643,15.227038,2.716403,-4.011161,4.059899,5.704095
0.050000,9.808172,9.478504,15.353397,2.527180,-3.784460,4.534017,5.742639
0.050000,9.910095,9.420015,15.470910,2.350261,-3.538382,4.921555,5.782450
0.050000,10.007016,9.369464,15.580222,2.186227,-3.280671,5.154222,5.822962
0.050000,10.099075,9.326110,15.681979,2.035151,-3.021531,5.182804,5.863602
0.050000,10.186430,9.289213,15.776806,1.896543,-2.772159,4.987442,5.903824
0.050000,10.269233,9.258060,15.865276,1.769389,-2.543083,4.581522,5.943121
0.050000,10.347621,9.231980,15.947888,1.652254,-2.342703,4.007607,5.981052
0.050000,10.421700,9.210351,16.025060,1.543436,-2.176358,3.326892,6.017251
0.050000,10.491537,9.192603,16.097117,1.441133,-2.046063,2.605898,6.051432
0.050000,10.557158,9.178220,16.164296,1.343591,-1.950835,1.904557,6.083383
0.050000,10.618554,9.166731,16.226757,1.249220,-1.887413,1.268445,6.112966
0.050000,10.675679,9.157710,16.284590,1.156664,-1.851116,0.725933,6.140101
0.050000,10.728466,9.150769,16.337832,1.064832,-1.836650,0.289324,6.164755
0.050000,10.776831,9.145559,16.386477,0.972895,-1.838732,-0.041640,6.186933
0.050000,10.820681,9.141763,16.430490,0.880270,-1.852511,-0.275579,6.206665
0.050000,10.859919,9.139097,16.469819,0.786580,-1.873791,-0.425597,6.223999
0.050000,10.894454,9.137311,16.504401,0.691625,-1.899108,-0.506333,6.238989
0.050000,10.924200,9.136186,16.534168,0.595339,-1.925707,-0.531985,6.251695
0.050000,10.949080,9.135533,16.559056,0.497766,-1.951469,-0.515246,6.262173
0.050000,10.969028,9.135196,16.579007,0.399025,-1.974809,-0.466803,6.270474
0.050000,10.983992,9.135052,16.593972,0.299297,-1.994576,-0.395333,6.276643
0.050000,10.993932,9.135007,16.603912,0.198799,-2.009961,-0.307702,6.280712
0.050000,10.998821,9.135000,16.608801,0.097777,-2.020424,-0.209266,6.282705
0.050000,11.000000,9.135000,16.609980,0.023581,-1.483923,10.730019,6.283185
0.050000,11.000000,9.135000,16.609980,0.000000,-0.471624,20.245993,6.283185
