dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.195451,14.300584,0.003704,0.148148,2.962963,59.259259,3.926250
0.050000,8.189397,14.294554,0.012248,0.170896,0.454952,-50.160229,3.923989
0.050000,8.179286,14.284540,0.026479,0.284610,2.274283,36.386622,3.920211
0.050000,8.165082,14.270602,0.046379,0.398005,2.267909,-0.127475,3.914902
0.050000,8.146738,14.252819,0.071928,0.510967,2.259228,-0.173611,3.908043
0.050000,8.124194,14.231295,0.103097,0.623392,2.248504,-0.214487,3.899611
0.050000,8.097372,14.206158,0.139857,0.735197,2.236103,-0.248012,3.889577
0.050000,8.066185,14.177557,0.182173,0.846323,2.222520,-0.271673,3.877912
0.050000,8.030527,14.145667,0.230010,0.956743,2.208397,-0.282448,3.864586
0.050000,7.990281,14.110688,0.283334,1.066471,2.194559,-0.276764,3.849567
0.050000,7.945310,14.072838,0.342113,1.175573,2.182034,-0.250498,3.832829
0.050000,7.895464,14.032364,0.406321,1.284177,2.172082,-0.199051,3.814348
0.050000,7.840575,13.989530,0.475946,1.392487,2.166205,-0.117539,3.794113
0.050000,7.780455,13.944624,0.550985,1.500794,2.166148,-0.001126,3.772123
0.050000,7.714897,13.897953,0.631460,1.609488,2.173871,0.154457,3.748395
0.050000,7.643671,13.849840,0.717413,1.719062,2.191481,0.352198,3.722968
0.050000,7.566526,13.800627,0.808919,1.830118,2.221126,0.592900,3.695908
0.050000,7.483184,13.750669,0.906087,1.943360,2.264836,0.874204,3.667310
0.050000,7.393344,13.700336,1.009066,2.059576,2.324318,1.189642,3.637306
0.050000,7.296681,13.650007,1.118046,2.179612,2.400719,1.528012,3.606064
0.050000,7.192847,13.600072,1.233263,2.304331,2.494385,1.873320,3.573791
0.050000,7.081480,13.550929,1.354991,2.434564,2.604663,2.205568,3.540729
0.050000,6.962204,13.502981,1.483544,2.571054,2.729790,2.502525,3.507154
0.050000,6.834644,13.456631,1.619264,2.714399,2.866908,2.742369,3.473367
0.050000,6.698431,13.412282,1.762514,2.865012,3.012249,2.906823,3.439689
0.050000,6.553217,13.370324,1.913668,3.023085,3.161456,2.984133,3.406449
0.050000,6.398681,13.331128,2.073098,3.188585,3.310016,2.971195,3.373973
0.050000,6.237556,13.295651,2.238082,3.299680,2.221893,-21.762456,3.343128
0.050000,6.072881,13.264487,2.405680,3.351959,1.045573,-23.526400,3.314585
0.050000,5.904828,13.237427,2.575898,3.404358,1.047995,0.048435,3.288350
0.050000,5.733576,13.214243,2.748712,3.456296,1.038761,-0.184681,3.264401
0.050000,5.559302,13.194687,2.924080,3.507349,1.021059,-0.354036,3.242702
0.050000,5.382179,13.178496,3.101942,3.557235,0.997713,-0.466916,3.223199
0.050000,5.202366,13.165395,3.282231,3.605791,0.971116,-0.531933,3.205835
0.050000,5.020009,13.155097,3.464879,3.652952,0.943226,-0.557817,3.190548
0.050000,4.835236,13.147306,3.649815,3.698732,0.915592,-0.552671,3.177278
0.050000,4.648160,13.141719,3.836975,3.743202,0.889413,-0.523572,3.165966
0.050000,4.458871,13.138026,4.026300,3.786482,0.865592,-0.476433,3.156560
0.050000,4.267447,13.135914,4.217736,3.828721,0.844790,-0.416028,3.149016
0.050000,4.073944,13.135061,4.411240,3.870096,0.827485,-0.346105,3.143293
0.050000,4.084216,10.863534,6.682791,45.431003,831.218153,16607.813352,6.248120
0.050000,4.217431,10.854987,6.816279,2.669769,-855.224687,-33728.856803,6.189536
0.050000,4.347735,10.838785,6.947586,2.626149,-0.872392,17087.045905,6.129032
0.050000,4.475613,10.814872,7.077681,2.601892,-0.485146,7.744914,6.067459
0.050000,4.601683,10.783136,7.207684,2.600059,-0.036664,8.969641,6.005806
0.050000,4.726613,10.743405,7.338780,2.621926,0.437354,9.480362,5.945116
0.050000,4.851035,10.695470,7.472116,2.666711,0.895681,9.166540,5.886397
0.050000,4.975464,10.639138,7.608703,2.731741,1.300606,8.098511,5.830542
0.050000,5.100271,10.574283,7.749354,2.813024,1.625653,6.500944,5.778267
0.050000,5.225672,10.500892,7.894653,2.905985,1.859230,4.671531,5.730085
0.050000,5.351770,10.419088,8.044962,3.006170,2.003691,2.889221,5.686314
0.050000,5.478591,10.329129,8.200449,3.109735,2.071309,1.352363,5.647104
0.050000,5.606133,10.231390,8.361134,3.213703,2.079350,0.160818,5.612473
0.050000,5.734403,10.126336,8.526934,3.315999,2.045930,-0.668397,5.582346
0.050000,5.863446,10.014489,8.697702,3.415367,1.987365,-1.171299,5.556595
0.050000,5.993358,9.896403,8.873263,3.511215,1.916948,-1.408340,5.535066
0.050000,6.124298,9.772641,9.053435,3.603452,1.844742,-1.444121,5.517599
0.050000,6.256488,9.643764,9.238053,3.692348,1.777933,-1.336184,5.504047
0.050000,6.390216,9.510317,9.426974,3.778419,1.721401,-1.130647,5.494287
0.050000,6.525831,9.372831,9.620090,3.862334,1.678300,-0.862013,5.488222
0.050000,6.663749,9.231822,9.817333,3.944861,1.650549,-0.555013,5.485793
0.050000,6.804443,9.087796,10.018674,4.026820,1.639188,-0.227223,5.486975
0.050000,6.948449,8.941260,10.224127,4.109050,1.644598,0.108201,5.491779
0.050000,7.096366,8.792731,10.433746,4.192380,1.666591,0.439853,5.500254
0.050000,7.248850,8.642753,10.647626,4.277598,1.704365,0.755480,5.512485
0.050000,7.406616,8.491916,10.865897,4.365415,1.756332,1.039349,5.528584
0.050000,7.570430,8.340874,11.088717,4.456405,1.819809,1.269533,5.548693
0.050000,7.741101,8.190378,11.316264,4.550934,1.890570,1.415212,5.572969
0.050000,7.917647,8.042765,11.546390,4.602535,1.032028,-17.170834,5.601263
0.050000,8.097085,7.901659,11.774664,4.565465,-0.741404,-35.468646,5.632934
0.050000,8.277638,7.769097,11.998655,4.479833,-1.712645,-19.424814,5.667360
0.050000,8.458839,7.645742,12.217858,4.384060,-1.915444,-4.055990,5.704095
0.050000,8.640019,7.532143,12.431706,4.276965,-2.141905,-4.529212,5.742639
0.050000,8.820335,7.428704,12.639585,4.157579,-2.387715,-4.916208,5.782450
0.050000,8.998799,7.335651,12.840851,4.025322,-2.645154,-5.148779,5.822962
0.050000,9.174324,7.253012,13.034857,3.880120,-2.904041,-5.177738,5.863602
0.050000,9.345786,7.180607,13.220980,3.722460,-3.153200,-4.983173,5.903824
0.050000,9.512079,7.118056,13.398648,3.553354,-3.382117,-4.578346,5.943121
0.050000,9.672165,7.064803,13.567360,3.374234,-3.582400,-4.005655,5.981052
0.050000,9.825120,7.020147,13.726700,3.186798,-3.748706,-3.326125,6.017251
0.050000,9.970153,6.983291,13.876342,2.992848,-3.879014,-2.606153,6.051432
0.050000,10.106619,6.953379,14.016049,2.794133,-3.974294,-1.905595,6.083383
0.050000,10.234020,6.929537,14.145661,2.592243,-4.037794,-1.270010,6.112966
0.050000,10.351985,6.910907,14.265088,2.388534,-4.074183,-0.727776,6.140101
0.050000,10.460257,6.896670,14.374292,2.184097,-4.088746,-0.291263,6.164755
0.050000,10.558676,6.886066,14.473280,1.979759,-4.086758,0.039757,6.186933
0.050000,10.647150,6.878405,14.562086,1.776106,-4.073066,0.273837,6.206665
0.050000,10.725645,6.873072,14.640761,1.573512,-4.051864,0.424052,6.223999
0.050000,10.794162,6.869528,14.709370,1.372182,-4.026614,0.504996,6.238989
0.050000,10.852729,6.867311,14.767979,1.172178,-4.000070,0.530876,6.251695
0.050000,10.901385,6.866034,14.816652,0.973461,-3.974354,0.514333,6.262173
0.050000,10.940175,6.865380,14.855448,0.775908,-3.951050,0.466079,6.270474
0.050000,10.969141,6.865101,14.884415,0.579343,-3.931310,0.394788,6.276643
0.050000,10.988318,6.865014,14.903592,0.383545,-3.915945,0.307302,6.280712
0.050000,10.997732,6.865001,14.913006,0.188271,-3.905494,0.209013,6.282705
0.050000,11.000000,6.865000,14.915274,0.045369,-2.858037,20.949153,6.283185
0.050000,11.000000,6.865000,14.915274,0.000000,-0.907375,39.013242,6.283185
