dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.032665,12.069999,0.003704,0.148148,2.962963,59.259259,6.282362
0.050000,0.040897,12.069982,0.011936,0.164649,0.330015,-52.658958,6.279815
0.050000,0.054605,12.069906,0.025644,0.274162,2.190266,37.205022,6.275558
0.050000,0.073769,12.069703,0.044810,0.383306,2.182870,-0.147914,6.269575
0.050000,0.098363,12.069273,0.069407,0.491951,2.172896,-0.199485,6.261844
0.050000,0.128352,12.068491,0.099406,0.599988,2.160755,-0.242817,6.252339
0.050000,0.163696,12.067200,0.134773,0.707339,2.147023,-0.274654,6.241028
0.050000,0.204346,12.065218,0.175472,0.813963,2.132469,-0.291082,6.227880
0.050000,0.250248,12.062332,0.221465,0.919868,2.118095,-0.287470,6.212863
0.050000,0.301346,12.058299,0.272721,1.025126,2.105175,-0.258411,6.195949
0.050000,0.357577,12.052848,0.329216,1.129890,2.095282,-0.197855,6.177115
0.050000,0.418879,12.045677,0.390936,1.234406,2.090315,-0.099329,6.156350
0.050000,0.485193,12.036456,0.457888,1.339031,2.092495,0.043585,6.133660
0.050000,0.556462,12.024822,0.530100,1.444247,2.104319,0.236480,6.109071
0.050000,0.632639,12.010382,0.607634,1.550671,2.128474,0.483110,6.082636
0.050000,0.713688,11.992712,0.690586,1.659054,2.167677,0.784053,6.054442
0.050000,0.799586,11.971355,0.779100,1.770276,2.224441,1.135287,6.024614
0.050000,0.890329,11.945824,0.873366,1.885316,2.300787,1.526914,5.993322
0.050000,0.985926,11.915602,0.973626,2.005211,2.397907,1.942403,5.960781
0.050000,1.086402,11.880142,1.080177,2.131004,2.515849,2.358844,5.927250
0.050000,1.191796,11.838879,1.193360,2.263667,2.653278,2.748572,5.893035
0.050000,1.302151,11.791231,1.313562,2.404037,2.807390,3.082245,5.858477
0.050000,1.417512,11.736615,1.441199,2.552739,2.974043,3.333059,5.823943
0.050000,1.537923,11.674459,1.576706,2.710145,3.148108,3.481302,5.789818
0.050000,1.663420,11.604216,1.720523,2.876345,3.324014,3.518119,5.756493
0.050000,1.794031,11.525383,1.873082,3.051165,3.496389,3.447506,5.724348
0.050000,1.929787,11.437517,2.034791,3.234199,3.660686,3.285925,5.693746
0.050000,2.068160,11.342068,2.202891,3.361994,2.555906,-22.095585,5.665521
0.050000,2.206631,11.240983,2.374334,3.428852,1.337165,-24.374835,5.640253
0.050000,2.345263,11.134631,2.549061,3.494543,1.313813,-0.467038,5.617891
0.050000,2.484142,11.023396,2.726995,3.558686,1.282863,-0.619000,5.598366
0.050000,2.623382,10.907666,2.908050,3.621104,1.248349,-0.690276,5.581603
0.050000,2.763124,10.787830,3.092139,3.681777,1.213457,-0.697843,5.567523
0.050000,2.903542,10.664270,3.279180,3.740807,1.180612,-0.656890,5.556055
0.050000,3.044835,10.537362,3.469099,3.798387,1.151603,-0.580175,5.547135
0.050000,3.187234,10.407476,3.661838,3.854773,1.127706,-0.477948,5.540709
0.050000,3.330998,10.274971,3.857351,3.910262,1.109795,-0.358221,5.536739
0.050000,3.476410,10.140204,4.055610,3.965184,1.098435,-0.227192,5.535198
0.050000,3.623783,10.003530,4.256604,4.019882,1.093949,-0.089736,5.536078
0.050000,3.773456,9.865306,4.460339,4.074704,1.096453,0.050088,5.539384
0.050000,3.925793,9.725894,4.666839,4.129998,1.105880,0.188536,5.545136
0.050000,4.081184,9.585672,4.876144,4.186096,1.121964,0.321686,5.553371
0.050000,4.240041,9.445036,5.088309,4.243307,1.144211,0.444937,5.564138
0.050000,4.402800,9.304411,5.303404,4.301899,1.171836,0.552507,5.577497
0.050000,4.569912,9.164258,5.521508,4.362083,1.203683,0.636934,5.593521
0.050000,4.741842,9.025084,5.742708,4.423989,1.238114,0.688624,5.612284
0.050000,4.919058,8.887455,5.967090,4.487633,1.272891,0.695537,5.633865
0.050000,5.102017,8.752000,6.194734,4.552886,1.305048,0.643138,5.658334
0.050000,5.291152,8.619427,6.425705,4.619425,1.330791,0.514870,5.685748
0.050000,5.484167,8.492235,6.656860,4.623102,0.073531,-25.145211,5.715712
0.050000,5.677283,8.373358,6.883632,4.535440,-1.753228,-36.535178,5.747460
0.050000,5.868976,8.263760,7.104445,4.416253,-2.383749,-12.610426,5.780490
0.050000,6.058588,8.163626,7.318872,4.288549,-2.554076,-3.406527,5.814424
0.050000,6.245374,8.073015,7.526476,4.152085,-2.729288,-3.504250,5.848876
0.050000,6.428540,7.991850,7.726820,4.006875,-2.904199,-3.498218,5.883458
0.050000,6.607268,7.919916,7.919481,3.853213,-3.073241,-3.380838,5.917795
0.050000,6.780750,7.856869,8.104064,3.691657,-3.231114,-3.157462,5.951538
0.050000,6.948217,7.802249,8.280213,3.522989,-3.373366,-2.845041,5.984372
0.050000,7.108964,7.755499,8.447621,3.348148,-3.496805,-2.468770,6.016025
0.050000,7.262367,7.715993,8.606029,3.168164,-3.599687,-2.057653,6.046268
0.050000,7.407890,7.683053,8.755233,2.984079,-3.681693,-1.640124,6.074920
0.050000,7.545089,7.655983,8.895077,2.796893,-3.743723,-1.240584,6.101844
0.050000,7.673612,7.634081,9.025453,2.607514,-3.787592,-0.877386,6.126943
0.050000,7.793187,7.616665,9.146290,2.416729,-3.815703,-0.562231,6.150154
0.050000,7.903614,7.603084,9.257549,2.225192,-3.830736,-0.300659,6.171446
0.050000,8.004756,7.592726,9.359220,2.033422,-3.835399,-0.093254,6.190806
0.050000,8.096525,7.585032,9.451311,1.841809,-3.832250,0.062979,6.208243
0.050000,8.178870,7.579492,9.533842,1.650630,-3.823589,0.173213,6.223776
0.050000,8.251772,7.575656,9.606845,1.460060,-3.811403,0.243719,6.237432
0.050000,8.315232,7.573126,9.670355,1.270192,-3.797355,0.280973,6.249241
0.050000,8.369262,7.571562,9.724407,1.081052,-3.782796,0.291182,6.259236
0.050000,8.413883,7.570677,9.769038,0.892612,-3.768799,0.279934,6.267448
