dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.034882,14.559998,0.003704,0.148148,2.962963,59.259259,6.282305
0.050000,0.049968,14.559964,0.018789,0.301715,3.071328,2.167296,6.279583
0.050000,0.075133,14.559816,0.043955,0.503313,4.031963,19.212708,6.275030
0.050000,0.110410,14.559416,0.079234,0.705582,4.045381,0.268355,6.268624
0.050000,0.155840,14.558566,0.124672,0.908765,4.063667,0.365726,6.260333
0.050000,0.211472,14.557010,0.180326,1.113078,4.086262,0.451893,6.250118
0.050000,0.277357,14.554429,0.246261,1.318696,4.112358,0.521914,6.237935
0.050000,0.353539,14.550438,0.322548,1.525738,4.140833,0.569512,6.223735
0.050000,0.440053,14.544583,0.409260,1.734246,4.170174,0.586826,6.207468
0.050000,0.536912,14.536341,0.506469,1.944166,4.198389,0.564285,6.189085
0.050000,0.644091,14.525115,0.614234,2.155312,4.222918,0.490577,6.168544
0.050000,0.761520,14.510241,0.732601,2.367340,4.240570,0.353040,6.145815
0.050000,0.889060,14.490988,0.861587,2.579715,4.247489,0.138394,6.120886
0.050000,1.026492,14.466569,1.001171,2.791675,4.239199,-0.165813,6.093771
0.050000,1.173488,14.436153,1.151281,3.002212,4.210747,-0.569022,6.064518
0.050000,1.329605,14.398887,1.311784,3.210062,4.157007,-1.074801,6.033220
0.050000,1.494263,14.353924,1.482470,3.413719,4.073137,-1.677409,6.000021
0.050000,1.666737,14.300450,1.663044,3.611480,3.955206,-2.358620,5.965121
0.050000,1.846168,14.237730,1.853121,3.801526,3.800925,-3.085628,5.928786
0.050000,2.031566,14.165142,2.052223,3.982043,3.610353,-3.811433,5.891341
0.050000,2.221847,14.082210,2.259791,4.151364,3.386420,-4.478653,5.853170
0.050000,2.415869,13.988642,2.475197,4.308118,3.135066,-5.027090,5.814705
0.050000,2.612483,13.884335,2.697765,4.451361,2.864866,-5.404001,5.776407
0.050000,2.810583,13.769390,2.926798,4.580668,2.586132,-5.574677,5.738754
0.050000,3.009165,13.644091,3.161606,4.696148,2.309617,-5.530290,5.702221
0.050000,3.207362,13.508888,3.401526,4.798403,2.045094,-5.290468,5.667259
0.050000,3.404479,13.364368,3.645946,4.888408,1.800106,-4.899757,5.634290
0.050000,3.596533,13.214026,3.889847,4.878007,-0.208029,-40.162693,5.604215
0.050000,3.780329,13.061557,4.128652,4.776113,-2.037873,-36.596885,5.577631
0.050000,3.956536,12.907825,4.362495,4.676847,-1.985332,1.050822,5.554448
0.050000,4.125838,12.753573,4.591529,4.580684,-1.923252,1.241598,5.534559
0.050000,4.288912,12.599442,4.815916,4.487748,-1.858729,1.290458,5.517853
0.050000,4.446413,12.445991,5.035811,4.397894,-1.797066,1.233257,5.504225
0.050000,4.598958,12.293717,5.251351,4.310791,-1.742072,1.099874,5.493581
0.050000,4.747123,12.143071,5.462649,4.225972,-1.696384,0.913764,5.485842
0.050000,4.891439,11.994472,5.669793,4.142884,-1.661754,0.692600,5.480949
0.050000,5.032390,11.848321,5.872839,4.060920,-1.639285,0.449379,5.478862
0.050000,5.170414,11.705005,6.071811,3.979440,-1.629600,0.193704,5.479566
0.050000,5.305900,11.564914,6.266701,3.897792,-1.632947,-0.066946,5.483067
