dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.034525,14.329998,0.003704,0.148148,2.962963,59.259259,6.282362
0.050000,0.048515,14.329969,0.017693,0.279795,2.632946,-6.600347,6.279815
0.050000,0.071844,14.329841,0.041022,0.466578,3.735651,22.054106,6.275558
0.050000,0.104528,14.329494,0.073709,0.653730,3.743036,0.147696,6.269575
0.050000,0.146591,14.328758,0.115778,0.841379,3.752994,0.199170,6.261844
0.050000,0.198055,14.327415,0.167260,1.029635,3.765114,0.242402,6.252339
0.050000,0.258943,14.325192,0.228188,1.218576,3.778821,0.274125,6.241028
0.050000,0.329272,14.321763,0.298601,1.408243,3.793343,0.290443,6.227880
0.050000,0.409046,14.316746,0.378532,1.598627,3.807678,0.286698,6.212863
0.050000,0.498251,14.309705,0.468015,1.789655,3.820554,0.257520,6.195949
0.050000,0.596847,14.300146,0.567073,1.981175,3.830396,0.196841,6.177115
0.050000,0.704759,14.287523,0.675720,2.172940,3.835306,0.098203,6.156350
0.050000,0.821861,14.271239,0.793950,2.364593,3.833067,-0.044783,6.133660
0.050000,0.947975,14.250652,0.921733,2.555652,3.821181,-0.237717,6.109071
0.050000,1.082848,14.225086,1.059008,2.745501,3.796965,-0.484312,6.082636
0.050000,1.226151,14.193844,1.205677,2.933386,3.757709,-0.785128,6.054442
0.050000,1.377467,14.156225,1.361599,3.118431,3.700902,-1.136130,6.024614
0.050000,1.536284,14.111544,1.526581,3.299658,3.624533,-1.527396,5.993322
0.050000,1.702003,14.059158,1.700383,3.476028,3.527413,-1.942396,5.960781
0.050000,1.873938,13.998488,1.882708,3.646503,3.409501,-2.358241,5.927250
0.050000,2.051335,13.929044,2.073214,3.810110,3.272136,-2.747300,5.893035
0.050000,2.233396,13.850450,2.271514,3.966016,3.118121,-3.080287,5.858477
0.050000,2.419301,13.762453,2.477194,4.113596,2.951598,-3.330474,5.823943
0.050000,2.608246,13.664939,2.689818,4.252481,2.777687,-3.478217,5.789818
0.050000,2.799469,13.557928,2.908947,4.382578,2.601950,-3.514726,5.756493
0.050000,2.992285,13.441574,3.134150,4.504066,2.429749,-3.444030,5.724348
0.050000,3.186110,13.316148,3.365018,4.617346,2.265619,-3.282599,5.693746
0.050000,3.377000,13.184495,3.596905,4.637740,0.407873,-37.154917,5.665521
0.050000,3.561603,13.049753,3.825451,4.570935,-1.336110,-34.879659,5.640253
0.050000,3.740341,12.912652,4.050716,4.505290,-1.312890,0.464397,5.617891
0.050000,3.913667,12.773841,4.272775,4.441187,-1.282070,0.616392,5.598366
0.050000,4.082048,12.633903,4.491715,4.378803,-1.247681,0.687789,5.581603
0.050000,4.245949,12.493359,4.707623,4.318157,-1.212905,0.695521,5.567523
0.050000,4.405827,12.352683,4.920581,4.259149,-1.180167,0.654748,5.556055
0.050000,4.562122,12.212307,5.130660,4.201586,-1.151257,0.578204,5.547135
0.050000,4.715253,12.072636,5.337921,4.145214,-1.127451,0.476128,5.540709
0.050000,4.865616,11.934051,5.542407,4.089732,-1.109625,0.356520,5.536739
0.050000,5.013582,11.796919,5.744148,4.034815,-1.098346,0.225575,5.535198
0.050000,5.159497,11.661596,5.943154,3.980118,-1.093938,0.088163,5.536078
0.050000,5.303681,11.528439,6.139419,3.925292,-1.096521,-0.051655,5.539384
0.050000,5.446425,11.397802,6.332918,3.869991,-1.106028,-0.190137,5.545136
0.050000,5.587997,11.270045,6.523612,3.813881,-1.122196,-0.323361,5.553371
0.050000,5.728632,11.145535,6.711445,3.756654,-1.144532,-0.446722,5.564138
0.050000,5.868540,11.024645,6.896347,3.698042,-1.172253,-0.554434,5.577497
0.050000,6.007902,10.907756,7.078239,3.637831,-1.204205,-0.639028,5.593521
0.050000,6.146866,10.795256,7.257033,3.575894,-1.238750,-0.690898,5.612284
0.050000,6.285556,10.687533,7.432644,3.512212,-1.273649,-0.697982,5.633865
0.050000,6.424065,10.584973,7.604990,3.446915,-1.305935,-0.645719,5.658334
0.050000,6.562459,10.487950,7.774006,3.380324,-1.331810,-0.517513,5.685748
0.050000,6.698924,10.398006,7.937446,3.268803,-2.230432,-17.972429,5.715712
0.050000,6.830934,10.316729,8.092470,3.100490,-3.366251,-22.716380,5.747460
0.050000,6.957821,10.244168,8.238639,2.923368,-3.542436,-3.523699,5.780490
0.050000,7.079613,10.179837,8.376377,2.754772,-3.371937,3.409982,5.814424
