dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003603,4.500000,0.003704,0.148148,2.962963,59.259259,0.000212
0.050000,0.014714,4.500006,0.014815,0.296296,2.962963,0.000000,0.000864
0.050000,0.033232,4.500032,0.033333,0.444444,2.962963,0.000000,0.001949
0.050000,0.059158,4.500103,0.059259,0.592593,2.962963,0.000000,0.003461
0.050000,0.092491,4.500250,0.092593,0.740741,2.962963,0.000000,0.005395
0.050000,0.133231,4.500518,0.133333,0.888889,2.962963,0.000000,0.007742
0.050000,0.181377,4.500957,0.181481,1.037037,2.962963,0.000000,0.010493
0.050000,0.236929,4.501627,0.237037,1.185185,2.962963,0.000000,0.013636
0.050000,0.299884,4.502597,0.300000,1.333333,2.962963,0.000000,0.017157
0.050000,0.370242,4.503941,0.370370,1.481481,2.962963,0.000000,0.021041
0.050000,0.447998,4.505742,0.448148,1.629630,2.962963,0.000000,0.025271
0.050000,0.533151,4.508089,0.533333,1.777778,2.962963,0.000000,0.029826
0.050000,0.625696,4.511076,0.625926,1.925926,2.962963,0.000000,0.034685
0.050000,0.725626,4.514802,0.725926,2.074074,2.962963,0.000000,0.039825
0.050000,0.832936,4.519369,0.833333,2.222222,2.962963,0.000000,0.045219
0.050000,0.947618,4.524883,0.948148,2.370370,2.962963,-0.000000,0.050840
0.050000,1.069664,4.531450,1.070370,2.518519,2.962963,0.000000,0.056657
0.050000,1.199063,4.539180,1.200000,2.666667,2.962963,-0.000000,0.062638
0.050000,1.335804,4.548178,1.337037,2.814815,2.962963,0.000000,0.068748
0.050000,1.479875,4.558551,1.481481,2.962963,2.962963,-0.000000,0.074951
0.050000,1.631264,4.570399,1.633333,3.111111,2.962963,0.000000,0.081209
0.050000,1.789956,4.583819,1.792593,3.259259,2.962963,-0.000000,0.087479
0.050000,1.955939,4.598903,1.959259,3.407407,2.962963,0.000000,0.093721
0.050000,2.129197,4.615733,2.133333,3.555556,2.962963,-0.000000,0.099888
0.050000,2.309717,4.634382,2.314815,3.703704,2.962963,0.000000,0.105934
0.050000,2.497487,4.654913,2.503704,3.851852,2.962963,-0.000000,0.111810
0.050000,2.692494,4.677374,2.700000,4.000000,2.962963,0.000000,0.117467
0.050000,2.891051,4.701347,2.900000,4.000000,0.000000,-59.259259,0.122758
0.050000,3.089486,4.726323,3.100000,4.000000,0.000000,0.000000,0.127573
0.050000,3.287804,4.752206,3.300000,4.000000,0.000000,0.000000,0.131912
0.050000,3.486014,4.778903,3.500000,4.000000,0.000000,0.000000,0.135774
0.050000,3.684126,4.806318,3.700000,4.000000,0.000000,0.000000,0.139162
0.050000,3.882150,4.834357,3.900000,4.000000,0.000000,0.000000,0.142074
0.050000,4.080099,4.862925,4.100000,4.000000,0.000000,0.000000,0.144512
0.050000,4.277985,4.891929,4.300000,4.000000,0.000000,0.000000,0.146476
0.050000,4.475820,4.921275,4.500000,4.000000,0.000000,0.000000,0.147966
0.050000,4.673619,4.950868,4.700000,4.000000,0.000000,0.000000,0.148983
0.050000,4.871394,4.980617,4.900000,4.000000,0.000000,0.000000,0.149527
0.050000,5.069160,5.010425,5.100000,4.000000,0.000000,0.000000,0.149598
0.050000,5.266931,5.040202,5.300000,4.000000,0.000000,0.000000,0.149196
0.050000,5.464721,5.069852,5.500000,4.000000,0.000000,0.000000,0.148321
0.050000,5.662544,5.099282,5.700000,4.000000,0.000000,0.000000,0.146973
0.050000,5.860413,5.128398,5.900000,4.000000,0.000000,0.000000,0.145152
0.050000,6.058342,5.157108,6.100000,4.000000,0.000000,0.000000,0.142857
0.050000,6.256343,5.185316,6.300000,4.000000,0.000000,0.000000,0.140087
0.050000,6.454427,5.212928,6.500000,4.000000,0.000000,0.000000,0.136842
0.050000,6.652607,5.239850,6.700000,4.000000,0.000000,0.000000,0.133123
0.050000,6.850891,5.265988,6.900000,4.000000,0.000000,0.000000,0.128927
0.050000,7.049290,5.291247,7.100000,4.000000,0.000000,0.000000,0.124256
0.050000,7.247810,5.315531,7.300000,4.000000,0.000000,0.000000,0.119107
0.050000,7.446458,5.338745,7.500000,4.000000,0.000000,0.000000,0.113483
0.050000,7.645238,5.360795,7.700000,4.000000,0.000000,0.000000,0.107382
0.050000,7.844154,5.381584,7.900000,4.000000,0.000000,0.000000,0.100804
0.050000,8.043208,5.401017,8.100000,4.000000,0.000000,0.000000,0.093752
0.050000,8.242397,5.418998,8.300000,4.000000,0.000000,0.000000,0.086225
0.050000,8.441720,5.435432,8.500000,4.000000,0.000000,0.000000,0.078226
0.050000,8.641172,5.450225,8.700000,4.000000,0.000000,0.000000,0.069756
0.050000,8.840745,5.463280,8.900000,4.000000,0.000000,0.000000,0.060818
0.050000,9.040429,5.474506,9.100000,4.000000,0.000000,0.000000,0.051417
0.050000,9.240211,5.483807,9.300000,4.000000,0.000000,0.000000,0.041556
0.050000,9.440078,5.491093,9.500000,4.000000,0.000000,0.000000,0.031241
0.050000,9.640010,5.496272,9.700000,4.000000,0.000000,0.000000,0.020478
0.050000,9.839987,5.499254,9.900000,4.000000,0.000000,0.000000,0.009275
0.050000,10.039884,5.500000,10.100000,4.000000,0.000000,0.000000,0.000000
0.050000,10.239884,5.500000,10.300000,4.000000,0.000000,0.000000,0.000000
0.050000,10.439884,5.500000,10.500000,4.000000,0.000000,0.000000,0.000000
0.050000,10.639884,5.500000,10.700000,4.000000,0.000000,0.000000,0.000000
0.050000,10.839884,5.500000,10.900000,4.000000,0.000000,0.000000,0.000000
0.050000,11.039884,5.500000,11.100000,4.000000,0.000000,0.000000,0.000000
0.050000,11.239884,5.500000,11.300000,4.000000,0.000000,0.000000,0.000000
0.050000,11.439884,5.500000,11.500000,4.000000,0.000000,0.000000,0.000000
0.050000,11.639884,5.500000,11.700000,4.000000,0.000000,0.000000,0.000000
0.050000,11.839884,5.500000,11.900000,4.000000,0.000000,0.000000,0.000000
0.050000,12.039884,5.500000,12.100000,4.000000,0.000000,0.000000,0.000000
0.050000,12.239884,5.500000,12.300000,4.000000,0.000000,0.000000,0.000000
0.050000,12.439884,5.500000,12.500000,4.000000,0.000000,0.000000,0.000000
0.050000,12.639884,5.500000,12.700000,4.000000,0.000000,0.000000,0.000000
0.050000,12.839884,5.500000,12.900000,4.000000,0.000000,0.000000,0.000000
0.050000,13.039884,5.500000,13.100000,4.000000,0.000000,0.000000,0.000000
0.050000,13.239884,5.500000,13.300000,4.000000,0.000000,0.000000,0.000000
0.050000,13.439884,5.500000,13.500000,4.000000,0.000000,0.000000,0.000000
0.050000,13.639884,5.500000,13.700000,4.000000,0.000000,0.000000,0.000000
0.050000,13.839884,5.500000,13.900000,4.000000,0.000000,0.000000,0.000000
0.050000,14.039884,5.500000,14.100000,4.000000,0.000000,0.000000,0.000000
0.050000,14.239884,5.500000,14.300000,4.000000,0.000000,0.000000,0.000000
0.050000,14.439884,5.500000,14.500000,4.000000,0.000000,0.000000,0.000000
0.050000,14.639884,5.500000,14.700000,4.000000,0.000000,0.000000,0.000000
0.050000,14.839884,5.500000,14.900000,4.000000,0.000000,0.000000,0.000000
0.050000,15.039884,5.500000,15.100000,4.000000,0.000000,0.000000,0.000000
0.050000,15.239884,5.500000,15.300000,4.000000,0.000000,0.000000,0.000000
0.050000,15.439884,5.500000,15.500000,4.000000,0.000000,0.000000,0.000000
0.050000,15.639884,5.500000,15.700000,4.000000,0.000000,0.000000,0.000000
0.050000,15.839884,5.500000,15.900000,4.000000,0.000000,0.000000,0.000000
0.050000,16.039884,5.500000,16.100000,4.000000,0.000000,0.000000,0.000000
0.050000,16.239884,5.500000,16.300000,4.000000,0.000000,0.000000,0.000000
0.050000,16.439884,5.500000,16.500000,4.000000,0.000000,0.000000,0.000000
0.050000,16.639884,5.500000,16.700000,4.000000,0.000000,0.000000,0.000000
0.050000,16.839884,5.500000,16.900000,4.000000,0.000000,0.000000,0.000000
0.050000,17.039884,5.500000,17.100000,4.000000,0.000000,0.000000,0.000000
0.050000,17.239884,5.500000,17.300000,4.000000,0.000000,0.000000,0.000000
0.050000,17.439884,5.500000,17.500000,4.000000,0.000000,0.000000,0.000000
0.050000,17.639884,5.500000,17.700000,4.000000,0.000000,0.000000,0.000000
0.050000,17.839884,5.500000,17.900000,4.000000,0.000000,0.000000,0.000000
0.050000,18.039884,5.500000,18.100000,4.000000,0.000000,0.000000,0.000000
0.050000,18.239884,5.500000,18.300000,4.000000,0.000000,0.000000,0.000000
