dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003406,3.500001,0.003704,0.148148,2.962963,59.259259,0.000334
0.050000,0.014517,3.500010,0.014815,0.296296,2.962963,0.000000,0.001427
0.050000,0.033035,3.500054,0.033333,0.444444,2.962963,0.000000,0.003257
0.050000,0.058961,3.500172,0.059259,0.592593,2.962963,0.000000,0.005835
0.050000,0.092293,3.500422,0.092593,0.740741,2.962963,0.000000,0.009181
0.050000,0.133032,3.500880,0.133333,0.888889,2.962963,0.000000,0.013317
0.050000,0.181174,3.501640,0.181481,1.037037,2.962963,0.000000,0.018272
0.050000,0.236717,3.502816,0.237037,1.185185,2.962963,0.000000,0.024081
0.050000,0.299656,3.504542,0.300000,1.333333,2.962963,0.000000,0.030787
0.050000,0.369984,3.506977,0.370370,1.481481,2.962963,0.000000,0.038439
0.050000,0.447690,3.510300,0.448148,1.629630,2.962963,0.000000,0.047094
0.050000,0.532760,3.514723,0.533333,1.777778,2.962963,0.000000,0.056820
0.050000,0.625173,3.520481,0.625926,1.925926,2.962963,0.000000,0.067691
0.050000,0.724901,3.527845,0.725926,2.074074,2.962963,0.000000,0.079796
0.050000,0.831906,3.537122,0.833333,2.222222,2.962963,0.000000,0.093234
0.050000,0.946139,3.548656,0.948148,2.370370,2.962963,-0.000000,0.108118
0.050000,1.067535,3.562837,1.070370,2.518519,2.962963,0.000000,0.124574
0.050000,1.196007,3.580104,1.200000,2.666667,2.962963,-0.000000,0.142746
0.050000,1.331448,3.600948,1.337037,2.814815,2.962963,0.000000,0.162794
0.050000,1.473714,3.625920,1.481481,2.962963,2.962963,-0.000000,0.184896
0.050000,1.622626,3.655637,1.633333,3.111111,2.962963,0.000000,0.209246
0.050000,1.777953,3.690785,1.792593,3.259259,2.962963,-0.000000,0.236055
0.050000,1.939405,3.732127,1.959259,3.407407,2.962963,0.000000,0.265548
0.050000,2.106615,3.780501,2.133333,3.555556,2.962963,-0.000000,0.297956
0.050000,2.279125,3.836825,2.314815,3.703704,2.962963,0.000000,0.333511
0.050000,2.456368,3.902088,2.503704,3.851852,2.962963,-0.000000,0.372425
0.050000,2.637649,3.977344,2.700000,4.000000,2.962963,0.000000,0.414877
0.050000,2.818810,4.062043,2.900000,4.000000,0.000000,-59.259259,0.460123
0.050000,2.995867,4.155013,3.100000,4.000000,0.000000,0.000000,0.507194
0.050000,3.168271,4.256350,3.300000,4.000000,0.000000,0.000000,0.555827
0.050000,3.335472,4.366056,3.500000,4.000000,0.000000,0.000000,0.605684
0.050000,3.496946,4.484029,3.700000,4.000000,0.000000,0.000000,0.656362
0.050000,3.652208,4.610066,3.900000,4.000000,0.000000,0.000000,0.707408
0.050000,3.800838,4.743857,4.100000,4.000000,0.000000,0.000000,0.758343
0.050000,3.942501,4.885007,4.300000,4.000000,0.000000,0.000000,0.808685
0.050000,4.076955,5.033041,4.500000,4.000000,0.000000,0.000000,0.857979
0.050000,4.204059,5.187433,4.700000,4.000000,0.000000,0.000000,0.905819
0.050000,4.323775,5.347624,4.900000,4.000000,0.000000,0.000000,0.951861
0.050000,4.436160,5.513042,5.100000,4.000000,0.000000,0.000000,0.995837
0.050000,4.541355,5.683125,5.300000,4.000000,0.000000,0.000000,1.037556
0.050000,4.639571,5.857333,5.500000,4.000000,0.000000,0.000000,1.076898
0.050000,4.731077,6.035159,5.700000,4.000000,0.000000,0.000000,1.113805
