dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004231,2.365001,0.003704,0.148148,2.962963,59.259259,0.000589
0.050000,0.017428,2.365021,0.016901,0.263944,2.315916,-12.940943,0.002427
0.050000,0.039428,2.365108,0.038901,0.440003,3.521183,24.105336,0.005494
0.050000,0.070237,2.365344,0.069711,0.616203,3.523996,0.056263,0.009798
0.050000,0.109864,2.365842,0.109341,0.792591,3.527768,0.075435,0.015345
0.050000,0.158315,2.366750,0.157801,0.969207,3.532324,0.091127,0.022147
0.050000,0.215600,2.368250,0.215105,1.146079,3.537431,0.102145,0.030213
0.050000,0.281720,2.370558,0.281266,1.323218,3.542789,0.107159,0.039558
0.050000,0.356676,2.373923,0.356297,1.500620,3.548024,0.104688,0.050191
0.050000,0.440456,2.378633,0.440210,1.678254,3.552678,0.093084,0.062123
0.050000,0.533040,2.385007,0.533013,1.856064,3.556207,0.070594,0.075361
0.050000,0.634391,2.393401,0.634711,2.033963,3.557974,0.035331,0.089911
0.050000,0.744454,2.404204,0.745302,2.211825,3.557246,-0.014561,0.105770
0.050000,0.863148,2.417836,0.864776,2.389485,3.553202,-0.080883,0.122929
0.050000,0.990365,2.434746,0.993113,2.566732,3.544945,-0.165129,0.141371
0.050000,1.125966,2.455409,1.130279,2.743309,3.531528,-0.268356,0.161065
0.050000,1.269769,2.480319,1.276224,2.918908,3.511983,-0.390888,0.181968
0.050000,1.421557,2.509985,1.430883,3.093177,3.485380,-0.532070,0.204023
0.050000,1.581062,2.544918,1.594169,3.265721,3.450879,-0.690010,0.227153
0.050000,1.747975,2.585628,1.765974,3.436111,3.407810,-0.861378,0.251264
0.050000,1.921937,2.632610,1.946169,3.603898,3.355745,-1.041296,0.276240
0.050000,2.102547,2.686336,2.134601,3.768627,3.294574,-1.223435,0.301947
0.050000,2.289363,2.747238,2.331093,3.929855,3.224560,-1.400273,0.328230
0.050000,2.481912,2.815703,2.535452,4.087174,3.146379,-1.563613,0.354918
0.050000,2.679695,2.892062,2.747464,4.240230,3.061115,-1.705295,0.381822
0.050000,2.882204,2.976577,2.966901,4.388741,2.970213,-1.818032,0.408743
0.050000,3.088929,3.069441,3.193526,4.532511,2.875400,-1.896264,0.435471
0.050000,3.295587,3.168886,3.422867,4.586807,1.085937,-35.789266,0.461327
0.050000,3.498227,3.272751,3.650574,4.554145,-0.653245,-34.783630,0.485743
0.050000,3.696881,3.380587,3.876609,4.520704,-0.668817,-0.311440,0.508686
0.050000,3.891622,3.491964,4.100950,4.486820,-0.677684,-0.177343,0.530136
0.050000,4.082555,3.606473,4.323589,4.452775,-0.680893,-0.064183,0.550085
0.050000,4.269815,3.723726,4.544529,4.418801,-0.679496,0.027935,0.568537
0.050000,4.453557,3.843356,4.763783,4.385075,-0.674502,0.099900,0.585503
0.050000,4.633950,3.965020,4.981369,4.351734,-0.666838,0.153269,0.601000
0.050000,4.811178,4.088397,5.197313,4.318867,-0.657339,0.189987,0.615049
0.050000,4.985430,4.213184,5.411639,4.286530,-0.646730,0.212171,0.627672
0.050000,5.156902,4.339100,5.624376,4.254748,-0.635633,0.221939,0.638896
0.050000,5.325789,4.465877,5.835552,4.223520,-0.624568,0.221299,0.648743
0.050000,5.492287,4.593266,6.045194,4.192822,-0.613964,0.212091,0.657238
0.050000,5.656590,4.721026,6.253324,4.162614,-0.604167,0.195942,0.664402
0.050000,5.818890,4.848932,6.459966,4.132841,-0.595453,0.174275,0.670254
0.050000,5.979371,4.976765,6.665138,4.103439,-0.588038,0.148300,0.674811
0.050000,6.138216,5.104313,6.868855,4.074335,-0.582085,0.119054,0.678086
0.050000,6.295601,5.231374,7.071127,4.045449,-0.577714,0.087416,0.680088
0.050000,6.451694,5.357745,7.271962,4.016699,-0.575007,0.054143,0.680824
0.050000,6.606658,5.483229,7.471362,3.987998,-0.574012,0.019905,0.680295
0.050000,6.760650,5.607631,7.669325,3.959261,-0.574746,-0.014681,0.678501
0.050000,6.913820,5.730754,7.865845,3.930401,-0.577197,-0.049022,0.675435
0.050000,7.066308,5.852402,8.060912,3.901335,-0.581322,-0.082506,0.671088
0.050000,7.218250,5.972379,8.254511,3.871982,-0.587046,-0.114476,0.665449
0.050000,7.369771,6.090484,8.446625,3.842270,-0.594256,-0.144189,0.658501
0.050000,7.520992,6.206515,8.637231,3.812130,-0.602795,-0.170788,0.650225
0.050000,7.672021,6.320267,8.826307,3.781507,-0.612458,-0.193265,0.640600
0.050000,7.822962,6.431532,9.013824,3.750358,-0.622980,-0.210436,0.629604
0.050000,7.973906,6.540100,9.199757,3.718657,-0.634026,-0.220915,0.617211
0.050000,8.124937,6.645756,9.384077,3.686398,-0.645181,-0.223105,0.603397
0.050000,8.276131,6.748286,9.566757,3.653601,-0.655941,-0.215198,0.588139
0.050000,8.427553,6.847474,9.747773,3.620316,-0.665701,-0.195207,0.571414
0.050000,8.579258,6.943104,9.927104,3.586628,-0.673752,-0.161019,0.553206
0.050000,8.731296,7.034964,10.104738,3.552664,-0.679278,-0.110507,0.533503
0.050000,8.883704,7.122844,10.280667,3.518596,-0.681362,-0.041676,0.512298
0.050000,9.036516,7.206542,10.454900,3.484646,-0.679006,0.047116,0.489599
0.050000,9.189758,7.285864,10.627454,3.451088,-0.671161,0.156894,0.465421
0.050000,9.343451,7.360628,10.798366,3.418249,-0.656774,0.287743,0.439798
0.050000,9.495220,7.429615,10.965079,3.334248,-1.680022,-20.464957,0.413205
0.050000,9.642192,7.491732,11.124639,3.191196,-2.861033,-23.620215,0.386306
0.050000,9.783867,7.547163,11.276771,3.042648,-2.970957,-2.198482,0.359388
0.050000,9.920206,7.596330,11.421705,2.898686,-2.879238,1.834371,0.332655
0.050000,10.051175,7.639666,11.559657,2.759041,-2.792899,1.726781,0.306296
